​行政相对人名称,统一社会信用代码,行政许可决定文书名称,行政许可决定文书号,许可证书名称,许可编号,许可内容,许可决定日期,有效期自,有效期至,许可机关
北京御林餐饮服务有限公司,91110116MACWG80X7Q,准予行政许可决定书,怀卫环许决字[2024]005号,卫生许可证,怀卫环监字[2024]第005号,新办公共场所住宿（乡村民宿）卫生许可,2024-01-05 00:00:00,2024-01-05 00:00:00,2028-01-04 00:00:00,北京市怀柔区卫生健康委员会
北京净雁酒店管理有限公司,91110116MAD6LT4Y3J,准予行政许可决定书,怀卫环许决字[2024]004号,卫生许可证,怀卫环监字[2024]第004号,新办公共场所住宿卫生许可,2024-01-05 00:00:00,2024-01-05 00:00:00,2028-01-04 00:00:00,北京市怀柔区卫生健康委员会
北京张瑞光化妆品店,92110116MA014C4G95,准予行政许可决定书,怀卫环许决字[2024]003号,卫生许可证,怀卫环监字[2024]第003号,新办公共场所理发卫生许可,2024-01-03 00:00:00,2024-01-03 00:00:00,2028-01-02 00:00:00,北京市怀柔区卫生健康委员会
北京崎峰山生态农业发展有限公司,91110116569484409E,准予行政许可决定书,怀卫环许决字[2024]002号,卫生许可证,怀卫环监字[2024]第002号,新办公共场所住宿（乡村民宿）卫生许可,2024-01-03 00:00:00,2024-01-03 00:00:00,2028-01-02 00:00:00,北京市怀柔区卫生健康委员会
北京魏苑餐饮管理有限公司,92110116MACGTH0Y63,准予行政许可决定书,怀卫环许决字[2024]001号,卫生许可证,怀卫环监字[2024]第001号,新办公共场所住宿（乡村民宿）卫生许可,2024-01-02 00:00:00,2024-01-02 00:00:00,2028-01-01 00:00:00,北京市怀柔区卫生健康委员会
​北京市怀柔区北房镇卫生院,12110227400995019D,准予延续/变更行政许可决定书,京怀卫放许决字[2024]001号,放射诊疗许可证,京卫放证字[2011]第1600024号,校验X射线影像诊断（不含CT）***放射诊疗许可,2024-01-12 00:00:00,2024-01-12 00:00:00,2099-12-31 00:00:00,北京市怀柔区卫生健康委员会
北京童牛民宿有限公司,91110116MA04D02C2R,准予延续/变更行政许可决定书,怀卫环许决字[2024]009号,卫生许可证,怀卫环监字[2024]第009号,变更公共场所住宿（乡村民宿）卫生许可,2024-01-12 00:00:00,2024-01-12 00:00:00,2026-04-24 00:00:00,北京市怀柔区卫生健康委员会
北京香石馆商贸中心,92110116L70698662M,准予行政许可决定书,怀卫环许决字[2024]008号,卫生许可证,怀卫环监字[2024]第008号,新办公共场所住宿卫生许可,2024-01-11 00:00:00,2024-01-11 00:00:00,2028-01-10 00:00:00,北京市怀柔区卫生健康委员会
北京在树下民宿中心(个体工商户),92110116MAD6LP7M3H,准予行政许可决定书,怀卫环许决字[2024]007号,卫生许可证,怀卫环监字[2024]第007号,新办公共场所住宿（乡村民宿）卫生许可,2024-01-11 00:00:00,2024-01-11 00:00:00,2028-01-10 00:00:00,北京市怀柔区卫生健康委员会
北京怀柔医院,121102274009934436,怀柔区 —— 行政许可决定书（准予）,决字（2024）第011000017号,母婴保健技术服务执业许可证,,助产技术服务（二级）,2024-01-10 00:00:00,2024-01-10 00:00:00,2025-10-08 00:00:00,北京市怀柔区卫生健康委员会
