序号,企业名称,行政相对人代码,资质证书编号,资质证书等级,许可日期,有效期至,许可机关
1,北京中科电商谷慧达投资管理有限公司,91110115099191993T,JK-A-11096,二级,2023/6/6,2026/6/5,北京市住房和城乡建设委员会
2,北京万科东方置业有限公司,911101130918568664,SY-A-X3271,二级,2023/2/6,2026/2/5,北京市住房和城乡建设委员会
3,北京黄海房地产开发有限公司,911100008024413774,TZ-B-6912,二级,2022/8/3,2025/8/2,北京市住房和城乡建设委员会
4,北京建海汇合房地产开发有限公司,91110108MA01Q3083X,HD-A-8769,二级,2023/6/2,2025/6/20,北京市住房和城乡建设委员会
5,北京东恒置业有限公司,911100001011633510,CY-B-7052,二级,2022/12/30,2025/12/29,北京市住房和城乡建设委员会
6,北京天运房地产综合开发经营有限责任公司,91110105744704238J,CY-A-3622,二级,2022/12/30,2025/12/29,北京市住房和城乡建设委员会
7,北京万通龙山天地置业有限公司,91110000563654374X,HR-A-4295,二级,2023/1/10,2026/1/9,北京市住房和城乡建设委员会
8,北京绿地京融房地产开发有限公司,91110115MA002TH72P,DX-A-X6439,二级,2023/1/9,2026/1/8,北京市住房和城乡建设委员会
9,北京利通房地产开发有限公司,91110000085546693R,TZ-A-X2890,二级,2022/12/30,2025/12/29,北京市住房和城乡建设委员会
10,北京北控置业集团有限公司,91110000556847645J,CY-A-X2704,二级,2022/12/30,2025/12/29,北京市住房和城乡建设委员会
11,茂华控股集团有限公司,91110000633790882Y,XC-A-8648,二级,2023/1/9,2026/1/8,北京市住房和城乡建设委员会
12,北京合生北方房地产开发有限公司,91110000739352098T,CY-B-X1017,二级,2023/1/3,2026/1/2,北京市住房和城乡建设委员会
13,中铁房地产集团北京丰昊置业有限公司,91110106567415661C,FT-A-7561,二级,2023/1/9,2026/1/8,北京市住房和城乡建设委员会
14,北京运通博远房地产开发有限公司,91110302746105714K,JK-A-3347,二级,2023/1/28,2026/1/27,北京市住房和城乡建设委员会
15,北京远坤房地产开发有限公司,91110116633711910U,HR-A-2903,二级,2023/1/13,2023/8/25,北京市住房和城乡建设委员会
16,北京乾远置业有限公司,911101057985023400,CY-A-X1627,二级,2023/1/13,2024/12/1,北京市住房和城乡建设委员会
17,北京博润嘉业房地产开发有限公司,91110228782527818X,MY-A-4585,二级,2023/1/17,2026/1/16,北京市住房和城乡建设委员会
18,北京一方房地产开发有限公司,91110102802420613X,XC-A-0351,二级,2023/1/30,2026/1/29,北京市住房和城乡建设委员会
19,华润置地（北京）股份有限公司,9111000010112204XE,XC-A-8649,二级,2023/1/12,2025/6/30,北京市住房和城乡建设委员会
20,北京辉辰置业有限公司,91110111MA00AR4HXQ,FS-A-8580,二级,2023/1/12,2026/1/11,北京市住房和城乡建设委员会
21,北京栖湖饭店有限责任公司,9111011610260493XX,HR-A-X1915,二级,2023/1/29,2026/1/28,北京市住房和城乡建设委员会
22,北京华润京通房地产开发有限公司,911100001014363138,XC-A-0275,二级,2023/1/5,2025/7/25,北京市住房和城乡建设委员会
23,北京隅阳房地产开发有限公司,91110105MAC5UMQJ8J,CY-A-10997,二级,2022/12/30,2025/12/31,北京市住房和城乡建设委员会
24,北京启迪茂华科技产业发展有限公司,91110111MA0054EG5P,FS-A-8579,二级,2023/1/18,2026/1/17,北京市住房和城乡建设委员会
25,北京政华恒信投资有限公司,9111010669168333X8,FT-A-6291,二级,2023/1/12,2025/12/21,北京市住房和城乡建设委员会
26,北京景辉置业有限公司,91110107MA01QAP81E,SJ-A-6432,二级,2023/1/30,2025/6/27,北京市住房和城乡建设委员会
27,北京三嘉泰富置业有限公司,91110105MAC6A7U419,CY-A-11021,二级,2023/1/30,2026/1/29,北京市住房和城乡建设委员会
28,北京兴海创业投资管理有限公司,91110115802872687U,DX-A-1835,二级,2023/1/28,2026/1/27,北京市住房和城乡建设委员会
29,北京恒亿盛世酒业有限公司,911101126976799211,TZ-A-X6879,二级,2023/1/5,2025/8/30,北京市住房和城乡建设委员会
30,融通地产（北京）有限责任公司,91110105MA01M79L61,CY-A-11000,二级,2022/12/30,2025/12/29,北京市住房和城乡建设委员会
31,中交瑞通建筑工程有限公司,91110117MA01DEN46B,JK-A-11022,二级,2023/1/28,2026/1/27,北京市住房和城乡建设委员会
32,北京坤鼎台铭投资管理有限公司,911101126615906853,TZ-A-X1177,二级,2023/1/16,2026/1/15,北京市住房和城乡建设委员会
33,北京正光房地产开发有限公司,91110102746106848M,XC-A-5365,二级,2023/1/5,2025/5/17,北京市住房和城乡建设委员会
34,北京兴瑞盛祥实业有限公司,91110115MAC0CP598A,DX-A-10998,二级,2022/12/30,2025/12/29,北京市住房和城乡建设委员会
35,北京住总骏洋置业有限公司,91110109563667917P,MT-A-X0101,二级,2022/12/30,2025/12/29,北京市住房和城乡建设委员会
36,北京信和京西置业有限公司,91110109MAC3CNK31Q,MT-A-10999,二级,2022/12/30,2025/12/29,北京市住房和城乡建设委员会
37,北京奕环天和置业有限公司,911101156684484976,DX-A-5875,二级,2023/6/5,2026/6/4,北京市住房和城乡建设委员会
38,北京兴创房地产开发有限公司,911101158028734600,DX-A-1771,二级,2023/1/17,2026/1/16,北京市住房和城乡建设委员会
39,北京茂丰置业有限公司,91110106MA001Q3Y0J,FT-A-8730,二级,2023/1/12,2025/7/3,北京市住房和城乡建设委员会
40,北京精功开拓投资开发有限公司,911101027521622644,XC-A-0244,二级,2023/1/16,2026/1/15,北京市住房和城乡建设委员会
41,中铁房地产集团北京浩达置业有限公司,91110113082827051A,SY-A-X2985,二级,2023/1/4,2026/1/3,北京市住房和城乡建设委员会
42,北京顺鑫佳宇房地产开发有限公司,911101137400905661,SY-A-2453,二级,2023/1/9,2026/1/8,北京市住房和城乡建设委员会
43,北京兴业利嘉房地产开发有限公司,91110115MA018QXH1M,DX-A-11002,二级,2023/1/5,2026/1/4,北京市住房和城乡建设委员会
44,北京兴亚置业有限公司,91110109080487313C,MT-A-X2678,二级,2023/1/6,2026/1/5,北京市住房和城乡建设委员会
45,北京大洋恒基房地产开发有限公司,91110105MABTUQJH85,CY-A-11023,二级,2023/1/3,2026/1/2,北京市住房和城乡建设委员会
46,中化方兴置业(北京)有限公司,91110000669902196X,XC-B-6176,二级,2023/1/13,2025/6/13,北京市住房和城乡建设委员会
47,北京华风腾龙房地产开发有限公司,91110000102794606F,FS-A-1343,二级,2023/1/16,2025/8/15,北京市住房和城乡建设委员会
48,北京润丰宏业房地产开发有限责任公司,91110000791603181W,DX-A-5825,二级,2023/1/16,2026/1/15,北京市住房和城乡建设委员会
49,北京新京润房地产有限公司,91110000789952059K,CY-B-6009,二级,2022/12/30,2025/12/29,北京市住房和城乡建设委员会
50,北京顺桥房地产开发有限公司,91110113766254709U,SY-A-6476,二级,2023/1/4,2026/1/3,北京市住房和城乡建设委员会
51,北京复地通盈置业有限公司,91110112399185755D,TZ-A-X3864,二级,2023/1/12,2025/6/7,北京市住房和城乡建设委员会
52,北京恒兴盛房地产开发有限公司,91110105082885999P,CY-A-X2816,二级,2023/1/6,2026/1/5,北京市住房和城乡建设委员会
53,北京方兴葛洲坝房地产开发有限公司,911103020765509308,JK-A-X3465,二级,2023/1/16,2025/2/16,北京市住房和城乡建设委员会
54,北京融创恒裕地产有限公司,91110000078551232X,CY-A-X2475,二级,2022/12/29,2025/12/29,北京市住房和城乡建设委员会
55,北京天伦房地产有限公司,911101051029556334,CY-A-5937,二级,2022/12/29,2025/12/28,北京市住房和城乡建设委员会
56,北京中铁诺德盛兴置业有限公司,91110106MA01G35C3K,FT-A-8788,二级,2023/2/1,2025/9/4,北京市住房和城乡建设委员会
57,北京致诚鑫达物业管理有限公司,91110105MA0195H25D,CY-A-X1521,二级,2022/12/30,2025/12/29,北京市住房和城乡建设委员会
58,北京天街集团有限公司,911100007655040594,DC-A-X0015,二级,2022/12/30,2025/12/29,北京市住房和城乡建设委员会
59,北京稻香四季房地产开发有限公司,91110111MA002E9L5G,FS-A-8564,二级,2023/1/30,2025/7/28,北京市住房和城乡建设委员会
60,北京国锐房地产开发有限公司,91110302802948135A,JK-A-X1852,二级,2023/2/1,2023/8/3,北京市住房和城乡建设委员会
61,北京旭科置业有限公司,91110111064930231N,FS-A-8504,二级,2022/12/30,2025/6/1,北京市住房和城乡建设委员会
62,北京玉泉房地产开发中心,91110106102197510A,FT-A-1126,二级,2023/1/16,2026/1/15,北京市住房和城乡建设委员会
63,北京丹霞房地产开发有限公司,911101125695490815,TZ-A-8021,二级,2023/4/28,2026/4/27,北京市住房和城乡建设委员会
64,北京金兰甫房地产开发有限公司,91110106718728762W,FT-A-4072,二级,2023/1/18,2026/1/17,北京市住房和城乡建设委员会
65,北京以太物业开发有限公司,91110000801146405J,CY-B-0633,二级,2023/1/18,2026/1/17,北京市住房和城乡建设委员会
66,北京房地新城置业有限公司,91110113MA00862BXB,SY-A-X8391,二级,2023/1/9,2026/1/8,北京市住房和城乡建设委员会
67,北京三维筑建置业发展有限公司,911101063065904021,FT-A-8683,二级,2023/1/17,2026/1/16,北京市住房和城乡建设委员会
68,北京永丰数字融汇科技有限责任公司,91110108MA7GQ3KH0U,HD-A-11003,二级,2023/1/10,2026/1/9,北京市住房和城乡建设委员会
69,北京创升永利房地产开发有限公司,91110116690048473G,FT-A-9020,二级,2023/1/29,2026/1/28,北京市住房和城乡建设委员会
70,北京瑞坤置业有限责任公司,91110000733445541P,CP-A-6707,二级,2023/1/16,2025/11/14,北京市住房和城乡建设委员会
71,北京富通基业房地产有限责任公司,91110106101878824C,FT-A-6225,二级,2023/1/13,2026/1/12,北京市住房和城乡建设委员会
72,北京致平房地产开发有限公司,91110114MA01Q58200,CP-A-8856,二级,2023/1/5,2025/6/5,北京市住房和城乡建设委员会
73,北京复地通达置业有限公司,911101123991857045,TZ-A-X3863,二级,2023/1/5,2025/5/31,北京市住房和城乡建设委员会
74,北京永丰数字先行科技有限责任公司,91110108MA7G70AG74,HD-A-11004,二级,2023/1/10,2026/1/9,北京市住房和城乡建设委员会
75,北京优龙国际旅游度假村投资有限公司,91110228103008005J,MY-A-6612,二级,2023/1/5,2026/1/4,北京市住房和城乡建设委员会
76,北京君信置业有限公司,91110115MAC47K2B82,DX-A-11001,二级,2023/1/5,2026/1/4,北京市住房和城乡建设委员会
77,北京恒房兴置业有限公司,91110111MA01R29AXE,FS-A-8924,二级,2023/3/16,2025/6/1,北京市住房和城乡建设委员会
78,北京龙熙丽景房地产开发有限公司,91110115788630592F,DX-A-7204,二级,2022/12/30,2025/12/29,北京市住房和城乡建设委员会
79,鹏瑞利美融加四（北京）置业有限公司,91110112071663354T,TZ-B-X3455,二级,2023/2/9,2026/2/8,北京市住房和城乡建设委员会
80,北京万通正远置业有限公司,91110116074136795N,HR-A-X2200,二级,2023/1/9,2026/1/8,北京市住房和城乡建设委员会
81,中铁十六局集团置业投资有限公司,91110000576914526P,CY-A-7660,二级,2023/1/9,2026/1/8,北京市住房和城乡建设委员会
82,北京联创盛业房地产开发有限公司,911102280613157789,MY-A-X3556,二级,2023/3/28,2026/3/27,北京市住房和城乡建设委员会
83,北京首开住总房地产开发有限公司,91110302095575359M,JK-A-X3512,二级,2023/3/29,2026/3/28,北京市住房和城乡建设委员会
84,北京腾琪房地产开发有限公司,91110000735563779Y,CY-A-0835,二级,2023/2/15,2026/2/14,北京市住房和城乡建设委员会
85,北京恒兴博达房地产开发有限公司,91110115MA003K9C3P,DX-A-X6678,二级,2023/3/15,2026/3/14,北京市住房和城乡建设委员会
86,北京商务中心区开发建设有限责任公司,911100007404159655,CY-A-0875,二级,2023/4/11,2026/4/10,北京市住房和城乡建设委员会
87,北京京府置业有限公司,91110111MA00BCLL56,FS-A-8582,二级,2023/3/16,2026/3/15,北京市住房和城乡建设委员会
88,北京世纪上越房地产开发有限责任公司,911101145858823007,CP-A-6759,二级,2023/3/21,2026/3/20,北京市住房和城乡建设委员会
89,北京鑫博置业有限公司,91110111MA00BRMR1J,FS-A-8585,二级,2023/3/7,2026/3/6,北京市住房和城乡建设委员会
90,北京东方康泰房地产开发经营有限责任公司,91110101101322092Q,DC-A-0033,二级,2023/2/22,2026/2/21,北京市住房和城乡建设委员会
91,中证丽泽置业（北京）有限责任公司,91110106MA01PENM9M,FT-A-9005,二级,2023/2/8,2025/7/20,北京市住房和城乡建设委员会
92,北京大栅栏永兴置业有限公司,91110000777655137G,XC-A-5311,二级,2023/3/7,2025/8/2,北京市住房和城乡建设委员会
93,北京首开龙湖盈泰置业有限公司,91110111MA00B4YT1Y,FS-A-8581,二级,2023/3/24,2026/3/23,北京市住房和城乡建设委员会
94,北京聚鑫城投置业有限公司,91110105MA019DR12A,CY-A-X1769,二级,2023/3/7,2025/5/22,北京市住房和城乡建设委员会
95,北京越星房地产开发有限公司,91110107MAC980H76M,SJ-A-11037,二级,2023/3/13,2026/3/12,北京市住房和城乡建设委员会
96,恒大地产集团北京有限公司,91110000078575066E,CY-A-X2509,二级,2023/3/7,2026/2/27,北京市住房和城乡建设委员会
97,北京未来科学城发展集团有限公司,91110000693243098K,CP-A-6719,二级,2023/2/22,2025/9/7,北京市住房和城乡建设委员会
98,北京联港置业有限公司,911101155674772487,DX-A-7196,二级,2023/3/3,2026/3/2,北京市住房和城乡建设委员会
99,北京红孚置业有限公司,91110105MAC9A9YG33,CY-A-11035,二级,2023/3/9,2026/3/8,北京市住房和城乡建设委员会
100,北京隆源建业房地产开发有限公司,91110228103013170K,MY-A-3013,二级,2023/3/24,2026/3/23,北京市住房和城乡建设委员会
101,北京天恒正同资产管理有限公司,91110102MA005NNC1M,XC-A-8647,二级,2023/2/20,2026/2/19,北京市住房和城乡建设委员会
102,北京财懋房地产开发有限公司,91110228579048862W,MY-A-6693,二级,2023/3/10,2026/3/9,北京市住房和城乡建设委员会
103,北京世博宏业房地产开发有限公司,911101087546572604,HD-A-X0165,二级,2023/3/16,2026/3/15,北京市住房和城乡建设委员会
104,北京华垣盛兴置业有限公司,91110113091871548J,SY-A-X3596,二级,2023/3/28,2026/3/27,北京市住房和城乡建设委员会
105,北京合盛润景置业有限公司,91110106MA01RK4051,FT-A-9009,二级,2023/3/2,2025/7/28,北京市住房和城乡建设委员会
106,北京海新域城市更新建设发展有限公司,91110108MA7K604L89,HD-A-11040,二级,2023/3/24,2026/3/23,北京市住房和城乡建设委员会
107,时代好未来教育科技（北京）有限公司,91110114MA01DP7280,CP-A-8854,二级,2023/2/16,2026/2/15,北京市住房和城乡建设委员会
108,北京睿元置业有限公司,91110105MAC753UM1R,CY-A-11042,二级,2023/3/24,2026/3/23,北京市住房和城乡建设委员会
109,北京中天城市更新投资有限公司,91110111357936223R,FS-A-8559,二级,2023/2/8,2026/2/7,北京市住房和城乡建设委员会
110,北京茂兴隆升房地产开发有限公司,91110113MABYJ5MT2T,SY-A-11030,二级,2023/2/22,2026/2/21,北京市住房和城乡建设委员会
111,北京丰科新元科技有限公司,91110106093364320M,FT-A-8753,二级,2023/3/3,2026/3/2,北京市住房和城乡建设委员会
112,北京西三旗高新建材城经营开发有限公司,91110108101143967Y,HD-A-8754,二级,2023/3/2,2026/3/1,北京市住房和城乡建设委员会
113,北京城建兴业置地有限公司,91110108791603309H,HD-A-6520,二级,2023/3/22,2026/3/21,北京市住房和城乡建设委员会
114,北京华恩房地产开发有限公司,91110105801706302H,CY-A-0624,二级,2023/2/8,2026/2/7,北京市住房和城乡建设委员会
115,北京云茂置业有限公司,91110106MA04B4722R,FT-A-9025,二级,2023/2/22,2025/6/14,北京市住房和城乡建设委员会
116,北京市大兴区保障性住房建设投资有限公司,91110115MA01C0HE6F,DX-A-X1201,二级,2023/3/3,2026/3/2,北京市住房和城乡建设委员会
117,北京岳恒房地产开发有限公司,91110105674281099N,CY-A-X6667,二级,2023/4/3,2026/4/2,北京市住房和城乡建设委员会
118,北京市丰台区鸿华房地产开发经营有限公司,911101061021839286,FT-A-1123,二级,2023/3/6,2026/3/5,北京市住房和城乡建设委员会
119,北京顺义新城发展有限公司,91110113664649080F,SY-A-11043,二级,2023/3/28,2026/3/27,北京市住房和城乡建设委员会
120,北京东海民德房地产开发有限公司,91110115685116865P,DX-A-7132,二级,2023/3/22,2026/3/21,北京市住房和城乡建设委员会
121,北京中铁华兴房地产开发有限公司,91110115MA003U2U39,DX-A-X6737,二级,2023/3/29,2026/3/28,北京市住房和城乡建设委员会
122,北京国家数字出版基地发展有限公司,91110106318359611M,FT-A-8751,二级,2023/3/23,2026/3/22,北京市住房和城乡建设委员会
123,北京银地房地产开发有限责任公司,911101061011785539,FT-A-1129,二级,2023/2/15,2025/8/25,北京市住房和城乡建设委员会
124,北京恒成伟业房地产开发有限公司,911101157614255800,DX-A-7191,二级,2023/2/16,2026/2/15,北京市住房和城乡建设委员会
125,北京都市岳华房地产开发有限公司,91110114102671331Q,CP-A-2001,二级,2023/3/24,2026/3/23,北京市住房和城乡建设委员会
126,北京燕房新城投资有限公司,91110111691664139X,FS-A-6877,二级,2023/2/27,2026/2/26,北京市住房和城乡建设委员会
127,北京医物园置业有限公司,9111010875528710X5,HD-A-3850,二级,2023/3/8,2026/3/7,北京市住房和城乡建设委员会
128,北京丽泽金都置业有限公司,91110000556827900G,FT-A-7537,二级,2023/2/7,2026/2/6,北京市住房和城乡建设委员会
129,北京首开荣泰置业有限公司,91110000563691191L,DC-A-7426,二级,2023/2/23,2026/2/22,北京市住房和城乡建设委员会
130,北京亚林西房地产开发有限公司,91110000330362629B,FT-A-8702,二级,2023/4/4,2026/4/3,北京市住房和城乡建设委员会
131,北京富源盛达房地产开发有限公司,91110115567404006M,DX-A-7199,二级,2023/3/16,2026/3/15,北京市住房和城乡建设委员会
132,北京万方安和投资有限责任公司,91110108057306465C,HD-A-11028,二级,2023/2/10,2026/2/9,北京市住房和城乡建设委员会
133,北京星泰通府置业有限公司,91110112MA0081CC8H,CY-A-X1281,二级,2023/2/8,2025/5/30,北京市住房和城乡建设委员会
134,北京欣达置业有限公司,91110115MA00C16W51,DX-A-X8766,二级,2023/3/24,2026/3/23,北京市住房和城乡建设委员会
135,北京京朝房地产开发有限公司,91110105722601772P,CY-A-0604,二级,2023/3/10,2026/3/9,北京市住房和城乡建设委员会
136,北京石开房地产开发有限公司,91110107102287559K,建开企[2001]191号,二级,2023/2/14,2026/2/13,北京市住房和城乡建设委员会
137,德润房地产开发集团有限公司,911100007002227045,MY-A-4522,二级,2023/3/27,2026/3/26,北京市住房和城乡建设委员会
138,北京天鸿铭基房地产开发有限公司,911100005514184386,SJ-A-6364,二级,2023/3/20,2026/3/19,北京市住房和城乡建设委员会
139,北京建机房地产有限责任公司,91110101101435126K,SJ-A-6436,二级,2023/3/2,2025/9/7,北京市住房和城乡建设委员会
140,明发集团北京房地产开发有限公司,911101156963608715,DX-A-7808,二级,2023/3/10,2026/3/9,北京市住房和城乡建设委员会
141,北京东方置地投资发展有限公司,9111010110123704XG,DC-A-0023,二级,2023/4/3,2026/4/2,北京市住房和城乡建设委员会
142,北京骏洋时代置业有限公司,91110107064913116U,SJ-A-6373,二级,2023/3/2,2025/7/28,北京市住房和城乡建设委员会
143,中关村医疗器械园有限公司,9111011505739790XX,DX-A-X5226,二级,2023/3/15,2026/3/14,北京市住房和城乡建设委员会
144,北京天江通睿置业有限公司,911100000613428053,CY-B-X3294,二级,2023/4/11,2026/4/10,北京市住房和城乡建设委员会
145,北京中海地产有限公司,911102287226014739,MY-A-4335,二级,2023/4/4,2024/2/9,北京市住房和城乡建设委员会
146,北京市云建房地产开发有限责任公司,9111010810189957XH,HD-A-0995,二级,2023/2/3,2025/8/30,北京市住房和城乡建设委员会
147,北京都城置业有限公司,9111022874331959XM,MY-A-4498,二级,2023/4/20,2026/4/19,北京市住房和城乡建设委员会
148,北京隽秀房地产开发有限公司,91110114MAC7E9E21E,CP-A-11034,二级,2023/3/2,2026/3/1,北京市住房和城乡建设委员会
149,北京丽泽金融商务区控股有限公司,911100006976928947,FT-A-11024,二级,2023/2/7,2026/2/6,北京市住房和城乡建设委员会
150,北京虹曦置业有限公司,91110113MACAQYQQ09,SY-A-11039,二级,2023/3/17,2026/3/16,北京市住房和城乡建设委员会
151,北京万金房地产开发有限公司,91110108MA00ADMA93,HD-A-8735,二级,2023/4/4,2026/4/3,北京市住房和城乡建设委员会
152,北京市聚鑫城房地产开发有限责任公司,911101056336982770,CY-A-0706,二级,2023/3/16,2025/5/22,北京市住房和城乡建设委员会
153,北京理想产业发展集团有限公司,91110108101133822X,HD-A-7735,二级,2023/3/24,2026/3/23,北京市住房和城乡建设委员会
154,北京京香伟业房地产开发公司,911101081018770208,HD-A-1061,二级,2023/2/15,2026/2/14,北京市住房和城乡建设委员会
