单位名称,备案证明号,分支机构,从业人员(经纪人员),投诉,信用档案
北京佳玺众邦房地产经纪有限公司,京经纪(2023)第10717号,0,1,0,0
北京日昇昌房地产经纪有限公司,京经纪(2023)第10718号,0,1,0,0
北京爱尚我佳房地产经纪有限公司,京经纪(2023)第10719号,0,3,0,0
北京鼎诚嘉业房地产经纪有限公司,京经纪(2023)第10720号,0,2,0,0
北京花田融创房地产经纪有限公司,京经纪(2023)第10721号,0,2,0,0
北京圣鑫源房地产经纪有限公司,京经纪(2023)第10722号,0,2,0,0
北京信德祥瑞房地产经纪有限公司,京经纪(2023)第10723号,0,2,0,0
北京早安起点房地产经纪有限公司,京经纪(2023)第10724号,0,2,0,0
北京耀阳房地产经纪有限公司,京经纪(2023)第10725号,0,2,0,0
北京嘉选房地产经纪有限公司,京经纪(2023)第10726号,0,3,0,0
北京瑞麦远航房地产经纪有限公司,京经纪(2023)第10727号,0,2,0,0
北京金磐房地产经纪有限公司,京经纪(2023)第10728号,0,2,0,0
北京惠租房地产经纪有限公司,京经纪(2023)第10730号,0,2,0,0
北京万邦安家房地产经纪有限公司,京经纪(2023)第10729号,0,2,0,0
北京瑞麦融创房地产经纪有限公司,京经纪(2023)第10731号,0,2,0,0
北京盛茂房地产经纪有限公司,京经纪(2023)第10732号,0,2,0,0
北京花田家和房地产经纪有限公司,京经纪(2023)第10733号,0,2,0,0
北京华兴盛远房地产经纪有限公司,京经纪(2023)第10734号,0,2,0,0
北京康茂房地产经纪有限公司,京经纪(2023)第10735号,0,2,0,0
北京中汇信业房地产经纪有限公司,京经纪(2023)第10737号,0,1,0,0
北京通达广源房地产经纪有限公司,京经纪(2023)第10738号,0,0,0,0
北京恒居客房地产经纪有限公司,京经纪(2023)第10746号,0,0,0,0
北京鑫思禄商业管理有限公司,京经纪(2023)第10747号,0,0,0,0
北京云巢基业物业管理有限公司,京经纪(2023)第10748号,0,0,0,0
北京云居房地产经纪有限公司,京经纪(2023)第10749号,0,2,0,0
北京天邦房地产经纪有限公司,京经纪(2023)第10751号,0,1,0,0
北京同创万家房地产经纪有限公司,京经纪(2023)第10752号,0,1,0,0
北京米家房地产经纪有限公司,京经纪(2023)第10754号,0,1,0,0
北京皓顺房地产经纪有限责任公司,京经纪(2023)第10753号,0,1,0,0
北京明汇房地产经纪有限公司,京经纪(2023)第10756号,0,2,0,0
环宇鑫盛（北京）房地产经纪有限公司,京经纪(2023)第10757号,0,2,0,0
北京星支点房地产经纪有限公司,京经纪(2023)第10759号,0,2,0,0
北京泛美房地产经纪有限公司,京经纪(2023)第10760号,0,2,0,0
北京奥冬房地产经纪有限公司,京经纪(2023)第10762号,0,2,0,0
北京客家顺房地产经纪有限公司,京经纪(2023)第10761号,0,2,0,0
寓见星空（北京）房地产经纪有限公司,京经纪(2023)第10763号,0,2,0,0
北京中城中机房地产经纪有限公司,京经纪(2023)第10765号,0,1,0,0
北京兴弘盛房地产经纪有限公司,京经纪(2023)第10764号,0,3,0,0
北京吴超房地产经纪有限公司,京经纪(2023)第10766号,0,2,0,0
北京安庭大境房地产经纪有限公司,京经纪(2023)第10767号,0,2,0,0
北京华特耀嘉房地产经纪有限公司,京经纪(2023)第10769号,0,1,0,0
