房山区国家高新技术企业名单,Unnamed: 1,Unnamed: 2,Unnamed: 3
序号,企业名称,证书编号,主营产品（服务）所属技术领域
1,北京海沃思信息科技有限公司,GR202111000689,电子信息
2,北京同舟鸿图国际文化传媒有限公司,GR202111000693,电子信息
3,安诺克斯（北京）环境科技有限公司,GR202111000308,新能源与节能
4,盛世菁华（北京）生物科技有限公司,GR202111000498,生物与新医药
5,北京中能技检测科技有限公司,GR202111000079,先进制造与自动化
6,北京中燕恒成能源有限公司,GR202111000254,新材料
7,北京弘纳绿源科技发展有限公司,GR202111000317,新材料
8,北京恒信化工有限公司,GR202111000071,新材料
9,大童保险销售服务有限公司,GR202111000669,高技术服务
10,北京三凡华阳智能科技有限公司,GR202111000377,高技术服务
11,北京天华北方建筑设计有限公司,GR202111000060,高技术服务
12,北京九鼎绿环科技股份有限公司,GR202111000394,资源与环境
13,北京科泰兴达高新技术有限公司,GR202111000085,资源与环境
14,碳能科技（北京）有限公司,GR202111000091,新能源与节能
15,多维联合集团有限公司,GR202111000470,新能源与节能
16,北京嘉德实创制冷科技有限公司,GR202111000613,新能源与节能
17,北京臻味坊食品有限公司,GR202111000362,生物与新医药
18,北京田园奥瑞生物科技有限公司,GR202111000552,生物与新医药
19,劳伦斯泵业机械（北京）有限公司,GR202111000402,先进制造与自动化
20,北京牧风科技有限公司,GR202111000106,先进制造与自动化
21,北京京西重工有限公司,GR202111000119,先进制造与自动化
22,君光畜牧科技（北京）有限公司,GR202111000105,先进制造与自动化
23,北京妙思特仪表有限公司,GR202111000610,先进制造与自动化
24,北京赛福贝特能源技术服务有限公司,GR202111002767,先进制造与自动化
25,北京天佑新辔高新技术有限公司,GR202111002605,先进制造与自动化
26,北京市金万旺科技有限公司,GR202111001092,先进制造与自动化
27,北京华腾盛和科技有限公司,GR202111002171,先进制造与自动化
28,北京北重汽车改装有限公司,GR202111002321,先进制造与自动化
29,北京海舶无人船科技有限公司,GR202111001608,先进制造与自动化
30,北京科诚中业汽车零部件制造有限公司,GR202111001610,先进制造与自动化
31,北京航辰机载智能系统科技有限公司,GR202111002097,航空航天
32,北京瑞维通工程机械有限公司,GR202111002021,先进制造与自动化
33,中恒丰建筑集团有限公司,GR202111000774,新材料
34,北京瑞普同创科技发展有限公司,GR202111000713,新材料
35,北京市军鹰星润滑油加工厂,GR202111001597,新材料
36,北京淡适生物科技有限公司,GR202111002491,电子信息
37,北京兴明世纪科技有限公司,GR202111002066,电子信息
38,北京隆盛创兴科技有限公司,GR202111001909,电子信息
