序号,行政相对人名称,行政相对人代码_1(统一社会信用代码),行政处罚决定书文号,处罚决定日期
760,北京天宇恒远伟业房地产经纪有限责任公司,91110105582523038F,京建法罚(朝房)字〔2017〕第600404号,2021-06-30
761,北京岳安物业管理有限责任公司,911101016337935221,京建法罚(朝房)字〔2017〕第600587号,2021-05-20
762,北京懒人仓仓储服务有限公司,91110112MA00BDJC1U,京建法罚(朝房)字〔2017〕第600591号,2021-06-24
764,北京华腾世纪物业管理有限公司,911101137002953213,京建法罚(朝房)字〔2017〕第600707号,2021-04-16
765,北京金丰利泰物业管理有限公司,91110105673839337P,京建法罚(朝房)字〔2017〕第600709号,2021-05-21
766,北京嘉亮物业管理有限公司,911101067400931508,京建法罚(朝房)字〔2018〕第600176号,2021-07-07
768,北京逸家洁信息技术股份有限公司,9111010559385801XR,京建法罚(朝房)字〔2019〕第600222号,2021-02-25
769,北京卓杰宝业房地产经纪有限公司,911101056996374777,京建法罚(朝房)字〔2019〕第600366号,2021-07-14
771,北京康洲绿景社区服务有限公司,91110112MA00414T47,京建法罚(朝房)字〔2020〕第600090号,2021-07-09
772,北京酒仙房地产开发有限公司,91110000600035872Q,京建法罚(朝房)字〔2020〕第600135号,2021-03-18
773,北京西宇嘉业物业管理有限公司百子园分公司,91110105760905937Y,京建法罚(朝房)字〔2020〕第600145号,2021-02-25
775,北京锐尚置地房地产经纪有限公司,91110112MA008E623K,京建法罚(朝房)字〔2021〕第600002号,2021-04-19
782,北京林萃物业管理有限责任公司,91110105700377386P,京建法罚(朝房)字〔2021〕第600009号,2021-04-28
786,保利物业管理(北京)有限公司朝阳分公司,91110105688381904E,京建法罚(朝房)字〔2021〕第600013号,2021-03-18
793,金碧物业有限公司北京分公司,91110114082891088C,京建法罚(朝房)字〔2021〕第600020号,2021-03-08
794,北京胜利园餐饮有限公司,91110105633782612G,京建法罚(朝房)字〔2021〕第600021号,2021-03-12
795,北京瑞诚物业管理有限公司,911101057786258022,京建法罚(朝房)字〔2021〕第600022号,2021-03-12
798,百年城堡(北京)国际物业管理有限公司,91110105756701739T,京建法罚(朝房)字〔2021〕第600025号,2021-06-10
810,北京安信恒基房地产经纪有限责任公司,911101027577223043,京建法罚(朝房)字〔2021〕第600037号,2021-03-16
813,北京新京润房地产有限公司,91110000789952059K,京建法罚(朝房)字〔2021〕第600040号,2021-04-19
817,北京富力天成房地产经纪有限公司,9111010655484984X6,京建法罚(朝房)字〔2021〕第600044号,2021-03-25
818,北京浩达行房地产经纪有限公司,91110106MA0087T71U,京建法罚(朝房)字〔2021〕第600045号,2021-03-23
819,北京安居惠房地产经纪有限公司,91110108MA00736U7R,京建法罚(朝房)字〔2021〕第600046号,2021-03-24
820,北京玖玖港龙物业管理有限公司,9111010567171280X4,京建法罚(朝房)字〔2021〕第600047号,2021-06-10
821,北京鸿翔博远物业管理有限公司,911101053065639497,京建法罚(朝房)字〔2021〕第600048号,2021-04-02
822,北京森柏房地产经纪有限公司,91110108682896499R,京建法罚(朝房)字〔2021〕第600049号,2021-04-01
823,北京市恒安物业管理有限公司第十分公司,91110105064890305U,京建法罚(朝房)字〔2021〕第600050号,2021-05-06
824,北京安信瑞德房地产经纪有限公司,91110000794052784T,京建法罚(朝房)字〔2021〕第600051号,2021-04-22
825,北京润成房地产经纪有限公司,91110105763514325E,京建法罚(朝房)字〔2021〕第600052号,2021-04-13
826,上海深长城物业管理有限公司沧州分公司,91130902MA07XBNR0X,京建法罚(朝房)字〔2021〕第600053号,2021-07-23
827,上海深长城物业管理有限公司沧州分公司,91130902MA07XBNR0X,京建法罚(朝房)字〔2021〕第600054号,2021-07-07
828,北京联帮易居房地产经纪有限公司,91110105560438182G,京建法罚(朝房)字〔2021〕第600056号,2021-04-13
829,北京永盛置地房地产经纪有限公司,911101057868952715,京建法罚(朝房)字〔2021〕第600057号,2021-04-23
834,北京市恒安物业管理有限公司第十分公司,91110105064890305U,京建法罚(朝房)字〔2021〕第600062号,2021-05-06
835,北京鼎瞻房地产经纪有限公司,91110105593819379B,京建法罚(朝房)字〔2021〕第600063号,2021-04-25
836,北京深长城物业管理有限公司,911101176869247842,京建法罚(朝房)字〔2021〕第600064号,2021-05-26
838,北京住建新远房地产经纪有限责任公司,91110105758246856U,京建法罚(朝房)字〔2021〕第600066号,2021-05-06
839,北京程远伟业房地产经纪有限公司,911101057889880173,京建法罚(朝房)字〔2021〕第600067号,2021-04-30
