检查主体,检查类别,检查单号,检查日期,被检查单位或个人名称,检查结果
北京市民政局,行政检查,2021010001,2021/3/20,北京市万安公墓,合格
北京市民政局,行政检查,20210100002,2021/3/20,北京市温泉墓园,合格
北京市民政局,行政检查,202104001GM,2021/3/20,北京市八宝山革命公墓,合格
北京市民政局,行政检查,202104002GM,2021/3/20,北京市八宝山人民公墓,合格
北京市民政局,行政检查,2021080003,2021/3/20,北京市通州区惠灵山陵园管理中心,合格
北京市民政局,行政检查,2021080004,2021/3/20,北京市通惠陵园,合格
北京市民政局,行政检查,2021010003,2021/3/21,北京市殡仪服务中心,合格
北京市民政局,行政检查,2021010004,2021/3/21,北京市西静园管理处,合格
北京市民政局,行政检查,202104003GM,2021/3/21,北京市福田公墓,合格
北京市民政局,行政检查,202104004GM,2021/3/21,北京万佛华侨陵园有限公司,合格
北京市民政局,行政检查,2021080001,2021/3/21,北京市天慈墓园,合格
北京市民政局,行政检查,2021080002,2021/3/21,北京市天堂公墓,合格
北京市民政局,行政检查,2021010005,2021/3/22,北京市西北旺公墓管理办公室,合格
北京市民政局,行政检查,20210300001,2021/3/22,北京市凤凰山陵园,合格
北京市民政局,行政检查,2021010006,2021/3/24,北京八宝山礼仪公司宝云岭墓园,合格
北京市民政局,行政检查,2021010007,2012/3/25,北京市长安园公墓有限责任公司,合格
北京市民政局,行政检查,202102bz001,2021/3/27,北京市太子峪陵园,合格
北京市民政局,行政检查,202102bz002,2021/3/27,北京市回民殡葬管理处,合格
北京市民政局,行政检查,202102bz003,2021/3/28,北京思亲园园艺有限公司,合格
北京市民政局,行政检查,202102bz004,2021/3/28,北京市房山区静安墓园管理处,合格
北京市民政局,行政检查,202104005GM,2021/3/28,北京市门头沟区天山陵园,合格
北京市民政局,行政检查,20210300002,2021/4/10,北京市九公山长城纪念林有限公司,合格
北京市民政局,行政检查,20210300003,2021/4/11,北京市潮白陵园,合格
北京市民政局,行政检查,202104006ST,2021/4/22,北京宿州企业商会,不合格
北京市民政局,行政检查,20210300004,2021/7/28,昌怀线1,合格
北京市民政局,行政检查,2021S030001,2021/8/10,北京市台球协会,不合格
北京市民政局,行政检查,202105006,2021/8/17,昌延线1,合格
北京市民政局,行政检查,202105007,2021/8/18,海门昌S,合格
北京市民政局,行政检查,202105008,2021/8/18,门昌线1,合格
北京市民政局,行政检查,202105009,2021/8/18,门昌线2,合格
北京市民政局,行政检查,202102SC001,2021/9/16,戴某（彩票网点编号11126036）,合格
北京市民政局,行政检查,202102SC002,2021/9/16,戴某（彩票网点编号11126017）,合格
北京市民政局,行政检查,202102SC003,2021/9/16,叶某（彩票网点编号11126003）,合格
北京市民政局,行政检查,202102SZ001,2021/9/23,北京市创业投资法学研究会,合格
北京市民政局,行政检查,202105010,2021/9/27,张某（彩票网点编号11122506）,合格
北京市民政局,行政检查,202105011,2021/9/27,田某某（彩票网点编号14201400-S）,合格
北京市民政局,行政检查,202105012,2021/9/27,孟某某（彩票网点编号12202300-S）,合格
北京市民政局,行政检查,202105013,2021/9/27,孟某某（彩票网点编号10273300-S）,合格
北京市民政局,行政检查,202104001FC,2021.10.11,段某某（彩票网点编号11114074）,合格
北京市民政局,行政检查,202104002FC,2021.10.11,闫某某（彩票网点编号11154024）,合格
北京市民政局,行政检查,202104003FC,2021.10.11,杨某某（彩票网点编号11154025）,合格
北京市民政局,行政检查,2021010014,2021.10.12,北京药学会,合格
北京市民政局,行政检查,202104004QH,2021.10.12,丰石线1（界桩）,合格
北京市民政局,行政检查,202104005QH,2021.10.12,丰石线2（界桩）,合格
北京市民政局,行政检查,202104006QH,2021.10.12,丰石线3（界桩）,合格
北京市民政局,行政检查,202105014,2021.10.12,李某（彩票网点编号11113060）,合格
北京市民政局,行政检查,202105015,2021.10.12,白某某（彩票网点编号11113076）,合格
北京市民政局,行政检查,202105S001,2021.10.12,北京绿色啄木鸟志愿服务中心,合格
北京市民政局,行政检查,202105S002,2021.10.12,北京市城市管理志愿者协会,合格
北京市民政局,行政检查,202105S003,2021.10.13,北京花卉协会,合格
北京市民政局,行政检查,202105S004,2021.10.13,北京微电影产业协会,合格
北京市民政局,行政检查,202105S005,2021.10.13,北京青年戏剧工作者协会,合格
北京市民政局,行政检查,20210100009,2021.10.14,张某（彩票网点编号11106155）,合格
北京市民政局,行政检查,20210100010,2021.10.14,宋某某（彩票网点编号11106290）,合格
北京市民政局,行政检查,20210100011,2021.10.14,白某（彩票网点编号11106269）,合格
北京市民政局,行政检查,20210100012,2021.10.14,姜某某（彩票网点编号）11126002,合格
北京市民政局,行政检查,20210100013,2021.10.14,计某某（彩票网点编号11106311）,合格
北京市民政局,行政检查,202102XZ001,2021.10.14,门房线2号（界桩）,合格
北京市民政局,行政检查,202102XZ002,2021.10.14,门房线3号（界桩）,合格
北京市民政局,行政检查,202102XZ003,2021.10.14,门房线1号（界桩）,合格
北京市民政局,行政检查,202102SCF004,2021.10.14,王某某（彩票网点编号11170005）,合格
北京市民政局,行政检查,202102SCF005,2021.10.14,王某某（彩票网点编号11150015）,合格
北京市民政局,行政检查,202104007ST,2021.10.14,北京潮人海外联谊会,合格
北京市民政局,行政检查,202104008MF,2021.10.14,北京市丰台区老年人协会莲花池康复医院,不合格
北京市民政局,行政检查,202104010FC,2021.10.15,郭某某（彩票网点编号11111020）,合格
北京市民政局,行政检查,202104009MF,2021.10.15,北京国宏文化产业发展院,合格
北京市民政局,行政检查,2.02101E+11,2021.10.18,北京星宇福生慈善基金会,合格
北京市民政局,行政检查,202102ST001,2021.10.18,北京滑县企业商会,合格
北京市民政局,行政检查,202102ST003,2021.10.18,北京永定企业商会,合格
北京市民政局,行政检查,202104011JJH,2021.10.19,北京惠兰医学基金会（基金会）,合格
北京市民政局,行政检查,202104012CS,2021.10.19,北京惠兰医学基金会（慈善组织）,合格
北京市民政局,行政检查,202104013JJH,2021.10.19,北京恒昌公益基金会（基金会）,合格
北京市民政局,行政检查,202104014CS,2021.10.19,北京恒昌公益基金会（慈善组织）,合格
北京市民政局,行政检查,202106JC002,2021.10.19,吉某某（彩票网点编号11101609）,合格
北京市民政局,行政检查,202106JC001,2021.10.19,王某某（彩票网点编号11101604）,合格
北京市民政局,行政检查,2021040001FC,2021.10.20,徐某某（彩票网点编号11108088）,合格
北京市民政局,行政检查,20210402FC,2021.10.20,于某某（彩票网点编号11108015）,合格
北京市民政局,行政检查,2021040015JJH,2021.10.20,北京中医药发展基金会,不合格
