2020年度北京市技术先进型服务企业名单,,
序号,认定时间,企业名称
1,2020.5.27,准能科技（北京）有限公司
2,2020.5.27,北京宝洁技术有限公司
3,2020.5.27,北京智明创发软件有限公司
4,2020.5.27,北京诺和诺德医药科技有限公司
5,2020.5.27,讯和创新科技（北京）有限公司
6,2020.5.27,北矿力澜科技咨询（北京）有限公司
7,2020.5.27,北京爱博生生物技术有限公司
8,2020.5.27,北京凹凸微系电子开发有限公司
9,2020.5.27,中美冠科生物技术（北京）有限公司
10,2020.5.27,耐瑞唯信（北京）技术有限公司
11,2020.5.27,日电卓越软件科技（北京）有限公司
12,2020.5.27,北京核心软件有限公司
13,2020.5.27,北京安必奇生物科技有限公司
14,2020.5.27,瑞萨集成电路设计（北京）有限公司
15,2020.5.27,理光软件研究所（北京）有限公司
16,2020.5.27,北京网脑科技发展有限公司
17,2020.5.27,赛灵思电子科技（北京）有限公司
18,2020.5.27,中原信达知识产权代理有限责任公司
19,2020.5.27,中原信达知识产权服务（北京）有限公司
20,2020.5.27,北京富士通系统工程有限公司
21,2020.5.27,都科摩（北京）通信技术研究中心有限公司
22,2020.5.27,韩领网络科技（北京）有限公司
23,2020.5.27,保诺科技（北京）有限公司
24,2020.5.27,北京世联互动网络有限公司
25,2020.5.27,北京尖峰计算机系统有限公司
26,2020.5.27,路孚特（中国）科技有限公司
27,2020.5.27,科文斯医药研发（北京）有限公司
28,2020.5.27,博雅缉因（北京）生物科技有限公司
29,2020.5.27,北京新聚思信息技术有限公司
30,2020.5.27,大冢制药研发（北京）有限公司
31,2020.5.27,高通无线通信技术（中国）有限公司
32,2020.5.27,友邦创新资讯科技（北京）有限公司
33,2020.5.27,北京邦友科技开发有限公司
34,2020.5.27,北京盛安德科技发展有限公司
35,2020.5.27,摩凯路科技（北京）有限公司
36,2020.5.27,高通无线半导体技术有限公司
37,2020.5.27,北京恒研科技有限公司
38,2020.5.27,国际商业机器（中国）投资有限公司
39,2020.5.27,美中互利（北京）国际贸易有限公司
40,2020.5.27,英特尔移动通信技术（北京）有限公司
41,2020.5.27,英特尔（中国）研究中心有限公司
42,2020.5.27,康龙化成（北京）新药技术股份有限公司
43,2020.5.27,北京威锐科技有限公司
44,2020.5.27,爱恩康临床医学研究（北京）有限公司
45,2020.5.27,红帽软件（北京）有限公司
46,2020.5.27,穆迪分析咨询服务（北京）有限公司
47,2020.5.27,凌翔创意软件（北京）有限公司
48,2020.5.27,康龙化成（北京）生物技术有限公司
49,2020.5.27,默沙东研发（中国）有限公司
50,2020.5.27,思科系统（中国）信息技术服务有限公司 
51,2020.5.27,亚太信宇通信技术（北京）有限公司
52,2020.5.27,联发博动科技（北京）有限公司
53,2020.5.27,北京法马苏提克咨询有限公司
54,2020.5.27,北京利达智通信息技术有限公司
55,2020.5.27,北京楷登信息技术有限公司
56,2020.5.27,思博伦通信科技（北京）有限公司
57,2020.5.27,瞬联讯通科技（北京）有限公司
58,2020.5.27,北京三星通信技术研究有限公司
59,2020.5.27,百济神州（北京）生物科技有限公司
60,2020.5.27,野村综研（北京）系统集成有限公司
61,2020.5.27,苹果研发（北京）有限公司
62,2020.5.27,亚帝文软件（北京）有限公司
63,2020.5.27,斯伦贝谢技术（北京）有限公司
64,2020.5.27,北京安科网际软件开发有限公司
65,2020.5.27,点点互动（北京）科技有限公司
66,2020.5.27,中科创达软件股份有限公司
67,2020.5.27,欧安诺（北京）科技有限公司
68,2020.5.27,施维雅（北京）医药研发有限公司
69,2020.5.27,仙童半导体技术（北京）有限公司
70,2020.5.27,IGT科技开发（北京）有限公司
71,2020.5.27,睿剑科技（北京）有限公司
72,2020.5.27,海隆网讯科技（北京）有限公司
73,2020.5.27,飞维美地信息技术（北京）有限公司
74,2020.5.27,瞻博网络研发（北京）有限公司
75,2020.5.27,北京祖睿科技有限公司
76,2020.5.27,北京安亿致用科技有限公司
77,2020.5.27,易智瑞（北京）软件研发中心有限公司
78,2020.5.27,北京千代福信息技术有限公司
79,2020.5.27,美满电子科技（北京）有限公司
80,2020.5.27,易安信信息技术研发（北京）有限公司
81,2020.5.27,北京康利华咨询服务有限公司
82,2020.5.27,北京四达时代传媒有限公司
83,2020.5.27,北京温菲尔德石油技术开发有限公司?
84,2020.5.27,宝马（中国）服务有限公司
85,2020.5.27,北京路浩知识产权代理有限公司
86,2020.5.27,沃奇卫士技术（北京）有限责任公司
87,2020.5.27,网件（北京）网络技术有限公司
88,2020.5.27,北京美尔斯通科技发展股份有限公司
89,2020.5.27,亚信远航软件（北京）有限公司
90,2020.5.27,北京斯奎德量子技术有限公司
91,2020.5.27,北京诺禾致源生物科技有限公司
92,2020.5.27,空客（北京）工程技术中心有限公司
93,2020.5.27,霍尼韦尔（北京）技术研发实验有限公司
94,2020.5.27,北京东方亿思知识产权代理有限责任公司
95,2020.5.27,赛仕软件研究开发（北京）有限公司
