项目名称,项目编号,采购人,供应商,签订日期,公告日期
北京市监狱管理局公务用车购置项目政府采购合同, 110000******00017529-XM001-004 　, 北京市监狱管理局（本级）, 北京八通互联汽车服务有限公司, 2022-10-13,44869
北京市监狱管理局公务用车购置项目政府采购合同,110000******00017529-XM001-003, 北京市监狱管理局（本级）,北京京铃顺汽车销售有限公司,44847,44869
北京市监狱管理局公务用车购置项目政府采购合同,110000******00017529-XM001-002, 北京市监狱管理局（本级）, 徐州海伦哲专用车辆股份有限公司,44847, 2022-10-26
北京市监狱管理局公务用车购置项目政府采购合同, 110000******00017529-XM001-001, 北京市监狱管理局（本级）,北京中电联汽车服务有限责任公司,44847, 2022-10-26
北京市监狱管理局清河分局茶西监狱2022-2023年度保安服务项目(第二次),110000******00022269-XM001(2),北京市监狱管理局清河分局茶西监狱,北京市保安服务总公司,44868,44882
北京市监狱管理局清河分局茶西监狱2022年物业服务项目,110000******00017209-XM001,北京市监狱管理局清河分局茶西监狱,北京百特物业管理有限公司,44853,44858
北京市监狱管理局2022年警服购置政府采购项目（第12包）,110000******00015013-XM001(3),北京市监狱管理局（本级）,加佳控股集团有限公司,44842,44842
北京市监狱管理局2022年警服购置政府采购项目(第八包),100002******0015013-XM001(2),北京市监狱管理局（本级）,北京市同乐制帽厂,44827,44827
北京市监狱管理局2022年警服购置政府采购项目,110000******00015013-XM001,北京市监狱管理局（本级）,吉林省荣发服装服饰有限公司,44827,44827
北京市监狱管理局2022年警服购置政府采购项目,110000******00015013-XM001,北京市监狱管理局（本级）,加佳控股集团有限公司,44806,44809
