序号,机构名称,依托单位
1,"可重复使用空天运载器系统设计
北京市重点实验室",北京航空航天大学
2,"可重复使用运载器工程力学与飞行控制
北京市重点实验室",中国科学院力学研究所
3,"可重复使用液氧甲烷运载火箭总体集成与应用
北京市重点实验室",蓝箭航天空间科技股份有限公司
4,天基空间环境探测北京市重点实验室,中国科学院国家空间科学中心
5,高效能空间推进技术北京市重点实验室,北京控制工程研究所
6,旋转爆震推进技术与应用北京市重点实验室,清华大学
7,卫星互联网应用技术北京市重点实验室,中国星网网络应用研究院有限公司
8,卫星互联与控制技术北京市重点实验室,中科星图股份有限公司
9,先进垂直起降飞行器技术北京市重点实验室,北京航空航天大学
10,高端MEMS器件可靠性技术北京市重点实验室,中国机械科学研究总院集团有限公司
11,"工业互联网MEMS技术及器件可靠性
北京市重点实验室",北京邮电大学
12,"高精密机床正向设计与智能加工技术
北京市重点实验室",北京工业大学
13,变革性高端制造装备与技术北京市重点实验室,清华大学
14,"交通通信智能感知与韧性运行控制技术
北京市重点实验室",交控科技股份有限公司
15,低空空域智能管控北京市重点实验室,中国铁路通信信号股份有限公司
16,"空地协同自主式交通智能控制
北京市重点实验室",北方工业大学
17,石墨烯可控生长技术与应用北京市重点实验室,北京石墨烯研究院
18,高熵能源材料与器件北京市重点实验室,北京纳米能源与系统研究所
19,材料智能技术北京市重点实验室,北京科技大学
20,固体微结构与性能北京市重点实验室,北京工业大学
21,氢能材料智能设计与制造北京市重点实验室,北京化工大学
22,"轨道交通新材料基因工程及应用
北京市重点实验室",北京交通大学
23,碳化硅半导体材料北京市重点实验室,中国科学院物理研究所
24,先进激光材料与器件北京市重点实验室,北京工业大学
25,复合固态电池北京市重点实验室,中国科学院物理研究所
26,先进电池材料理论与技术北京市重点实验室,北京大学
27,固态电池及储能过程北京市重点实验室,中国科学院过程工程研究所
