序号,企业名称,企业性质,企业所属领域,企业联系人,统一社会信用代码,企业所在区
1.0,"中国建筑材料科学研究总院有限公

司",央企,智能制造领域,邓*,91110000400001045N,朝阳区
2.0,北京凯盛建材工程有限公司,央企,智能制造领域,邓*,911101057587185181,朝阳区
3.0,中建材智慧工业科技有限公司,央企,智能制造领域,邓*,91110108MA001HUR00,海淀区
4.0,"中国国检测试控股集团股份有限公

司",央企,智能制造领域,邓*,91110000101123421K,朝阳区
5.0,北京奥达清环境检测有限公司,央企,智能制造领域,邓*,91110102765522249H,开发区
6.0,"国检测试控股集团仪器装备（北京）
有限公司",央企,智能制造领域,邓*,91110105351298080B,朝阳区
7.0,北京玻钢院检测中心有限公司,央企,智能制造领域,邓*,91110229MA01P5MX8K,延庆区
8.0,中建材行业生产力促进中心有限公司,央企,智能制造领域,邓*,911100007109332945,朝阳区
9.0,国检测试控股集团北京有限公司,央企,智能制造领域,邓*,91110112055561374G,通州区
10.0,中建材创新科技研究院有限公司,央企,智能制造领域,邓*,911101145751669179,昌平区
11.0,西门子（中国）有限公司,"外国法人

     独资",智能制造领域,金*,91110000625907585K,朝阳区
,中国石化工程建设有限公司,央企,智能制造领域,滕*,91110000101692827Q,朝阳区
13.0,中国寰球工程有限公司,央企,智能制造领域,刘*,91110000101726636L,朝阳区
14.0,中石化石油工程地球物理有限公司,央企,智能制造领域,张*,91110000059218012E,朝阳区
15.0,"中国能源建设集团国际工程有限公

司",央企,新能源领域,王*铭/王*,91110105MA01BDDN4H,朝阳区
16.0,天地科技股份有限公司,央企,智能制造领域,罗*,911100007109261826,朝阳区
17.0,中海储能科技（北京）有限公司,私企,新能源领域,徐*,91110109MA01XK4J3P,昌平区
18.0,北京首钢朗泽科技股份有限公司,国有控股,新能源领域,岳*琪,91110000585809293A,石景山
19.0,"思瑞浦微电子科技（北京）有限公
司",公营企业,"智能新能源汽

车领域",张*,91110108MA0215WP6L,海淀区
20.0,北京小马易行科技有限公司,民营企业,"智能新能源汽

车领域",毕*然,91110302MA01KWGY44,经开区
21.0,中路高科交通科技集团有限公司,国有企业,"智能新能源汽

车领域",张*,911101086932759117,海淀区
22.0,博云视觉（北京）科技有限公司,民营企业,"智能新能源汽

车领域",陈*,91110108MA002TW94A,海淀区
23.0,元橡科技（北京）有限公司,民营企业,"智能新能源汽

车领域",陈*,91110108MA00C9J162,海淀区
24.0,中科视语（北京）科技有限公司,民营企业,"智能新能源汽

车领域",张*,91110109MA01B8G798,"门头沟

区"
25.0,北京鸿翼芯汽车电子科技有限公司,民营企业,"智能新能源汽

车领域",王*琪,91110105MAE2KG3065,朝阳区
26.0,北京四维图新科技股份有限公司,民营企业,"智能新能源汽

车领域",舒*辉,91110000745467123H,海淀区
27.0,国汽智图（北京）科技有限公司,民营企业,"智能新能源汽

车领域",王*,91110400MA04EXGQ15,大兴区
28.0,"北京国家新能源汽车技术创新中心

有限公司",国有企业,"智能新能源汽

车领域",王*,91110302MA0191990R,经开区
29.0,航天中认软件测评科技（北京）有限责任公司,国有企业,智能新能源汽车领域,陈*,91110108064901967R,海淀区
30.0,北京雷科防务科技股份有限公司,民营企业,"智能新能源汽

车领域",毛*,91320400745550891Q,海淀区
31.0,联通智网科技股份有限公司,民营企业,"智能新能源汽

车领域",卢*,91110228351596010W,密云区
32.0,北京炎黄国芯科技有限公司,民营企业,"智能新能源汽

车领域",王*东,91110108MA00968A5J,海淀区
33.0,中电科奥义健康科技有限公司,国有企业,"智能新能源汽

车领域",柳*忆,91110107MA7KHPU0X5,"石景山

区"
34.0,"仁芯致远（北京）半导体科技有限
公司",民营企业,"智能新能源汽

车领域",金*,91110400MADAUWE34T,经开区
35.0,北京极光星通科技有限公司,民营企业,智能制造领域,隋*慧,91110108MA01UFKR00,海淀区
36.0,北京易动宇航科技有限公司,民营企业,智能制造领域,臧*敏,91110114MA01R38A64,海淀区
37.0,北京中科深链空间科技有限公司,民营企业,智能制造领域,安*社,91110116MA01NFNHXE,经开区
38.0,"北京亦庄可重复使用火箭技术创新

中心有限公司",民营企业,智能制造领域,张*洲,91110400MAE16FU67F,经开区
39.0,蓝箭航天空间科技股份有限公司,民营企业,智能制造领域,刘*媛,91110108344314759F,经开区
40.0,北京星河动力装备科技有限公司,民营企业,智能制造领域,刘*薇,911101070805104647,经开区
41.0,北京中科宇航技术有限公司,民营企业,智能制造领域,王*诚,91110106MA003EBQ4D,经开区
42.0,北京林业工程咨询有限公司,民营企业,智能制造领域,李*伟,91110101101300846F,东城区
43.0,北京微纳星空科技股份有限公司,民营企业,智能制造领域,陈*,91110108MA00GUD41A,海淀区
44.0,椭圆时空（北京）科技有限公司,民营企业,智能制造领域,徐*桥,91110116MA005LQ58A,海淀区
45.0,北京中科芯试验空间科技有限公司,民营企业,智能制造领域,上官*鹏,91110116MA01QMRE60,海淀区
46.0,中科星图维天信科技股份有限公司,民营企业,智能制造领域,白*亮,91110108799043123N,海淀区
47.0,航天时代飞鸿技术有限公司,民营企业,智能制造领域,李*,91110108MA01BGGF6J,延庆区
48.0,北京清航紫荆装备科技有限公司,民营企业,智能制造领域,李*,91110108MA001GL774,延庆区
