昌平区专精特新企业,,
序号,企业名称,统一社会信用代码
1,北京恒源力创电力技术有限公司,91110114671704498D
2,北京太平洋水泥制品有限公司,91110114742603302D
3,北京阳光云视科技有限公司,91110108099646193K
4,北京中农劲腾生物技术股份有限公司,911101146621667718
5,中农华威制药股份有限公司,91110114101540217C
6,北京博亚盛技术检测有限公司,911101063063601640
7,北京德康正泰科技有限公司,911101148026535564
8,北京天凯华尊科技有限公司,911101147546629590
9,太平洋远景石油技术（北京）有限公司,911101145636005959
10,中茶科技（北京）有限公司,91110114MA01B17D17
11,国能龙源蓝天节能技术有限公司,9111010857520838XF
12,北京和瑞储能科技有限公司,91110114MA007FQ1XM
13,中建材创新科技研究院有限公司,911101145751669179
14,中铝材料应用研究院有限公司,91110114MA00D2NA1D
15,北京泛谷创意科技有限公司,91110108MA01DWMC4U
16,北京锐和昌航天科技有限公司,911101145825946292
17,北京云建信科技有限公司,91110107MA0017MH0Y
18,北京龙慧珩医疗科技发展有限公司,91110114600488660B
19,北京同洲维普科技有限公司,91110114662172047T
20,华智众创（北京）投资管理有限责任公司,91110108MA0021B86A
21,圣科瑞（北京）科技有限公司,91110114MA00CJ9CX8
22,北京点银津达科技有限公司,91110108064945628K
23,北京英格条码技术发展有限公司,911101146000162844
24,北京市警盾京西厨房设备有限公司,91110114633765986C
25,中洁蓝环保科技有限公司,91110108MA008CEC0T
26,北京帮威客科技有限公司,91110114MA00CXAX6P
27,安科工程技术研究院（北京）有限公司,91110108061282670L
28,北京安科管道工程科技有限公司,91110108760910023D
29,讯飞幻境（北京）科技有限公司,91110105MA0054EE9C
30,云天瀚科技发展有限公司,91110113MA01DLUW9B
31,北京修正创新药物研究院有限公司,911101140573956483
32,北京国电电科院检测科技有限公司,911101147770667031
33,北京华美讯通科技有限公司,91110102306311661R
34,北京梦知网科技有限公司,91110105318281981A
35,北京金万众空调制冷设备有限责任公司,91110114634393627W
36,北京迦南莱米特科技有限公司,91110114554877066Y
37,北京百利时能源技术股份有限公司,911101055585738522
38,北京森馥科技股份有限公司,91110105738201255F
39,中影年年（北京）文化传媒有限公司,91110114579053389D
40,北京九天微星科技发展有限公司,91110101348433587F
41,北京奥凯立科技发展股份有限公司,911101148026500487
42,北京海维尔科技发展有限公司,91110114687612184W
43,北京银河欣源科技有限公司,91110108671749709M
44,新羿制造科技（北京）有限公司,91110114MA00ALRF3L
45,北京羽乐创新科技有限公司,911101145890825030
46,北京爱普聚合科技有限公司,911101145585648761
