Unnamed: 0,昌平区交通局2022年4月双随机抽查情况,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
抽查方面,抽查事项,企业名称,抽查时间,抽查人员,检查结果
对道路货物运输经营活动的监督检查,经营条件、运输安全、经营行为、服务质量、企业管理、社会责任,北京毕盛通源商贸有限公司,4.2,赵余 李宁,合格
,,北京广华昌运商贸有限公司,4.22,齐建辉 李宁,合格
,,北京富伟达商贸有限公司,4.18,齐建辉 赵余,合格
,,北京勃林格殷格翰维通生物技术有限公司,4.21,赵余 李宁,合格
,,北京环城顺达商贸有限责任公司,4.21,齐建辉 李宁,合格
,,北京广汇国际仓储服务有限公司,4.22,齐建辉 赵余,合格
,,北京广源宏盛货物运输有限公司,4.24,齐建辉 李宁,合格
,,北京汇博佳豪运输有限公司,4.22,齐建辉 赵余,合格
,,北京郭培林货物运输部,4.25,赵余 李宁,合格
,,北京占宇建筑机械租赁中心,4.22,赵余 李宁,合格
,,,,,
对机动车维修经营活动的监督检查,停车场地、业务接待、维修车间、环保设施、文字资料等方面,北京后山汽车服务有限公司,2022-04-21 00:00:00,"唐超,王晓兵",合格
,,北京车之易汽车维修中心,2022-04-21 00:00:00,"田大文,王京",未在原址经营
,,北京翔宇盛达汽车配件销售中心,2022-04-19 00:00:00,"唐超,王晓兵",合格
,,北京潮车坊汽车服务有限公司,2022-04-19 00:00:00,"李大东,田大文",未在原址经营
,,北京众缘停车场管理有限公司,2022-04-19 00:00:00,"夏博立,田大文",合格
,,北京冬杰伟业汽车有限公司,2022-04-19 00:00:00,"李大东,王晓兵",合格
,,,,,
对出租、旅游、租赁行业的监督检查,管理制度、运营安全管理、素质建设、基层管理、社会责任、经营主体、经营场所、租赁车辆、租赁服务、信息管理、遵章守法、经营服务评价,北京科友出租汽车有限公司,2022-04-12 00:00:00,陈沐阳 佟广军,办结
,,北京天寿山出租汽车有限责任公司,2022-04-14 00:00:00,张春伟 林军,办结
,,北京银山出租汽车有限责任公司,2022-04-19 00:00:00,陈沐阳 佟广军,办结
,,北京林海出租汽车有限公司,2022-04-21 00:00:00," 
张春伟 佟广军",办结
,,北京三元出租汽车有限公司,2022-04-21 00:00:00,陈沐阳 林军,办结
,,北京宏福投资管理有限公司,2022-04-21 00:00:00,陈沐阳 佟广军,办结
,,北京未来科学城汽车租赁有限公司,2022-04-08 00:00:00,张春伟 林军,办结
,,北京兴昌顺通汽车租赁有限公司,2022-04-22 00:00:00,陈沐阳 林军,办结
,,,,,
对公交场站的监督检查,客运车站设施、运营调度、运营服务人员、相关应急预案等方面,朝凤庵村客运站,2022-04-14 00:00:00,韩冲 周晓蓉,办结
,,昌平区昌赤路神路景区停车场,2022-04-14 00:00:00,韩冲 宋杨,办结
,,昌平区兴寿镇北537路公交场站,2022-04-19 00:00:00,周晓蓉 石鹏飞,办结
,,昌平区小汤山村双兴苑905路公交场站,2022-03-29 00:00:00,韩冲 宋杨,办结
,,BRT昌平区宏福苑温都水城快3,2022-04-21 00:00:00,宋杨 石鹏飞,办结
,,北小营村客运站,2022-04-22 00:00:00,韩冲 周晓蓉,办结
,,昌平区回龙观镇二拨子新村公交场站,2022-04-22 00:00:00,宋杨 石鹏飞,办结
,,昌平区沙河镇巩华新村专66路公交场站,2022-04-22 00:00:00,周晓蓉 石鹏飞,办结
,,,,,
对驾培行业的监督检查,"经营条件、服务接待
投诉受理、计时管理
教练车、教练员
教练场、内部管理
管理制度、信誉管理
事项备案",北京北方机动车驾驶员考试场有限公司,2022-04-25 00:00:00,韩磊、殷磊,合格
,,北京北方汽车驾驶学校有限公司,2022-04-25 00:00:00,韩磊、殷磊,合格
,,北京京都府机动车驾驶培训有限公司,2022-04-24 00:00:00,韩磊、殷磊,合格
,,北京昌一汽车驾驶学校有限公司,2022-04-22 00:00:00,韩磊、殷磊,合格
,,北京北科院交园机动车驾驶培训有限公司,2022-04-25 00:00:00,韩磊、殷磊,合格
,,北京荣和机动车驾驶培训学校有限公司,2022-04-25 00:00:00,韩磊、殷磊,合格
,,北京时星宇机动车驾驶员培训有限公司,2022-04-22 00:00:00,韩磊、殷磊,合格
,,北京昌一机动车训练场有限公司,2022-04-24 00:00:00,韩磊、殷磊,合格
