昌平区挂牌企业名单,,
证券代码,证券简称,注册地址
430010.NQ,现代农装,北京市昌平区科技园区中兴路10号A208房间
430020.NQ,建工华创,北京市昌平区阳坊镇前白虎涧村东
430061.NQ,富机达能,北京市昌平区科技园区超前路23号院B区2层229号
430073.NQ,兆信股份,北京市昌平区回龙观镇立业路6号院2号楼1层2111室(昌平示范园)
430108.NQ,精耕天下,北京市昌平区科技园区华通路11号
430226.NQ,奥凯立,北京市昌平区北七家镇宏福大厦60518室(昌平示范园)
430321.NQ,博德石油,北京市昌平区科技园区超前路甲1号11号楼9层903室
430333.NQ,ST普康迪,北京市昌平区科技园超前路37号6号楼4层1225
430644.NQ,紫贝龙,北京市昌平区科技园区超前路23号院B区1层107号
831275.NQ,睿泽科技,北京市昌平区科技园区超前路23号院B区2层230号
831588.NQ,山川秀美,北京市昌平区北七家镇鲁疃村
831664.NQ,雅达养老,北京市昌平区科技园区创新路7号2号楼2233号
832004.NQ,海林自控,北京市昌平区回龙观镇北京国际信息产业基地发展路9号1幢1层109室
832033.NQ,九通衢,北京市昌平区科技园区超前路37号院16号楼2层C1045号
832085.NQ,万古科技,北京市昌平区回龙观镇龙域中街1号院1号楼1单元1008
832415.NQ,联合普肯,北京市昌平区科技园区超前路甲1号13号楼403室
832447.NQ,森馥科技,北京市昌平区北七家镇宏福10号院4号楼101室
833319.NQ,比酷股份,北京市昌平区科技园区振兴路28号2号楼218
833636.NQ,ST邦瑞达,北京市昌平区科技园区华通路11号309室
834256.NQ,天地华泰,北京市昌平区科技园区永安路拓然家苑16号楼
834369.NQ,锐志天宏,北京市昌平区科技园区生命园路4号院4号楼5层501
834686.NQ,ST华科技,北京市昌平区回龙观镇科星西路106号院2号楼13层1305
834718.NQ,绿创声学,北京市昌平区振兴路28号
835061.NQ,君为科技,北京市昌平区北七家镇宏福大厦316室
835911.NQ,中农华威,北京市昌平区科技园区超前路37号院16号楼2层C2034号
836333.NQ,像素软件,北京市昌平区科技园区白浮泉路10号2号楼1104A
836346.NQ,亿玛在线,北京市昌平区中关村科技园区昌平园超前路5号4幢A座4层407室
836491.NQ,太极华保,北京市昌平区科技园区创新路27号
837125.NQ,桔色股份,北京市昌平区回龙观镇高新五街5号院2号楼1至6层101二层206室
837899.NQ,同华科技,"北京市昌平区昌平镇火炬街甲12号1层A106,B106室"
838091.NQ,科力通,北京市昌平区百善镇政府原办公楼南200米
838796.NQ,中生金域,"北京市昌平区科技园区星火街6号标准厂房三楼东侧,二楼西侧"
870849.NQ,亿安天下,北京市昌平区超前路17号1幢1至11层101-901
870897.NQ,鹏程装备,北京市昌平区崔村镇麻峪村西原弹簧厂院内
871633.NQ,华电光大,北京市昌平区回龙观镇北农路2号主楼D座1239室(昌平示范园)
872389.NQ,塞尚国旅,北京市昌平区城北街道西关路20号3号楼923室
873327.NQ,凯丰源,北京市昌平区科技园区超前路9号B座2234室
873337.NQ,中超伟业,北京市昌平区科技园区超前路甲1号10号楼302室
873703.NQ,广厦环能,北京市昌平区科技园区超前路9号B座2097室
873943.NQ,昌发展,北京市昌平区科技园区超前路9号8层8015室
874031.NQ,翰林航宇,北京市昌平区科技园区兴阳一路9号院2号
