序号,企业名称
,
1.0,北京星亢原生物科技有限公司
2.0,北京哈创科技有限公司
3.0,云加速（北京）科技有限公司
4.0,华泰慧能（北京）能源技术有限公司
5.0,北京三友信电子科技有限公司
6.0,北京科瑞麦科技有限公司
7.0,北京华维国创电子科技有限公司
8.0,海湃泰克（北京）生物医药科技有限公司
9.0,北京永博洁净科技有限公司
10.0,北京微方程科技有限公司
11.0,飞拓智控（北京）科技有限公司
12.0,卧龙电气集团北京华泰变压器有限公司
13.0,北京中农服农业科技股份有限公司
14.0,北京中核北研科技发展股份有限公司
15.0,维尔世创（北京）科技有限公司
16.0,京能远景领金智汇（北京）科技有限公司
17.0,北京慧泊金科技有限公司
18.0,北京珠穆朗玛绿色建筑科技有限公司
19.0,北京普赞生物技术有限公司
20.0,北京麦克欧根生物工程科技发展有限公司
21.0,北京万特福医疗器械有限公司
22.0,北京乐思创信科技有限公司
23.0,中恒永创（北京）科技有限公司
24.0,嘉华药锐科技（北京）有限公司
25.0,北京恒泰博远科技有限公司
26.0,浓浓（北京）生物科技有限公司
27.0,北京健为医学检验实验室有限公司
28.0,北京思达流体科技有限公司
29.0,北京安创工研科技有限公司
30.0,北京纳析光电科技有限公司
31.0,新时代健康产业（集团）有限公司
32.0,北京信佳伟业科技发展有限公司
33.0,北京龙腾云海科技股份有限公司
34.0,北京华档致远科技有限公司
35.0,中科聚（北京）能源科技有限公司
36.0,北京智赢惠众医疗科技有限公司
37.0,保利新能源科技（北京）有限公司
38.0,北京博达顺源天然气有限公司
39.0,北京叁参研学科技有限公司
40.0,北京优思创威智能科技有限公司
41.0,达封（北京）科技有限公司
42.0,北京远华天创科技有限责任公司
43.0,盎亿泰地质微生物技术（北京）有限公司
44.0,加美中（北京）科技有限公司
45.0,北京菲力克技术有限公司
46.0,鲲鹏基因（北京）科学仪器有限公司
47.0,北京清辉联诺生物科技有限责任公司
48.0,北京绿色阳台生态农业科技发展有限公司
49.0,北京中域永信网络科技有限公司
50.0,北京美联同创医学检验实验室有限公司
51.0,美冠（北京）科技有限公司
52.0,北京澳维仪器有限公司
53.0,北京亚泰智博科技发展有限公司
54.0,北京鸿浩信达技术有限公司
55.0,北京有用科技有限公司
56.0,北京中石大绿色能源科技有限公司
57.0,北京市蒙伊通运输服务有限公司
58.0,新羿制造科技（北京）有限公司
59.0,北京天宇恒泰科技有限公司
60.0,北京蓝鼎智联科技有限公司
61.0,北京万象博众系统集成有限公司
62.0,北京华能新锐控制技术有限公司
63.0,北京中科数城科技服务有限公司
64.0,轩昂生态环境建设有限公司
65.0,北京天创奥维科技有限公司
66.0,中天智领（北京）科技有限公司
67.0,赛司医疗科技（北京）有限公司
68.0,北京石头创新科技有限公司
69.0,北京朗迪制药有限公司
70.0,北京阿叟阿巴科技有限公司
71.0,北京世纪恒力科技有限公司
72.0,华盈信通技术有限公司
73.0,北京新云医疗科技有限公司
74.0,北京零偏科技有限责任公司
75.0,北京易霖博信息技术有限公司
76.0,北京泰宁科创集团股份有限公司
77.0,北京石头世纪科技股份有限公司
78.0,北京慧心医谷生物科技有限责任公司
79.0,北京神舟茂华环保科技有限公司
80.0,北京上品极致科技有限公司
81.0,北京硕方电子科技有限公司
82.0,国珍健康科技（北京）有限公司
83.0,北京华夏智邦科技有限公司
84.0,神济昌华（北京）生物科技有限公司
85.0,北京裕宽科技有限公司
86.0,中外建设信息有限责任公司
87.0,北京龙腾蓝天科技有限公司
88.0,北京奥维视讯科技有限责任公司
89.0,北京慧晓志联科技有限公司
90.0,北京碧海云新能源科技有限公司
91.0,北京嘉禾石油技术有限公司
92.0,北京信远亿嘉膜结构技术有限公司
93.0,北京灵赋生物科技有限公司
94.0,太逗科技集团有限公司
95.0,北京有卓正联医疗科技有限公司
96.0,北京三重华星电子科技有限公司
97.0,超目科技（北京）有限公司
98.0,北京爱博生生物技术有限公司
99.0,北京嘉力星光电技术有限公司
100.0,北京爱分类环境有限公司
101.0,北京独创时代科技有限公司
102.0,北京格瑞德曼仪器设备有限公司
103.0,北京电磁方圆科技有限公司
104.0,北京康普森农业科技有限公司
105.0,北京雷奥顶峰生物科技有限责任公司
106.0,北京德中锦科技有限公司
107.0,北京知其安科技有限公司
108.0,北京恒泰万博石油技术股份有限公司
109.0,北京齐禾生科生物科技有限公司
110.0,北京国星创图科技有限公司
111.0,北京万全德众医药生物技术有限公司
112.0,北京佳和康华科技有限公司
113.0,北京中电元德科技有限责任公司
114.0,北京千喜鹤科技服务有限公司
115.0,北京吉检医疗科技有限公司
116.0,北京悠享互联信息技术有限公司
117.0,北京云航智信新能源科技有限公司
118.0,北京中科辰极系统有限公司
