附件1：,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
昌平区已上市企业名单（37家）,,,,,
序号,股票简称,股票代码,企业名称,上市板块,首发上市日期
1,福田汽车,600166,北汽福田汽车股份有限公司,上交所主板,1998-06-02 00:00:00
2,中国软件 ,600536,中国软件与技术服务股份有限公司,上交所主板,2002-05-17 00:00:00
3,赛迪顾问,08235.HK,赛迪顾问股份有限公司,香港主板,2002-12-12 00:00:00
4,三一重工,600031,三一重工股份有限公司,上交所主板,2003-07-03 00:00:00
5,慧聪集团,02280.HK,北京慧聪科技集团有限公司,香港主板,2003-12-17 00:00:00
6,汉铭科技,A75,北京汉铭信通科技有限公司,新加坡主板,2004-11-18 00:00:00
7,中生北控,08247.HK,中生北控生物科技股份有限公司,香港创业板,2006-02-27 00:00:00
8,乐普医疗,300003,乐普（北京）医疗器械股份有限公司,深交所创业板,2009-10-30 00:00:00
9,德海尔,DHRM.O,北京德海尔医疗技术有限公司,美国纳斯达克,2010-04-22 00:00:00
10,北京利尔,002392,北京利尔高温材料股份有限公司,深交所主板,2010-04-23 00:00:00
11,二六三,002467,二六三网络通信股份有限公司,深交所主板,2010-09-08 00:00:00
12,雪迪龙,002658,北京雪迪龙科技股份有限公司,深交所主板,2012-03-09 00:00:00
13,博晖创新,300318,北京博晖创新生物技术集团股份有限公司,深交所创业板,2012-05-23 00:00:00
14,探路者,300005,探路者控股集团股份有限公司,深交所创业板,2009-09-24 00:00:00
15,百济神州,BGNE.O,百济神州（北京）生物科技有限公司,美国纳斯达克,2016-02-01 00:00:00
,,06160.HK,,香港主板,2018-08-08 00:00:00
,,688235,,上交所科创板,2021-12-15 00:00:00
16,新雷能,300593,北京新雷能科技股份有限公司,深交所创业板,2017-01-13 00:00:00
17,爱康医疗,01789.HK,北京爱康宜诚医疗器材有限公司,香港主板,2017-12-20 00:00:00
18,小牛电动,NIU,北京牛电科技有限责任公司,美国纳斯达克,43392
19,指南针,300803,北京指南针科技发展股份有限公司,深交所创业板,2019-11-18 00:00:00
20,佰仁医疗,688198,北京佰仁医疗科技股份有限公司,上交所科创板,2019-12-09 00:00:00
21,诺诚健华,09969.HK,北京诺诚健华医药科技有限公司,香港主板,2020-03-23 00:00:00
22,万泰生物,603392,北京万泰生物药业股份有限公司,上交所主板,2020-04-29 00:00:00
23,北摩高科,002985,北京北摩高科摩擦材料股份有限公司,深交所主板,2020-04-29 00:00:00
24,泛生子,GTH.O,北京泛生子基因科技有限公司,美国纳斯达克,2020-06-19 00:00:00
25,交大思诺,300851,北京交大思诺科技股份有限公司,深交所创业板,2020-07-17 00:00:00
26,爱博医疗,688050,爱博诺德（北京）医疗科技股份有限公司,上交所科创板,2020-07-29 00:00:00
27,赛科希德,688338,北京赛科希德科技股份有限公司 ,上交所科创板,2020-08-06 00:00:00
28,铁科轨道,688569,北京铁科首钢轨道技术股份有限公司,上交所科创板,2020-08-31 00:00:00
29,直真科技,003007,北京直真科技股份有限公司,深交所主板,2020-09-23 00:00:00
30,爱美客,300896,爱美客技术发展股份有限公司,深交所创业板,2020-09-28 00:00:00
31,诺禾致源,688315,北京诺禾致源科技股份有限公司,上交所科创板,2021-04-13 00:00:00
32,煜邦电力,688597,北京煜邦电力技术股份有限公司,上交所科创板,2021-06-17 00:00:00
33,阳光诺和,688621,北京阳光诺和药物研究股份有限公司,上交所科创板,2021-06-21 00:00:00
34,金房节能,001210,北京金房暖通节能技术股份有限公司,深交所主板,2021-07-29 00:00:00
35,颖泰生物,833819,北京颖泰嘉和生物科技股份有限公司,北交所,44515
36,理工导航,688282,北京理工导航控制科技股份有限公司,上交所科创板,44638
37,三一重能,688349,三一重能股份有限公司,上交所科创板,44734
