序号,项目名称,项目来源,落地时间,项目类型,投资类型,投资额（万元）,社会信用代码,落地后效果描述,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,腾盛博药公司全球研发总部,科技领域,,,,,,目前公司已引进治疗乙肝的新型免疫疗法和新型小干扰RNA治疗药物，即将开展国内开发工作，有望为中国慢性乙肝病毒携带者提供功能性治愈疗法。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,国家神经系统疾病临床医学研究中心,科技领域,,,,,,1.2019年10月29日科技部、国家卫生健康委、中央军委后勤保障部、国家药监局发布了国家临床医学研究中心绩效评估成绩，国家神经系统疾病临床医学研究中心（以下简称“国家中心”）获得优秀称号。2.2019年10月30日国家中心副主任王拥军教授首创的脑血管病治疗方案（CHANCE方法）成为国际最高标准，成为循证医学时期临床实践新的里程碑。这是国家中心在脑血管病创新研究中取得的重大历史突破，具有划时代意义。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,特斯拉北京科技创新中心,科技领域,,,,,,科技创新中心已经获得授权拥有掌握相关核心技术和自主知识产权、发明专利，并建立了专业的研发团队和研发设施，前期准备工作已基本完成。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,百放公司创新孵化器,科技领域,,,,,91110108MA01EUQ1XF,市科委会同海淀区引进跨国药企礼来公司中国药物研发中心（上海）负责人单倍在京成立百放孵化器，已完成公司注册，并形成建设方案以及首批项目；海淀区正在积极落实空间选址；目前孵化建设方案及财政支持方式已经通过市领导审批，市财政局正在与首发展集团沟通注资事宜（由首发展代表北京市出资5000万元，以股权投资额方式，控股百放孵化器20%股权）。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,金融科技公共研发平台,科技领域,2019年11月13日,,,1350,52110000MJ0166288U,11月13日，北京金融科技研究院顺利完成登记注册、班底组建等各项工作，正式宣告成立。成立以来，成功组织了北京国际金融安全论坛、中英金融科技合作交流研讨会、京港金融科技合作交流座谈会等本市金融科技领域重要论坛活动，启动了金融科技创新测试机制、金融科技人才培养、前沿技术联合实验室等研究方向的联合共建工作，在聚合国际资源，推动北京金融科技技术共享、场景建设、国际合作等方面发挥了重要作用。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,中挪绿色创新中心,科技领域,2019年12月23日,,,,52110115MJ0341138F,11月22日中国设计节开幕式上与斯塔万格市代表正式签署友城协议、中挪绿色创新中心揭牌及宣布2020北欧中国智慧城市峰会筹备工作启动。与2家挪威企业签订入驻合作意向书。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,万事网联信息技术（北京）有限公司成立,金融领域,2019年1季度,实体类项目,外资（中外合资或合作）,100000,91110102MA01HHL193,在京落地的重要金融基础设施，有助于本市强化国家金融管理中心功能，提升北京在全球金融市场的影响力。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,威士科技发展（北京）有限公司成立,金融领域,2019年2季度,实体类项目,外资（外商独资）,1360,91110105MA01JF598P,在京落地的重要金融基础设施，有助于本市强化国家金融管理中心功能，提升北京在全球金融市场的影响力。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,环球融讯网络技术服务（中国）有限公司成立,金融领域,2019年2季度,实体类项目,外资（外商独资）,4800,91110102MA01KM8830,丰富完善首都金融基础设施体系，促进金融数据存储本地化，有利于维护国家金融安全。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,丰田金融服务（中国）有限公司成立,金融领域,2019年2季度,实体类项目,外资（外商独资）,21000,91110000MA01KKDB42,促进共享汽车领域发展，为汽车制造业提供助力。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
