2022年1-10月北京市专利授权量超百件专利权人名单统计,,,
排序,权利人名称,合计
1,中国石油化工股份有限公司,3942
2,京东方科技集团股份有限公司,2920
3,清华大学,2391
4,北京小米移动软件有限公司,2319
5,北京航空航天大学,1978
6,北京理工大学,1685
7,中国建筑第二工程局有限公司,1614
8,北京百度网讯科技有限公司,1513
9,中国联合网络通信集团有限公司,1441
10,中国石油天然气股份有限公司,1255
11,北京工业大学,1088
12,北京科技大学,964
13,联想（北京）有限公司,927
14,国家电网有限公司,915
15,中国工商银行股份有限公司,881
16,北京邮电大学,835
17,北京大学,829
18,中国建筑土木建设有限公司,826
19,北京字节跳动网络技术有限公司,776
20,中国电力科学研究院有限公司,775
21,百度在线网络技术（北京）有限公司,749
22,大唐移动通信设备有限公司,745
23,北京三快在线科技有限公司,705
24,北京达佳互联信息技术有限公司,678
25,中国农业大学,677
26,中铁建工集团有限公司,663
27,中交一公局集团有限公司,581
28,中国建筑一局（集团）有限公司,564
29,中国华能集团清洁能源技术研究院有限公司,549
30,北京交通大学,512
31,中国海洋石油集团有限公司,491
32,北京化工大学,481
33,中国人民解放军总医院第一医学中心,480
34,北京奇艺世纪科技有限公司,478
35,中国石油天然气集团有限公司,474
36,中国移动通信有限公司研究院,472
37,中国电信股份有限公司,465
38,中国银行股份有限公司,453
39,中交路桥建设有限公司,435
40,中国人民解放军总医院第六医学中心,424
41,华北电力大学,421
42,中石化石油工程技术服务有限公司,411
43,北京北方华创微电子装备有限公司,383
44,北京大学第三医院（北京大学第三临床医学院）,383
45,中电建路桥集团有限公司,353
46,北京字跳网络技术有限公司,345
47,中国石油大学,341
48,北京京东尚科信息技术有限公司,336
49,北京车和家汽车科技有限公司,333
50,北京骑胜科技有限公司,325
51,北京嘀嘀无限科技发展有限公司,320
52,中国科学院微电子研究所,318
53,北京亿华通科技股份有限公司,316
54,北汽福田汽车股份有限公司,314
55,中国建设银行股份有限公司,310
56,中国科学院自动化研究所,310
57,中国科学院理化技术研究所,309
58,中国矿业大学,308
59,中国恩菲工程技术有限公司,304
60,北京汽车股份有限公司,296
61,北京京东乾石科技有限公司,291
62,北京新能源汽车股份有限公司,288
63,阿尔特汽车技术股份有限公司,282
64,阿波罗智联（北京）科技有限公司,279
65,首都医科大学宣武医院,276
66,北京林业大学,272
67,国网北京市电力公司,263
68,新石器慧通（北京）科技有限公司,254
69,视联动力信息技术股份有限公司,252
70,首都医科大学附属北京天坛医院,251
71,中国人民解放军总医院第二医学中心,250
72,北京城建集团有限责任公司,244
73,中建二局第一建筑工程有限公司,244
74,中国科学院过程工程研究所,243
75,中国人民解放军军事科学院军事医学研究院,241
76,中国人民解放军总医院第四医学中心,240
77,中国科学院空天信息创新研究院,238
78,中国水利水电科学研究院,234
79,中国长江三峡集团有限公司,232
80,中交第四公路工程局有限公司,225
81,北京石头世纪科技股份有限公司,224
82,航天特种材料及工艺技术研究所,219
83,北京汽车集团越野车有限公司,218
84,国网新源控股有限公司,217
85,中国人民解放军总医院第三医学中心,214
86,北京车和家信息技术有限公司,212
87,中国地质大学,210
88,中国原子能科学研究院,210
89,中国人民解放军总医院第八医学中心,205
90,中建二局第三建筑工程有限公司,205
91,中国科学院地理科学与资源研究所,201
92,中国人民解放军总医院第五医学中心,201
93,首钢集团有限公司,198
94,北京智芯微电子科技有限公司,196
95,北京顺造科技有限公司,195
96,北京市商汤科技开发有限公司,189
97,中国医学科学院北京协和医院,189
98,交控科技股份有限公司,187
99,全球能源互联网研究院有限公司,187
100,北京金山云网络技术有限公司,186
101,北京搜狗科技发展有限公司,185
102,中国科学院化学研究所,185
103,北京师范大学,181
104,国家石油天然气管网集团有限公司,180
105,北京建筑大学,179
106,中国信息通信研究院,177
107,中建二局装饰工程有限公司,176
108,中国航发北京航空材料研究院,175
109,中国核电工程有限公司,175
110,中国环境科学研究院,175
111,中国科学院工程热物理研究所,173
112,北京电子科技职业学院,172
113,北方工业大学,170
114,北京工商大学,170
115,北京国双科技有限公司,168
116,中冶京诚工程技术有限公司,168
117,北京声智科技有限公司,167
118,中日友好医院（中日友好临床医学研究所）,166
119,国家能源投资集团有限责任公司,165
120,中国航天空气动力技术研究院,165
121,北京云迹科技股份有限公司,163
122,交通运输部公路科学研究所,161
123,中国科学院电工研究所,161
124,中铁建设集团有限公司,161
125,中国人民解放军空军特色医学中心,160
126,北京浪潮数据技术有限公司,159
127,北京首钢股份有限公司,158
128,首都医科大学附属北京佑安医院,157
129,中国标准化研究院,156
130,北京一撕得物流技术有限公司,155
131,元气森林（北京）食品科技集团有限公司,153
132,中国人民解放军陆军装甲兵学院,153
133,智道网联科技（北京）有限公司,151
134,北京控制工程研究所,149
135,北京市政建设集团有限责任公司,149
136,北京金风科创风电设备有限公司,148
137,北京市农林科学院,148
138,矿冶科技集团有限公司,148
139,中国铁道科学研究院集团有限公司铁道建筑研究所,146
140,中铁六局集团有限公司,146
141,国家能源集团国源电力有限公司,145
142,北京旷视科技有限公司,144
143,北京汽车研究总院有限公司,144
144,首都医科大学附属北京潞河医院,144
145,中国北方车辆研究所,144
146,中交隧道工程局有限公司,143
147,阿波罗智能技术（北京）有限公司,142
148,北京市春立正达医疗器械股份有限公司,140
149,北京首钢建设集团有限公司,140
150,北新集团建材股份有限公司,140
151,北京有竹居网络技术有限公司,139
152,中国科学院信息工程研究所,139
153,北京好运达智创科技有限公司,138
154,中铁电气化局集团有限公司,138
155,北京小狗吸尘器集团股份有限公司,137
156,北京紫光展锐通信技术有限公司,135
157,中国医学科学院肿瘤医院,135
158,北京世纪好未来教育科技有限公司,134
159,首都儿科研究所,134
160,中国空间技术研究院,134
161,北京自如信息科技有限公司,133
162,中国科学院半导体研究所,133
163,中建一局集团建设发展有限公司,133
164,中国医学科学院阜外医院,132
165,航天信息股份有限公司,131
166,奇安信科技集团股份有限公司,131
167,中国科学院微生物研究所,131
168,中铁第五勘察设计院集团有限公司,131
169,中国华冶科工集团有限公司,130
170,首都医科大学附属北京儿童医院,129
171,北京首钢国际工程技术有限公司,128
172,北京全路通信信号研究设计院集团有限公司,126
173,北京信息科技大学,126
174,北京伊童之家教育科技有限公司,126
175,首都师范大学,126
176,北京奇虎科技有限公司,124
177,三一石油智能装备有限公司,120
178,北京空间飞行器总体设计部,119
179,国家纳米科学中心,119
180,首都医科大学,119
181,同方威视技术股份有限公司,119
182,中国人民解放军军事科学院国防科技创新研究院,119
183,北京京东振世信息技术有限公司,118
184,北京胜能能源科技有限公司,118
185,北京天融信网络安全技术有限公司,118
186,摩拜（北京）信息技术有限公司,118
187,三一重工股份有限公司,118
188,中海油能源发展股份有限公司,118
189,北京服装学院,117
190,北京积水潭医院,117
191,北京快码加编科技有限公司,117
192,中国计量科学研究院,116
193,中冶建筑研究总院有限公司,116
194,泰康保险集团股份有限公司,115
195,三一重能股份有限公司,114
196,中国华电科工集团有限公司,114
197,中国科学院地质与地球物理研究所,114
198,中国科学院力学研究所,114
199,中国人民解放军总医院第七医学中心,114
200,国家计算机网络与信息安全管理中心,113
201,中国人民解放军火箭军特色医学中心,113
202,北京大学人民医院,111
203,北京福田戴姆勒汽车有限公司,110
204,北京建工集团有限责任公司,110
205,北京万集科技股份有限公司,110
206,北控水务（中国）投资有限公司,110
207,中国农业科学院作物科学研究所,110
208,北京东方雨虹防水技术股份有限公司,108
209,北京天玛智控科技股份有限公司,108
210,北京经纬恒润科技股份有限公司,107
211,三一机器人科技有限公司,107
212,中国铁道科学研究院集团有限公司,107
213,中国科学院生态环境研究中心,106
214,中国人民解放军战略支援部队航天工程大学,105
215,北京智行者科技有限公司,104
216,中国航空制造技术研究院,104
217,中建铁路投资建设集团有限公司,104
218,北京极智嘉科技股份有限公司,103
219,华电重工股份有限公司,102
220,中国航天科工飞航技术研究院（中国航天海鹰机电技术研究院）,102
221,国开启科量子技术（北京）有限公司,101
222,北京三一智造科技有限公司,100
223,北京云上隐居文化发展有限公司,100
224,中国农业科学院农产品加工研究所,100
截止2022年10月北京市有效发明专利量超百件专利权人名单统计,,
排序,权利人名称,有效发明专利量
1,中国石油化工股份有限公司,28286
2,清华大学,17225
3,京东方科技集团股份有限公司,17017
4,国家电网公司,11815
5,联想（北京）有限公司,10052
6,北京航空航天大学,9449
7,中国石油天然气股份有限公司,9227
8,大唐移动通信设备有限公司,7151
9,北京理工大学,7000
10,北京工业大学,5767
11,百度在线网络技术（北京）有限公司,5026
12,北京小米移动软件有限公司,4992
13,中国联合网络通信集团有限公司,4738
14,北京科技大学,4450
15,北京邮电大学,4365
16,北京大学,4035
17,北京化工大学,3706
18,北京奇虎科技有限公司,3685
19,中国移动通信集团公司,3560
20,中国电信股份有限公司,3453
21,中国农业大学,3154
22,小米科技有限责任公司,3112
23,北京百度网讯科技有限公司,3080
24,中国海洋石油集团有限公司,2553
25,中国科学院微电子研究所,2472
26,中国石油天然气集团公司,2298
27,中国石油大学（北京）,2287
28,中国电力科学研究院,2209
29,北京交通大学,2143
30,北京北方华创微电子装备有限公司,2105
31,中国科学院化学研究所,2020
32,中国科学院过程工程研究所,1996
33,北京京东尚科信息技术有限公司,1992
34,中国石油天然气集团有限公司,1967
35,北京奇艺世纪科技有限公司,1921
36,中国科学院自动化研究所,1918
37,华北电力大学,1876
38,北京字节跳动网络技术有限公司,1658
39,中国科学院理化技术研究所,1494
40,中国科学院计算技术研究所,1442
41,中国移动通信有限公司研究院,1390
42,首钢集团有限公司,1348
43,北京国双科技有限公司,1322
44,中国科学院半导体研究所,1319
45,中国矿业大学（北京）,1305
46,北京控制工程研究所,1278
47,北汽福田汽车股份有限公司,1242
48,北京新能源汽车股份有限公司,1213
49,中国水利水电科学研究院,1199
50,中国神华能源股份有限公司,1196
51,北京达佳互联信息技术有限公司,1174
52,中国原子能科学研究院,1132
53,新方正控股发展有限责任公司,1121
54,中国科学院电工研究所,1113
55,北京三快在线科技有限公司,1110
