机构名称,统一社会信用代码,日期,抽查检查结果,检查机关,检查机关统一社会信用代码
北京产权交易所有限公司,9111000074673262X1,2023/7/24,存在改进事项,北京市地方金融监督管理局,1111000069080358X6 
北京金融资产交易所有限公司,91110000556893799K,2023/7/25,存在改进事项,北京市地方金融监督管理局,1111000069080358X6 
中国水权交易所股份有限公司,91110000MA0058PH4J,2023/7/26,未发现问题,北京市地方金融监督管理局,1111000069080358X6 
冀北电力交易中心有限公司,91110000MA006WMK05,2023/7/27,未发现问题,北京市地方金融监督管理局,1111000069080358X6 
首都电力交易中心有限公司,91110000MA006WN11B,2023/7/28,存在改进事项,北京市地方金融监督管理局,1111000069080358X6 
中国林业产权交易所有限公司,9111000069080411X7,2023/8/1,存在改进事项,北京市地方金融监督管理局,1111000069080358X6 
中国技术交易所有限公司（北京知识产权交易中心）,91110000693256243P,2023/8/2,未发现问题,北京市地方金融监督管理局,1111000069080358X6 
中债银登不良资产交易中心（北京）股份有限公司,91110000MA00BBCN14,2023/8/3,未发现问题,北京市地方金融监督管理局,1111000069080358X6 
北京软件和信息服务交易所有限公司,9111010857524839XF,2023/8/4,存在改进事项,北京市地方金融监督管理局,1111000069080358X6 
全国煤炭交易中心有限公司,91110108MA01PBGA8C,2023/8/7,未发现问题,北京市地方金融监督管理局,1111000069080358X6 
北京华商储备商品交易所有限责任公司,91110000722613255B,2023/8/8,存在改进事项,北京市地方金融监督管理局,1111000069080358X6 
北京国际酒类交易所有限公司,911100005877402264,2023/8/9,存在改进事项,北京市地方金融监督管理局,1111000069080358X6 
京津冀协同票据交易中心股份有限公司,91110000MA005M709K,2023/8/10,存在改进事项,北京市地方金融监督管理局,1111000069080358X6 
北京农村产权交易所有限公司,91110101553065840U,2023/8/11,存在改进事项,北京市地方金融监督管理局,1111000069080358X6 
北京铁矿石交易中心股份有限公司,91110000396039090R,2023/8/16,存在改进事项,北京市地方金融监督管理局,1111000069080358X6 
北京全国棉花交易市场集团有限公司,91110000700234457Q,2023/8/17,存在改进事项,北京市地方金融监督管理局,1111000069080358X6 
北京红木交易中心有限公司,91110000MA003DY56Q,2023/8/18,存在改进事项,北京市地方金融监督管理局,1111000069080358X6 
北京农副产品交易所有限责任公司,911100006996333373,2023/8/21,未发现问题,北京市地方金融监督管理局,1111000069080358X6 
北京石油交易所股份有限公司,91110000563642082H,2023/8/22,存在改进事项,北京市地方金融监督管理局,1111000069080358X6 
北京电力交易中心有限公司,91110000MA003QJ21H,2023/8/23,未发现问题,北京市地方金融监督管理局,1111000069080358X6 
北京绿色交易所有限公司,9111010267875093XD,2023/9/19,未发现问题,北京市地方金融监督管理局,1111000069080358X6 
北京茶业交易中心有限责任公司,911100003512814492,2023/9/20,存在改进事项,北京市地方金融监督管理局,1111000069080358X6 
,,,,,
