行政相对人名称,行政相对人代码1(统一社会信用代码),行政相对人代码2(工商注册号),行政相对人代码3(组织机构代码),行政相对人代码4(税务登记号),行政相对人代码5(事业单位证书号),行政相对人代码6(社会组织登记证号),法定代表人,法定代表人证件类型,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收违法所得、没收非法财物的金额（万元）,暂扣或吊销证照名称及编号,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,备注,/
北京宬逸建设发展有限公司,91110229MA01T5YT3B,/,/,/,/,/,栾*然,/,京交法(13)字稽20082106,违反了《北京市道路运输条例》第十三条第(五)项之规定,"北京宬逸建设发展有限公司未按规定携带驾驶员从业资格证驾驶京AKU999号货物运输车辆,违反了《北京市道路运输条例》第十三条第(五)项之规定,根据《北京市道路运输条例》第五十七条第(三)项的规定,应予处罚。",根据《北京市道路运输条例》第五十七条第(三)项的规定,罚款,"2020年8月21日8时30分,杨和生驾驶的京AKU999号货物运输车辆,行驶至延庆区东杏园,经执法人员张志钢(执法证号:11310081)、刘宪(执法证号:11310050)示证检查:该车取得普通货物道路运输证,车内未拉货物,从世博园到簸箕营,该企业专业人员在运营中未携带驾驶员从业资格证。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-08-21,2020-08-21,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5, 
北京九龙制药有限公司,91110229103037287T,/,/,/,/,/,杨*峰,身份证,延水罚字【2020】第20号,《中华人民共和国水法》第四十八条第一款,未经批准擅自取水,《中华人民共和国水法》第六十九条第一项,罚款,罚款,2,/,/,2020-08-26,2020-11-30,/,北京市延庆区水务局,11110229000117938X,/,北京市延庆区水务局,11110229000117938X,/
北京盛世佳业房地产经纪有限公司,91110229055554449A,/,/,/,/,/,秦*瑞,身份证,京建法罚(延建)字[2020]第720052号,《房地产经纪管理办法》第二十二条第一款,"北京盛世佳业房地产经纪有限公司在未经委托人书面同意的情况下,通过店内张贴展示擅自对外发布了一条“急售 莲花苑小区3室1厅1卫  103㎡ 198万”的出售房源信息。",《房地产经纪管理办法》三十五条,罚款,罚款10000元的行政处罚。,1,/,/,2020-08-18,2020-09-02,/,北京市延庆区住房和城乡建设委员会,89110229MCL004126C,/,北京市延庆区住房和城乡建设委员会,89110229MCL004126C,/
北京捷扬建筑劳务有限公司,91110109MA018BJH1K,/,/,/,/,/,陈*,/,京建法罚(延建)字[2020]第720058号,"1、施工现场存在1名工人未佩戴安全帽,2、临时用电电线沿脚手架敷设时未采取绝缘隔离措施","2020年08月11日10点00分至11点00分,北京市延庆区住房和城乡建设委员会执法人员在延庆区张山营镇西大庄科村安置房项目施工现场检查北京捷扬建筑劳务有限公司时,发现施工现场存在  1、施工现场存在1名工人未佩戴安全帽,与《建设工程施工现场安全防护、场容卫生及消防保卫标准》(DB11/945-2012)第2.1.6条要求不符,2、临时用电电线沿脚手架敷设时未采取绝缘隔离措施,与《建设工程施工现场安全防护、场容卫生及消防保卫标准》(DB11/945-2012)第2.10.6条要求不符。劳务分包单位中擎(北京)建设有限公司施工时未严格按照建筑业安全作业规程或者标准进行施工,造成事故隐患,符合违反了《建设工程施工现场安全防护、场容卫生及消防保卫标准》(DB11/945-2012)1-5条技术标准,但不违反强制性条文的事故隐患情节。",《中华人民共和国建筑法》第七十一条第一款;《北京市建设工程施工现场管理办法》第三十一条,罚款,处5000.00元罚款的行政处罚,0.5,/,/,2020-08-20,2020-09-04,/,北京市延庆区住房和城乡建设委员会,89110229MCL004126C,/,北京市延庆区住房和城乡建设委员会,89110229MCL004126C,/
北京国瑞市政工程有限公司,91110114795987805J,/,/,/,/,/,岳*民,身份证,延环保车罚字〔2020〕59号,《中华人民共和国大气污染防治法》第五十一条第一款,"我局于2020年7月29日对你(单位)进行了调查,发现你(单位)负责中关村延庆园体育科技创新园工地绿化施工,所使用的型号为ZL936,编号为C480790641G的青岛合众牌装载机排气烟度光吸收系数为2.03m-1,超过《非道路柴油移动机械排气烟度限值及测量方法》(GB 36886-2018)规定的烟度排放限值。",《中华人民共和国大气污染防治法》第一百一十四条第一款,罚款,"责令改正,并处人民币伍仟元罚款。",0.5,/,/,2020-08-24,2099-12-31,/,延庆区生态环境局,11110229000117903B,/,延庆区生态环境局,11110229000117903B,/
北京永宁清泉供水中心,911102296804629612,/,/,/,/,/,张*海,身份证,延水罚字【2019】第21号,《中华人民共和国水法》第四十八条第一款,未经批准擅自取水,《中华人民共和国水法》第六十九条第一项,罚款,罚款,8,/,/,2020-08-27,2021-08-27,/,北京市延庆区水务局,11110229000117938X,/,北京市延庆区水务局,11110229000117938X,/
常州市宏盛园林绿化有限公司北京分公司,91110114678208358Y,/,/,/,/,/,汤*光,身份证,(京延)应急罚〔2020〕078号,违反了《中华人民共和国安全生产法》第四十二条的规定,未为从业人员提供符合国家标准或者行业标准的劳动防护用品,依据《中华人民共和国安全生产法》第九十六条第(四)项的规定,罚款,罚款陆仟元,0.6,/,/,2020-08-27,2050-08-27,/,北京市延庆区应急管理局,11110229764241445C,/,北京市延庆区应急管理局,11110229764241445C,/
北京庆祥顺心保洁服务有限公司,91110229MA01FJT499,/,/,/,/,/,葛*洋,身份证,延环保监察罚字[2020]018号,《北京市水污染防治条例》第二十七条第一款第六项,"2020年6月11日,我局接群众信访举报一辆污水抽运车向我区旧县镇大柏老村西北侧干河道倾倒污水,经现场核实,该车系北京庆祥顺心保洁服务有限公司的污水抽运车,因旧县镇常里营污水处理站改造,将未经处理的生活污水倾倒至该干河道内。",《北京市水污染防治条例》第八十三条第一款第十项、第二款,罚款,处以罚罚款4万元,4,/,/,2020-08-17,2099-12-31,/,北京市延庆区生态环境局,11110229000117903B,/,北京市延庆区生态环境局,11110229000117903B,/
北京国赟汇峰潮汕牛肉火锅有限公司,91110229MA01N32Y20,/,/,/,/,/,董*峰,身份证,延环保监察罚字[2020]032号,《北京市水污染防治条例》第二十七条第一款第六项,"2020年6月12日,我局执法人员对该单位进行现场检查时,发现该单位清洗池中的污水通过管道漫流至厨房北侧地表。",《北京市水污染防治条例》第八十三条第一款第十项、第二款,罚款,处以2万元罚款,2,/,/,2020-08-17,2099-12-31,/,北京市延庆区生态环境局,11110229000117903B,/,北京市延庆区生态环境局,11110229000117903B,/
北京妫川胜达建筑工程有限公司,91110229306543657F,/,/,/,/,/,周*福,身份证,延水罚字【2020】第19号,《北京市排水和再生水管理办法》第十八条第一款第二项规定,在北京市延庆区延庆镇崇化街穿凿排水设施,《北京市排水和再生水管理办法》第三十八条第一款第一项规定,罚款,罚款,1.5,/,/,2020-08-21,2020-11-21,/,北京市延庆区水务局,11110229000117938X,/,北京市延庆区水务局,11110229000117938X,/
北京海润亿家房地产经纪有限公司,911102296976938898,/,/,/,/,/,王*玲,身份证,京建法罚(延建)字[2020]第720057号,《房地产经纪管理办法》第二十二条第一款,"北京海润亿家房地产经纪有限公司在未经委托人书面同意的情况下,通过店内展板张贴展示,擅自对外发布了一条“康庄住宅小区 一层 99平 110万”的出售房源信息。",《房地产经纪管理办法》三十五条,罚款,罚款10000元的行政处罚。,1,/,/,2020-08-24,2020-09-09,/,北京市延庆区住房和城乡建设委员会,89110229MCL004126C,/,北京市延庆区住房和城乡建设委员会,89110229MCL004126C,/
北京亮捷畅通商贸有限公司,91110113MA007JNU9E,/,/,/,/,/,董*月,身份证,京交法(13)字稽20082407,违反了《中华人民共和国道路运输条例》第七十条第二款之规定,"该车在车厢两侧栏板原基础上加高了700毫米,此行为违反了《中华人民共和国道路运输条例》第七十条第二款之规定。根据《中华人民共和国道路运输条例》第七十条第二款和《北京市交通运输行政处罚裁量基准》的规定,应予处罚。",根据《中华人民共和国道路运输条例》第七十条第二款和《北京市交通运输行政处罚裁量基准》的规定。,罚款,"2020年8月19日0时35分,赵志军驾驶的京AEQ896号货物运输车辆,行驶至延庆区香龙路,经执法人员付景腾(执法证号:11310126)、孙建伟(执法证号:11310036)示证检查:该车取得普通货物道路运输证,运输货物为石子,从白河堡到昌平,在检查过程中,执法人员发现,该车在车厢两侧栏板原基础上加高了700毫米,这是属于擅自改装已取得道路运输证车辆的行为。此行为违反了《中华人民共和国道路运输条例》第七十条第二款之规定。以上违法事实有现场笔录、询问笔录、照片资料、证件复印件等予以佐证。当事人无陈述申辩意见。",0.8,/,/,2020-08-24,2020-08-24,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京中盛远通建设工程有限公司,91110109MA01T0AK3A,/,/,/,/,/,解*涛,身份证,京建法罚(延建)字[2020]第720056号,违反了《北京市建设工程质量条例》第十一条的规定,北京中盛远通建设工程有限公司不按照施工技术标准施工,《北京市建设工程质量条例》第七十五条第一款,罚款,"责令改正,并处罚款10399.50元",1.0399,/,/,2020-08-19,2020-09-03,/,北京市延庆区住房和城乡建设委员会,89110229MCL004126C,/,北京市延庆区住房和城乡建设委员会,89110229MCL004126C,/
北京飞驰通达搬家货运服务有限公司,91110105306461221K,/,/,/,/,/,李*磊,身份证,京交法(13)字稽20082408,违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定,"北京飞驰通达搬家货运服务有限公司取得道路货物运输经营许可使用无道路运输证车辆参加货物运输,此行为违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定,根据《道路货物运输及站场管理规定》第五十九条第(一)款之规定,应予处罚。",根据《道路货物运输及站场管理规定》第五十九条第(一)款之规定,罚款,"2020年8月20日9时30分,吴洪强驾驶的京AS7817号货物运输车辆 ,行驶至延庆区康庄粮库,经执法人员刘玉山(执法证号:11310055)、陈萌(执法证号:11310090)示证检查:车辆所人是北京飞驰通达搬家货运服务有限公司, 运输货物为包装食品,从天津到康庄。该道路货物运输经营者已取得道路运输经营许可证,但参加货物运输的京AS7817号货物运输车辆无道路运输证,此行为属于取得道路货物运输经营许可的道路货物运输经营者使用无道路运输证的车辆参加货物运输的行为,此行为违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2020-08-24,2020-08-24,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京华都阳光食品有限责任公司,91110229766779070B,/,/,/,/,/,李*军,身份证,(京延)应急罚〔2020〕070号,生产经营单位作业现场管理类违法,"储存危险物品(氧气瓶、乙炔瓶),未采取可靠的安全措施",依据《中华人民共和国安全生产法》第九十八条 第(一)项的规定,罚款,"2020年8月6日10时07分,北京市延庆区应急管理局执法人员对该单位仓库进行安全生产执法检查,发现该单位储存危险物品(氧气瓶、乙炔瓶),未采取可靠的安全措施一项安全生产隐患,我局执法人员下达了《责令限期整改指令书》,责令限期整改。",1,/,/,2020-08-12,2050-08-11,/,北京市延庆区应急管理局,11110229764241445C,/,北京市延庆区应急管理局,11110229764241445C,/
北京典春润景园林工程有限公司,91110117MA01BCJF4U,/,/,/,/,/,常*娥,身份证,京交法(13)字稽20082601,违反了《北京市道路运输条例》第十三条第(五)项之规定,"北京典春润景园林工程有限公司未按规定携带驾驶员从业资格证驾驶京AGJ326号货物运输车辆,违反了《北京市道路运输条例》第十三条第(五)项之规定,根据《北京市道路运输条例》第五十七条第(三)项,应予处罚。",根据《北京市道路运输条例》第五十七条第(三)项,罚款,"2020年8月26日8时30分,张云明驾驶的京AGJ326号货物运输车辆,行驶至延庆区康庄粮库,经执法人员丁争志(执法证号:11310052)、孙旭东(执法证号:11310108)示证检查:该车取得普通货物道路运输证,车内运输货物为花,从康庄到顺义,该企业专业人员在运营中未携带驾驶员从业资格证。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-08-26,2020-08-26,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
