序号,统一社会信用代码,法人代码,法人单位名称,所属园区,所属技术领域,证书编号
1,91110108MA009HJB3M,MA009HJB-3,北京茵诺医药科技有限公司,海淀园,生物工程和新医药,20212011225802          
2,91110108MA018GJ067,MA018GJ0-6,北京智钥科技有限公司,海淀园,电子与信息,20222010057601          
3,91110108MA01DFMY8W,MA01DFMY-8,数地科技（北京）有限公司,海淀园,电子与信息,20212011725801          
4,91110108MA01EA7M6H,MA01EA7M-6,北京燧原智能科技有限公司,海淀园,电子与信息,20232010047501          
5,91110108MA0185LW0D,MA0185LW-0,北京航迹未来科技有限公司,海淀园,电子与信息,20212011721301          
6,91110108MA01GK2X2H,MA01GK2X-2,湃方科技（北京）有限责任公司,海淀园,电子与信息,20232010315301          
7,91110113MA01JY4E4R,MA01JY4E-4,康妍葆（北京）干细胞科技有限公司,海淀园,生物工程和新医药,20212100849202          
8,91110108MA00ATQ57N,MA00ATQ5-7,北京锐诺医疗技术有限公司,海淀园,生物工程和新医药,20212011341102          
9,91110108MA01E6T64T,MA01E6T6-4,腾盛博药医药技术（北京）有限公司,海淀园,生物工程和新医药,20232010350202          
10,91110108MA01GC219P,MA01GC21-9,北京中科鸿泰医疗科技有限公司,海淀园,先进制造技术,20212011019004          
11,91110108575185886A,57518588-6,北京好风光储能技术有限公司,海淀园,新能源与高效节能技术,20212011037807          
12,91110108MA01D0CT2N,MA01D0CT-2,北京新忆科技有限公司,海淀园,电子与信息,20232010054901          
13,91110108MA019BYU94,MA019BYU-9,北京一笔两划科技有限公司,海淀园,电子与信息,20212011742001          
14,91110108MA01A9WC9J,MA01A9WC-9,北京晨石科技管理有限公司,海淀园,电子与信息,20232010448201          
15,91110108MA00F1132L,MA00F113-2,北京达影科技有限公司,海淀园,生物工程和新医药,20232010357302          
16,91110108MA00FL0C4P,MA00FL0C-4,北京天涯比邻科技有限公司,海淀园,电子与信息,20232010206901          
17,91110108MA01BXFU9G,MA01BXFU-9,北京新素代科技有限公司,海淀园,电子与信息,20212010976201          
18,91110108MA01C3U537,MA01C3U5-3,北京易控智驾科技有限公司,海淀园,电子与信息,20212010990601          
19,91110108MA01AM3609,MA01AM36-0,北京曼城科技有限公司,海淀园,先进制造技术,20212010811604          
20,91110106MA01C3EK42,MA01C3EK-4,北京小蝇科技有限责任公司,海淀园,电子与信息,20232010072802          
21,91110108MA01JCCA2K,MA01JCCA-2,北京超星未来科技有限公司,海淀园,电子与信息,20212011225901          
22,91110108MA01JGWU43,MA01JGWU-4,知而行之（北京）信息技术有限公司,海淀园,电子与信息,20212011345301          
23,91110108MA01CPYG9N,MA01CPYG-9,优友互动（北京）科技有限公司,海淀园,电子与信息,20232010046401          
24,91110108MA017T9X26,MA017T9X-2,北京炼金石网络科技有限公司,海淀园,电子与信息,20232010292201          
25,91110108MA01EBGH5L,MA01EBGH-5,北京盛元广通科技有限公司,海淀园,电子与信息,20232010522101          
26,91110108MA01DPRT63,MA01DPRT-6,中科富创（北京）智能系统技术有限公司,海淀园,电子与信息,20212011178101          
27,911101085621240057,56212400-5,北京多帅教育科技有限公司,海淀园,电子与信息,20212010965201          
28,91110108MA01B2WN5M,MA01B2WN-5,北京瑞控信科技股份有限公司,海淀园,电子与信息,20232010604201          
29,91110108MA01D49W9A,MA01D49W-9,北京汇智拓新科技发展有限公司,海淀园,电子与信息,20212011055201          
30,91110108MA018FEM1F,MA018FEM-1,北京壹金新能源科技有限公司,海淀园,新材料及应用技术,20212011723103          
31,91110108MA0187PN8F,MA0187PN-8,北京维特兴科技有限公司,海淀园,先进制造技术,20212011707804          
32,91110108MA01HQJC0G,MA01HQJC-0,北京信泰智合科技发展有限公司,海淀园,先进制造技术,20212010876804          
33,91110105693245624X,69324562-4,北京汲沨三养科技有限公司,海淀园,先进制造技术,20212010828204          
