公司名称,所属区县,统一社会信用代码,注册地址,入选类别
北京小砖科技有限公司,海淀区,91110108MA00BCYT3L,北京市海淀区海淀西大街36号6层601-018,获得投资类
北京优企帮帮科技有限公司,海淀区,91110108MA017ERE0L,北京市海淀区高梁桥斜街59号院1号楼5层516,获得投资类
北京知存科技有限公司,海淀区,91110108MADJTRF564,北京市海淀区海淀大街3号1幢12层1201、13层1301,获得投资类
北京中基富海科技有限公司,海淀区,91110108MA0190875N,北京市海淀区白家疃尚品园1号楼2层260,获得投资类
北京中科闻歌科技股份有限公司,海淀区,91110108MA00CPWN29,北京市海淀区北四环西路9号楼7层717室,获得投资类
交叉科技（北京）有限公司,海淀区,91110105MA00GPKN8C,北京市海淀区中关村东路18号1号楼13层A-1608,获得投资类
领途教育咨询（北京）有限公司,海淀区,91110108MA007H9J4D,北京市海淀区高里掌路1号院6号楼301-18,获得投资类
探智立方（北京）科技有限公司,海淀区,91110108MA019LRN44,北京市海淀区翠微中里14号楼四层B185,获得投资类
信捷（北京）医疗器械有限公司,海淀区,91110108MA005G6G7W,北京市海淀区万寿路西街2号2号楼地下一层B439,获得投资类
影领科技（北京）有限公司,海淀区,91110108MA006ECQ7G,北京市海淀区中关村大街18号B座9层909室487号,获得投资类
北京炎黄国芯科技有限公司,海淀区,91110108MA00968A5J,北京市海淀区中关村北大街127-1号1层1218室,U30
北京菠萝健康科技有限责任公司,海淀区,91110114MA0088WY42,北京市海淀区海淀南路21号一层1-1-1,U30
北京中电联达信息技术有限公司,海淀区,91110105MA007EDKXH,北京市海淀区上地东路35号院1号楼2层1-202-202室,U30
北京艾梦教育科技有限公司,海淀区,91110108MA0084RT0X,北京市海淀区高梁桥斜街44号一区89号楼13层13B-101,U30
北京爱儿国际教育科技有限公司,海淀区,91110108MA00DY8018,北京市海淀区上庄镇上庄路115号院1层057号,U30
北京彼特教育科技有限公司,海淀区,91110108MA00H4KWXD,北京市海淀区丰秀中路3号院9号楼三层101,U30
北京冰立方科技有限公司,海淀区,91110108MA006W867C,北京市海淀区学院路35号世宁大厦14层(1406-035),U30
北京博翼动力新能源汽车科技有限公司,海淀区,91110108MA0072CT4A,北京市海淀区中关村南大街5号二区683号楼15层1553室,U30
北京宠医科技有限公司,海淀区,91110108MA019LMX4L,北京市海淀区中关村南大街乙12号院1号楼26层3011,U30
北京等度科技有限公司,海淀区,91110108MA017TTT73,北京市海淀区中关村大街28-1号12层12层680室,U30
北京迪路科技有限公司,海淀区,91110108MA00FNU02W,北京市海淀区中关村东路18号1号楼11层C-1209,U30
北京非幕文化科技有限公司,海淀区,91110108MA01B6BP9F,"北京市海淀区海淀大街甲36号5层5014号-005号(集群注册,住所使用期限到2021年5月7日)",U30
北京浩瞳科技有限公司,海淀区,91110108MA0098PL9W,北京市海淀区海淀大街1号5层5048,U30
北京环球智赢科技有限公司,海淀区,91110108MA01ARQCXD,北京市海淀区北四环西路9号21层2106,U30
北京惠权益科技有限公司,海淀区,91110105MA00AREQ7Y,北京市海淀区昌运宫7号楼1幢三层3343,U30
北京慧通微电科技有限公司,海淀区,91110108MA00G1QB27,北京市海淀区后屯南路26号5层6-06,U30
北京极睿科技有限责任公司,海淀区,91110108MA00CK5M9E,北京市海淀区海淀大街甲36号5层5007,U30
北京简盟产品设计有限公司,海淀区,91110114MA00A50A7H,北京市海淀区农大南路1号院2号楼2层办公B-211,U30
北京匠道科技有限公司,海淀区,91110108MA0195WA6J,北京市海淀区西三环北路89号8层A-043号,U30
北京金羽新能科技有限公司,海淀区,91110108MA00FCJK6H,北京市海淀区温泉镇创客小镇社区配套商业楼4#楼二层201室,U30
北京昆仑无限科技有限公司,海淀区,91110108MA01875W43,北京市海淀区交大东路66号院2号楼3层343,U30
北京美探科技文化有限公司,海淀区,91110108MA00G2T55W,北京市海淀区中关村大街18号B座9层909室499号,U30
北京梦宝智能科技有限公司,海淀区,91110108MA01B6BT1R,北京市海淀区白家疃尚品园3号楼5层510,U30
北京梦马优创科技有限公司,海淀区,91110108MA00DLCG2A,北京市海淀区翠微中里14号楼三层A687,U30
北京觅跑科技有限公司,海淀区,91110108MA00EXREXE,北京市海淀区翠微中里14号楼三层B275,U30
北京泥木达科技有限公司,海淀区,91110108MA00B1BU5G,北京市海淀区中关村南大街乙12号院1号楼22层2605,U30
北京朋友保科技有限公司,海淀区,91110108MA00BTF60N,北京市海淀区碧桐园3号楼2层211,U30
北京前潮慧创科技有限公司,海淀区,91110108MA017CHH6E,北京市海淀区田村路西口畅茜园圣华里4号楼3层3012,U30
北京锐聚科技有限公司,海淀区,91110108MA005NF293,北京市海淀区阜石路甲69号院12号楼4层2单元412,U30
北京瑞特森传感科技有限公司,海淀区,91110108MA00967T4A,北京市海淀区上地三街9号C座3层C409,U30
北京三加科技有限公司,海淀区,91110108MA01B4RE5T,北京市海淀区海淀西大街36号地下一层523号,U30
北京盛茸国际教育科技有限公司,海淀区,91110108MA005Y5760,北京市海淀区花园路2号1号楼3层1308室,U30
北京数韵科技有限公司,海淀区,91110108MA00H641XT,北京市海淀区中关村大街18号11层1127-67,U30
北京万图拍科技有限公司,海淀区,91110105MA01AMWKX3,北京市海淀区天秀路10号中国农大国际创业园2号楼三层0332,U30
北京威尔互动信息技术有限公司,海淀区,91110108MA00H0085M,北京市海淀区高梁桥斜街59号院1号楼3层308-5,U30
北京微泛科技有限公司,海淀区,91110108MA00EUFT8J,北京市海淀区中关村大街18号8层04,U30
北京微名天下科技有限公司,海淀区,91110108MA00DWYNX4,北京市海淀区白家疃尚水园4号楼4层1单元407,U30
北京唯体科技有限责任公司,海淀区,91110108351639041Q,北京市海淀区学清路甲18号中关村东升科技园学院园二层A2259号,U30
北京维应科技有限责任公司,海淀区,91110108MA00CH1X55,北京市海淀区东北旺南路29号院3号楼3层318室,U30
北京小号科技有限公司,海淀区,91110108MA00G0733A,北京市海淀区中关村大街32号5层A0687,U30
北京小探客科技有限公司,海淀区,91110108MA007Q9970,北京市海淀区安宁庄西路9号院2号楼1层01,U30
北京小甜米科技有限公司,海淀区,91110108MA005DYW8Y,北京市海淀区白家疃尚水园2号楼8层820,U30
北京中保函证科技有限公司（曾用名：北京信芽科技有限公司）,海淀区,91110108MA0179YN5L,北京市海淀区海淀大街38号楼4层6-12-B,U30
北京星燎科技有限公司,海淀区,91110108MA00D45Y93,北京市北京经济技术开发区同济中路甲7号18幢7层1单元728,U30
北京星云传奇区块链科技有限公司,海淀区,91110108MA00CT1WXF,北京市海淀区双清路1号院内6号楼(北)三层308-8,U30
北京羊驼先森文化传媒有限公司,海淀区,91110108MA01B6QXXD,北京市海淀区知春路7号致真大厦D座4层D4157,U30
北京云圈科技有限公司（曾用名：北京一书科技有限公司）,海淀区,91110108MA017Q752K,北京市海淀区安宁庄西三条9号1幢5层1单元507,U30
北京一知未来教育咨询有限公司,海淀区,91110108MA00FLD84D,北京市海淀区高梁桥斜街59号院1号楼11层1110室ZCY023号,U30
北京衣点科技有限公司,海淀区,91110108MA019BE732,北京市海淀区永嘉北路6号5幢2层东侧065,U30
北京亿讯易达科技有限公司,海淀区,91110108MA00B6FL0L,北京市海淀区上地东路35号院2号楼4层2-508,U30
北京印欧国际教育科技有限公司,海淀区,91110108MA019MF29D,北京市海淀区西二旗铭科苑配套商业用房一层108室,U30
北京硬壳科技有限公司,海淀区,91110108MA00CMHN92,北京市海淀区中关村南大街2号A座10层1109,U30
北京月月开单网络科技有限公司,海淀区,91110108MA01AH2T97,北京市海淀区中关村大街1号17层N10号,U30
北京章鱼智控科技有限公司,海淀区,91110105MA00HCXG3P,北京市海淀区中关村南大街5号二区683号楼2层201-06,U30
北京正心照见科技有限公司,海淀区,91110108MA00GTP29J,北京市海淀区上地信息路1号1号楼25层2504室,U30
北京执牛金信科技有限公司,海淀区,91110108MA017BYH1H,北京市海淀区高梁桥斜街44号一区89号楼13层13B-116,U30
北京智墙科技有限公司,海淀区,91110108MA00EXF25Y,北京市海淀区上地十街1号院1号楼15层1509,U30
北京中农信驰科技有限公司,海淀区,91110105MA00B8HM7R,北京市海淀区海淀西大街36号5层523-10,U30
博泰嘉和（北京）网络科技有限公司,海淀区,91110108MA01A2TD9M,北京市海淀区永澄北路2号院1号楼B座四层4009-197号,U30
地壳机器人科技有限公司,海淀区,91110108MA005DPK2B,北京市海淀区北四环西路68号十层1020,U30
雇得网络科技（北京）有限公司,海淀区,91110108MA01AHFUX0,北京市海淀区中关村东路18号1号楼13层C-1608,U30
好似飞行（北京）建筑设计有限公司（曾用名：豪斯菲绅（北京）建筑设计有限公司）,海淀区,91110108MA019G7J0G,北京市海淀区玲珑路9号院西区8号楼8层1单元702,U30
华建信（北京）科技有限责任公司,海淀区,91110108MA01AN8812,北京市海淀区上地信息路26号01层0112-53室,U30
凌上科技（北京）有限公司,海淀区,91110108MA007L1X9G,北京市海淀区中关村东路1号院8号楼地下一层CB102-052号,U30
陆一柒（北京）科技有限公司,海淀区,91110108MA008PYQ8A,北京市海淀区王庄路1号院4号楼5层0502—8号,U30
梅卡曼德（北京）机器人科技有限公司,海淀区,91110108MA0086HR6G,北京市海淀区上地信息产业基地创业路6号1层1100,U30
谜岛科技（北京）有限责任公司,海淀区,91110108MA0181EA5B,北京市海淀区高梁桥斜街28号9号楼二层207室186,U30
融易推网络技术（北京）有限公司,海淀区,91110108MA006B827D,北京市海淀区海淀大街甲36号1层东部,U30
神州智造科技（北京）有限公司（曾用名：神州智造教育科技（北京）有限公司）,海淀区,91110108MA0068UB2D,北京市海淀区上地六街28号院2号楼3层323,U30
五道口荣耀（北京）科技有限公司,海淀区,91110108MA00BC7JXA,北京市海淀区中关村大街18号6层6层6841,U30
