id,项目补贴资金,项目总投资,COD减排量,VOC减排量,节能量,所属行业,所在区,项目实施单位名称,修改时间,实施单位统一社会信用代码
2.67632E+16,,1911,,,,房地产业,朝阳区,北京北辰实业股份有限公司,1/1/2022 00:00:21,91110000633791930G
2.67632E+16,,1888,,,,电力、热力生产和供应业,丰台区,北京京丰燃气发电有限责任公司,1/1/2022 00:00:21,9.111E+17
2.67632E+16,,2598,,,,居民服务业,朝阳区,北京拓普工贸发展中心,1/1/2022 00:00:21,91110105101290115E
2.67632E+16,,1526,,,,食品制造业,通州区,蒙牛乳业(北京)有限责任公司,1/1/2022 00:00:21,91110000744735827H
2.67632E+16,,1433,,,,水的生产和供应业,朝阳区,北京城市排水集团有限责任公司,1/1/2022 00:00:21,9.111E+17
2.67632E+16,,598,,,, 化学原料和化学制品制造业,经济开发区,普莱克斯(北京)半导体气体有限公司,1/1/2022 00:00:21,91110302756700103T
2.67632E+16,,2591,,,,卫生,朝阳区,首都医科大学附属北京安贞医院,1/1/2022 00:00:21,1.211E+17
2.67632E+16,,2543,,,,卫生,西城区,北京积水潭医院,1/1/2022 00:00:21,12110000400686291H
2.67632E+16,,192,,,,批发业,朝阳区,北京日银汽车贸易有限公司,1/1/2022 00:00:21,91110105633715487B
2.67632E+16,,898,,,,商务服务业,海淀区,北京权品品牌管理有限责任公司,1/1/2022 00:00:21,9.11101E+17
2.67632E+16,,30,,,, 汽车制造业,丰台区,北京加达汽车服务有限公司,1/1/2022 00:00:21,9.11101E+17
2.67632E+16,,1397,,,,餐饮业,顺义区,北京金百万餐饮管理有限责任公司,1/1/2022 00:00:21,9111011376012687X6
2.67632E+16,,2287,,0,,印刷和记录媒介复制业,朝阳区,北京京华虎彩印刷有限公司,1/1/2022 00:00:21,91110000666251295B
2.67632E+16,,383,,,,批发业,房山区,北京凯威富檑汽车销售服务有限公司,1/1/2022 00:00:21,91110111102785363X
2.67632E+16,,1139,,,,百度企业信用无（卫生）,海淀区,北京肿瘤医院,1/1/2022 00:00:21,1.211E+17
2.67632E+16,,515,,,, 计算机、通信和其他电子设备制造业,石景山区,北京首钢微电子有限公司,1/1/2022 00:00:21,91110000625911779N
2.67632E+16,,337,,,,房地产业,东城区,北京银达物业管理有限责任公司,1/1/2022 00:00:21,91110101633097949A
2.67632E+16,,1714,,,,科技推广和应用服务业,经济开发区,北京同仁堂科技发展股份有限公司,1/1/2022 00:00:21,91110000722600841J
2.67632E+16,,1664,,,, 印刷和记录媒介复制业,顺义区,北京尚唐印刷包装有限公司,1/1/2022 00:00:21,91110113802876442W
2.67632E+16,,1897,,,,道路运输业,丰台区,北京京港地铁有限公司,1/1/2022 00:00:21,91110000717862580H
2.67632E+16,,2641,,180,,汽车制造业,房山区,重庆长安汽车股份有限公司北京长安汽车公司,1/1/2022 00:00:21,9111011156036606X8
2.67632E+16,,1493,,,,零售业,朝阳区,北京京客隆商业集团股份有限公司,1/1/2022 00:00:21,91110000101782670P
2.67632E+16,,694,,,,住宿及餐饮业,朝阳区,北京真功夫快餐连锁管理有限公司,1/1/2022 00:00:21,9.11101E+17
2.67632E+16,,1102,,,,住宿业,朝阳区,丽都饭店有限公司,1/1/2022 00:00:21,91110000625906662N
2.67632E+16,,362,,,,科技推广和应用服务业,大兴区,北京京东世纪信息技术有限公司,1/1/2022 00:00:21,91110302562134916R
9.88138E+16,,2303,,,,汽车制造,经济开发区,北京北汽模塑科技有限公司,1/1/2022 00:00:21,91110115677403143C
