序号,行政相对人名称,事项名称,文号,公告日期
1,北京安顺园房地产开发有限公司,房山区黄辛庄小区二期项目（一标段）,京水行许字[2017]第265号,2017-10-19
2,北京首开中晟置业有限责任公司,顺义新城第12街区西马坡政策性住房项目（一期工程）水土保持设施竣工验收,京水行许字[2017]第259号,2017-10-16
3,北京中铁东兴房地产开发有限公司,北京市门头沟区永定镇MC00-0020-0031、0049地块F1住宅混合公建用地（配建经济适用房）（门头沟东新秤C地块东区）,京水行许字[2017]第261号,2017-10-16
4,北京润诚嘉信置业有限公司,北京市昌平区沙河镇南一村二类居住用地（配建限价商品住房）项目,京水行许字[2017]第260号,2017-10-16
5,北京未来科学城发展集团有限公司,北京未来科技城（南区）岭上中路、岭上南路道路工程,京水行许字[2017]第263号,2017-10-16
6,北京未来科学城发展集团有限公司,北京市昌平区未来科技城南区路网市政配套工程蓬莱苑西路等6条支路道路工程,京水行许字[2017]第262号,2017-10-16
7,北京市交通委员会路政局昌平公路分局,七北路（八达岭高速公路——京承高速公路）改扩建道路工程,京水行许字[2017]第240号,2017-09-28
8,北京市延庆区市政市容管理委员会,延庆县双龙路道路工程,京水行许字[2017]第213号,2017-08-31
9,北京市交通委员会路政局顺义公路分局,白马路（高丽营-顺密路段）改建工程,京水行许字[2017]第216号,2017-08-31
10,北京松山国家级自然保护区管理处,北京松山国家级自然保护区森林防火阻隔系统工程,京水行许字[2017]第214号,2017-08-31
11,北京市交通委员会路政局顺义公路分局,顺义区火寺路（昌金路~同心路）改建工程,京水行许字[2017]第215号,2017-08-31
12,北京市朝阳循环经济产业园管理中心,北京市朝阳生活垃圾综合处理厂焚烧中心,京水行许字[2017]第208号,2017-08-24
13,北京建工四建房地产开发有限公司,青春路六号院保障性住房项目住宅及配套工程,京水行许字[2017]第203号,2017-08-18
14,北京水务投资中心,清河河道清淤工程水土保持设施竣工验收,京水行许字[2017]第196号,2017-08-09
15,绿地集团北京京永置业有限公司,北京市房山区拱辰街道办事处及长阳镇09-03-12地块C2商业金融项目水土保持措施变更报告,京水行许字[2017]第191号,2017-08-03
16,重庆长安汽车股份有限公司北京长安汽车公司,北京长安汽车乘用车建设项目（一期）水土保持方案设计变更,京水行许字[2017]第147号,2017-06-09
17,北京罗顿沙河建设发展有限公司,北京沙河高教园区配套幼儿园项目水土保持设施变更,京水行许字[2017]第103号,2017-04-26
18,北京市水利工程建设管理中心,北京西郊砂石坑蓄洪工程水土保持设施竣工验收的审批,京水行许字[2017]第99号,2017-04-21
19,北京东泽房地产投资有限公司,北京市顺义新城第7街区SY00-0007-6001、6006地块R2二类居住用地（两限商品住房）项目,京水行许字[2017]第97号,2017-04-17
20,北京未来科技城发展集团有限公司,北京未来科技城（南区）市政工程鲁疃东路（七北南路~科技城路）道路工程,京水行许字[2017]第96号,2017-04-17
21,北京未来科技城发展集团有限公司,北京未来科技城（南区）北七家村中路（定泗路~七北南路）道路工程,京水行许字[2017]第91号,2017-04-10
22,北京未来科技城发展集团有限公司,北京市昌平区未来科技城路网市政配套工程鲁疃中路、南区四路道路工程,京水行许字[2017]第90号,2017-04-10
23,北京未来科技城发展集团有限公司,北京市昌平区未来科技城南区路网市政配套工程科技城路道路工程,京水行许字[2017]第85号,2017-04-10
