项目名称,编号,服务对象,编制单位,分类
承发包单位建设工程纠纷调解法律服务,SFXZ/FLFW-ZH/1227-2019,建设工程承发包单位,北京市隆安律师事务所,社会治理法律服务
建设工程与房地产争议调解服务,SFXZ/FLFW-ZH/1226-2019,政府、企事业单位与个人,北京市大地律师事务所,社会治理法律服务
知识产权纠纷调解法律服务,SFXZ/FLFW-ZH/1225-2019,企业、法院、知识产权局、个人,北京市圆融律师事务所,社会治理法律服务
商事调解与谈判,SFXZ/FLFW-ZH/1224-2019,企业、公民个人或者其他法人主体,北京宸章律师事务所,社会治理法律服务
以第三方评估推动信访积案化解服务,SFXZ/FLFW-ZH/1220-2019,信访部门及信访人,北京义贤律师事务所,社会治理法律服务
社区法治综合治理法律服务,SFXZ/FLFW-ZH/1200-2019,基层政府、居委会,北京市炜衡律师事务所,社会治理法律服务
和谐社区法治建设服务,SFXZ/FLFW-ZH/1201-2019,社区居委会及社区居民,北京义贤律师事务所,社会治理法律服务
村居自治法律服务,SFXZ/FLFW-ZH/1208-2019,村（居）委会、乡镇人民政府、街道办事处,北京市圆融律师事务所,社会治理法律服务
社区业主治理能力提升服务,SFXZ/FLFW-ZH/1203-2019,业主大会、业主委员会、业主,北京市社会组织法律调解中心,社会治理法律服务
学前教育机构及中小学依法治校（园）与平安校园法律服务,SFXZ/FLFW-ZH/1204-2019,学前教育机构、中小学,北京市亿达律师事务所,社会治理法律服务
律师参与处理信访工作法律服务,SFXZ/FLFW-ZH/1205-2019,党政机关、事业单位、国有企业等,北京市京兴律师事务所,社会治理法律服务
律师参与政府信访工作法律服务,SFXZ/FLFW-ZH/1206-2019,各级政府、人民团体、企业、事业等设置信访机构的机关单位,北京市康达律师事务所,社会治理法律服务
行业协会商会立法建议法律服务,SFXZ/FLFW-ZH/1207-2019,立法部门、行业协会、商会、联盟类社团组织,北京市社会组织法律调解中心,社会治理法律服务
村居多元化法律服务,SFXZ/FLFW-ZH/1200-2019,社区居委会、村委会及辖区居民,北京市慧海天合律师事务所,社会治理法律服务
农村治理法律服务,SFXZ/FLFW-ZH/1210-2018,县级以上地方人民政府或其部门,北京市隆安律师事务所,社会治理法律服务
法治村居建设法律服务,SFXZ/FLFW-ZH/1211-2018,基层政府、村（居）委会,北京市易和律师事务所,社会治理法律服务
政府突发事件应急管理及处置法律服务,SFXZ/FLFW-ZH/1212-2018,政府及其职能部门,北京市易和律师事务所,社会治理法律服务
学前教育机构及中小学学生伤害事故防控与应对法律服务,SFXZ/FLFW-ZH/1213-2018,学前教育机构、中小学,北京嘉润律师事务所,社会治理法律服务
乐土“互联网+法律”综合服务平台,SFXZ/FLFW-ZH/1214-2018,市民,北京市忠慧律师事务所,社会治理法律服务
互联网医院法律服务,SFXZ/FLFW-ZH/1215-2018,医疗机构,北京众再成律师事务所,社会治理法律服务
互联网+百姓事务法律服务,SFXZ/FLFW-ZH/1217-2018,中国境内的公民个人,北京市一法律师事务所,社会治理法律服务
众乐乐娱乐法“互联网+”法律服务平台,SFXZ/FLFW-ZH/1216-2018,文化、传媒、影视、体育等泛娱乐领域机构,北京君众律师事务所,社会治理法律服务
律师调解化解矛盾新路径专项法律服务,SFXZ/FLFW-ZH/1221-2018,政府机关及相关下属机构，村（居）委会、村（居）民,北京市奥援律师事务所,社会治理法律服务
律师参与劳动争议调解,SFXZ/FLFW-ZH/1222-2018,北京各区工会、劳动人事争议仲裁委员会、法院等机构,北京市兰台律师事务所,社会治理法律服务
物业调解法律服务,SFXZ/FLFW-ZH/1223-2018,党政司法机关、社会组织、企事业单位等机构,北京市兰台律师事务所,社会治理法律服务
行政案件调解全流程法律服务,SFXZ/FLFW-ZH/1230-2018,行政机关、行政相对人、利害关系人,北京市易和律师事务所,社会治理法律服务
行政调解服务系统平台,SFXZ/FLFW-ZH/1231-2018,政府各委办局,北京市保利威律师事务所,社会治理法律服务
社区法律保障服务,SFXZ/FLFW-ZH/1240-2018,社区居民,北京市忠慧律师事务所,社会治理法律服务
医生集团法律服务,SFXZ/FLFW-ZH/1250-2018,各医生集团,北京众再成律师事务所,社会治理法律服务
