北京经济技术开发区 2023 年环境信息依法披露企业名单,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
序号,"行政区划
   名称",统一社会信用代码,单位名称,"纳入原
因"
1,经开区,91110000674250487A(),"北京康乐卫士生物技术股份有限
公司",①
2,经开区,91110302MA01LEMX0M(),北京据德医药科技有限公司,①
3,经开区,91110302580850166X(),北京新特电气有限公司,①
4,经开区,91110108795950578J(02),"北京永泰生物制品有限公司（利
德曼厂区）",①
5,经开区,91110109055581279F(03),"天蓝碧海（北京）环保工程技术
有限公司(林肯 B 区锅炉房)",①
6,经开区,911103020573606133(00),"德威华泰（北京）水循环技术服
务中心有限公司",①
7,经开区,91110302777054139C(00),艾尼克斯电子（北京）有限公司,①②
8,经开区,9111030260002492XA(01),SMC（中国）有限公司第一工厂,①
9,经开区,9111030260002492XA(02),SMC（中国）有限公司第二工厂,①
10,经开区,91110302071737747W(00),"中芯北方集成电路制造（北京）
有限公司",①
11,经开区,911103027404017237(00),"中芯国际集成电路制造(北京)有
限公司",①②
12,经开区,911103020556344654(00),亿一生物制药（北京）有限公司,①
13,经开区,91110302600091938T(00),"信维创科通信技术（北京）有限
公司",①
14,经开区,911103026750530638(01),"北京亦庄环境科技集团有限公司
东区污水处理厂",①
15,经开区,911103026750530638(04),"北京亦庄环境科技集团有限公司
南区污水处理厂",①
16,经开区,911103026750530638(05),"北京亦庄环境科技集团有限公司
经开污水处理厂",①
17,经开区,911103027493533932(00),北京京东方光电科技有限公司,①②
18,经开区,911103027493533932(00),北京京东方显示技术有限公司,①②
19,经开区,911103026787533566(01),"北京凯因科技股份有限公司（荣
京东街厂区）",①
20,经开区,911100006000677198(00),北京利德曼生化股份有限公司,①
21,经开区,91110302101182835B(05),"北京博大开拓热力有限公司（N5
锅炉房）",①
22,经开区,91110302101182835B(07),"北京博大开拓热力有限公司（ 一
号热源厂）",①
23,经开区,91110302101182835B(08),"北京博大开拓热力有限公司（七
号热源厂）",①
24,经开区,91110302101182835B(04),"北京博大开拓热力有限公司（三
号热源厂)",①
25,经开区,91110302101182835B(10),"北京博大开拓热力有限公司（二
号热源厂）",①
26,经开区,91110302101182835B(02),"北京博大开拓热力有限公司（五
号热源厂）",①
27,经开区,91110302101942400P(00),北京四环生物制药有限公司,①
28,经开区,91110302600003205F(02),"北京奔驰汽车有限公司（发动机
和动力电池工厂）",①
29,经开区,91110302600003205F(01),"北京奔驰汽车有限公司整车工厂
（亦庄）",①
30,经开区,91110115MA0036CF9G(),北京扶正肿瘤医院有限公司,①
31,经开区,91110302MA01HEH15A(00),北京昭衍生物技术有限公司,①
32,经开区,91110302755250446W(02),"北京智飞绿竹生物制药有限公司
（同济北路厂区）",①②
33,经开区,91110302755250446W(01),"北京智飞绿竹生物制药有限公司
（泰河三街厂区）",①②
34,经开区,91110108795950578J(),北京永泰生物制品有限公司,①
35,经开区,91110302MA006F65XR(00),北京燕东微电子科技有限公司,①
36,经开区,911103025604366893(00),"北京百普赛斯生物科技股份有限
公司",①
37,经开区,9111030257319333XG(00),"北京碧水源博大水务科技有限公
司",①
38,经开区,9111030266050567XF(),"北京神州细胞生物技术集团股份
公司",①
39,经开区,911100007002230889(00),北京赛升药业股份有限公司,①②
40,经开区,9111030263378882XT(00),北京远策药业有限责任公司,①
41,经开区,91110302765505908J(00),华润协鑫（北京）热电有限公司,①
42,经开区,91110302600055056H(00),"博世力士乐（北京）液压有限公
司",①
43,经开区,911103026000911455(00),"威讯联合半导体（北京）有限公
司",①②
44,经开区,91110302797550236W(00),康宁显示科技（中国）有限公司,①
45,经开区,911100007263731643(02),"悦康药业集团股份有限公司（科
创七街厂区）",①②
