第四批国家级专精特新“小巨人”企业推荐名单（经开区）,
序号,企业名称
1,北京安智因生物技术有限公司
2,北京百普赛斯生物科技股份有限公司
3,北京北方华创真空技术有限公司
4,北京博鲁斯潘精密机床有限公司
5,北京博清科技有限公司
6,北京德为智慧科技有限公司
7,北京迪玛克医药科技有限公司
8,北京国安广传网络科技有限公司
9,北京航化节能环保技术有限公司
10,北京和合医学诊断技术股份有限公司
11,北京凌空天行科技有限责任公司
12,北京美联泰科生物技术有限公司
13,北京浦丹光电股份有限公司
14,北京七星华创流量计有限公司
15,北京千禧维讯科技有限公司
16,北京赛赋医药研究院有限公司
17,北京三盈联合石油技术有限公司
18,北京世维通科技股份有限公司
19,北京市科通电子继电器总厂有限公司
20,北京踏歌智行科技有限公司
21,北京泰策科技有限公司
22,北京天空卫士网络安全技术有限公司
23,北京天星博迈迪医疗器械有限公司
24,北京唯迈医疗设备有限公司
25,北京星和众工设备技术股份有限公司
26,北京星网宇达科技股份有限公司
27,北京宇翔电子有限公司
28,北京昭衍生物技术有限公司
29,北京昭衍新药研究中心股份有限公司
30,北京中鼎高科自动化技术有限公司
31,北京中纺化工股份有限公司
32,北京中航智科技有限公司
33,北京中铠天成科技股份有限公司
34,北京中科金马科技股份有限公司
35,煤科院节能技术有限公司
36,清能德创电气技术（北京）有限公司
37,托普威尔石油技术股份公司
38,新能动力（北京）电气科技有限公司
39,新石器慧通（北京）科技有限公司
40,长城超云（北京）科技有限公司
41,中航金网（北京）电子商务有限公司
42,中星联华科技（北京）有限公司
43,中冶赛迪电气技术有限公司
