序号,企业名称,获评批次                              （“小巨人”）
,,
,,
1,北京中祥英科技有限公司,第五批
2,倍杰特集团股份有限公司,第五批
3,北京京东方传感技术有限公司,第五批
4,北京长木谷医疗科技股份有限公司,第五批
5,蓝谷智慧（北京）能源科技有限公司,第五批
6,北京融为科技有限公司,第五批
7,北京国科天迅科技股份有限公司,第五批
8,北京航天长征机械设备制造有限公司,第五批
9,北京德鑫泉物联网科技股份有限公司,第五批
10,北京天助畅运医疗技术股份有限公司,第五批
11,北京智同精密传动科技有限责任公司,第五批
12,北京天云融创软件技术有限公司,第五批
13,北斗启明（北京）节能科技服务有限公司,第五批
14,强联智创（北京）科技有限公司,第五批
15,北京高新利华科技股份有限公司,第五批
16,金网络（北京）数字科技有限公司,第五批
17,北京亦盛精密半导体有限公司,第五批
18,云控智行科技有限公司,第五批
19,普瑞奇科技（北京）股份有限公司,第五批
20,北京先瑞达医疗科技有限公司,第五批
21,中科艾尔（北京）科技有限公司,第五批
22,北京国网电力技术有限公司,第五批
23,北京雷格讯电子股份有限公司,第五批
24,北京烁科中科信电子装备有限公司,第五批
25,北京中兴高达通信技术有限公司,第五批
26,北京合康新能变频技术有限公司,第五批
27,中核控制系统工程有限公司,第五批
28,人民中科（北京）智能技术有限公司,第五批
29,北京燕东微电子科技有限公司,第五批
30,高频（北京）科技股份有限公司,第五批
31,北京神导科技股份有限公司,第五批
