序号,企业名称,试点示范,最新认定/复审年份,最新认定/复审情况
1,北京博海康源医疗器械有限公司,示范单位,2022年,2022年度示范新认定
2,北京华科泰生物技术股份有限公司,示范单位,2022年,2022年度示范新认定
3,北京加科思新药研发有限公司,示范单位,2022年,2022年度示范新认定
4,北京嘉洁能科技股份有限公司,示范单位,2022年,2022年度示范新认定
5,北京金风慧能技术有限公司,示范单位,2022年,2022年度示范新认定
6,北京精益泰翔技术发展有限公司,示范单位,2022年,2022年度示范新认定
7,北京康乐卫士生物技术股份有限公司,示范单位,2022年,2022年度示范新认定
8,北京涞澈科技发展有限公司,示范单位,2022年,2022年度示范新认定
9,北京亮亮视野科技有限公司,示范单位,2022年,2022年度示范新认定
10,北京新研创能科技有限公司,示范单位,2022年,2022年度示范新认定
11,北京鑫开元医药科技有限公司,示范单位,2022年,2022年度示范新认定
12,北京星网宇达科技股份有限公司,示范单位,2022年,2022年度示范新认定
13,北京沄汇智能科技有限公司,示范单位,2022年,2022年度示范新认定
14,北京长木谷医疗科技有限公司,示范单位,2022年,2022年度示范新认定
15,北京中检葆泰生物技术有限公司,示范单位,2022年,2022年度示范新认定
16,博尔诚（北京）科技有限公司,示范单位,2022年,2022年度示范新认定
17,聚束科技（北京）有限公司,示范单位,2022年,2022年度示范新认定
18,泰姆瑞（北京）精密技术有限公司,示范单位,2022年,2022年度示范新认定
19,曜立科技（北京）有限公司,示范单位,2022年,2022年度示范新认定
20,中冶赛迪电气技术有限公司,示范单位,2022年,2022年度示范新认定
21,百泰生物药业有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
22,北京北方华创微电子装备有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
23,北京东方百泰生物科技股份有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
24,北京京东方光电科技有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
25,北京京东方显示技术有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
26,北京京东世纪贸易有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
27,北京凯因科技股份有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
28,北京康立生医药技术开发有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
29,北京科益虹源光电技术有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
30,北京诺康达医药科技股份有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
31,北京斯利安药业有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
32,北京泰德制药股份有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
33,北京天诚同创电气有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
34,北京同益中新材料科技股份有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
35,北京新能源汽车股份有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
36,北京星昊医药股份有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
37,北京星和众工设备技术股份有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
38,北京永新医疗设备有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
39,北京中电科电子装备有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
40,航天长征化学工程股份有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
41,京东科技控股股份有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
42,朗致集团有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
43,森特士兴集团股份有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
44,舒泰神（北京）生物制药股份有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
45,松下电气机器（北京）有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
46,中国石油集团海洋工程有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
47,中铁十九局集团有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
48,中冶京诚工程技术有限公司,示范单位,2022年,首批集中确认及2019年度示范复审通过
49,北京国科天迅科技股份有限公司,优势单位,2023年,2020年度示范复审通过
50,北京和利康源医疗科技有限公司,优势单位,2023年,2020年度示范复审通过
51,北京华卓精科科技股份有限公司,优势单位,2023年,2020年度示范复审通过
52,北京京东乾石科技有限公司,优势单位,2023年,2020年度示范复审通过
53,北京天地融创科技股份有限公司,优势单位,2023年,2020年度示范复审通过
54,北京星际荣耀空间科技股份有限公司,优势单位,2023年,2020年度示范复审通过
55,北京毅新博创生物科技有限公司,优势单位,2023年,2020年度示范复审通过
56,北京中车赛德铁道电气科技有限公司,优势单位,2023年,2020年度示范复审通过
57,德诺杰亿（北京）生物科技有限公司,优势单位,2023年,2020年度示范复审通过
58,蓝箭航天空间科技股份有限公司,优势单位,2023年,2020年度示范复审通过
59,三盈联合科技股份有限公司,优势单位,2023年,2020年度示范复审通过
60,望海康信（北京）科技股份公司,优势单位,2023年,2020年度示范复审通过
61,未来（北京）黑科技有限公司,优势单位,2023年,2020年度示范复审通过
62,中国华冶科工集团有限公司,优势单位,2023年,2020年度示范复审通过
63,中交路桥北方工程有限公司,优势单位,2023年,2020年度示范复审通过
