序号,企业名称,试点示范,最新认定_复审年份,最新认定_复审情况
1,北方集成电路技术创新中心（北京）有限公司,试点单位,2022年,2022年度新认定试点
2,北京德邦大为科技股份有限公司,试点单位,2022年,2022年度新认定试点
3,北京东港瑞宏科技有限公司,试点单位,2022年,2022年度新认定试点
4,北京富地时空信息技术有限公司,试点单位,2022年,2022年度新认定试点
5,北京海步医药科技有限公司,试点单位,2022年,2022年度新认定试点
6,北京航天和兴科技股份有限公司,试点单位,2022年,2022年度新认定试点
7,北京金诺美科技股份有限公司,试点单位,2022年,2022年度新认定试点
8,北京锦篮基因科技有限公司,试点单位,2022年,2022年度新认定试点
9,北京京深深向科技有限公司,试点单位,2022年,2022年度新认定试点
10,北京精英路通科技有限公司,试点单位,2022年,2022年度新认定试点
11,北京启辰生生物科技有限公司,试点单位,2022年,2022年度新认定试点
12,北京求臻医学检验实验室有限公司,试点单位,2022年,2022年度新认定试点
13,北京睿芯高通量科技有限公司,试点单位,2022年,2022年度新认定试点
14,北京三力新能科技有限公司,试点单位,2022年,2022年度新认定试点
15,北京市科通电子继电器总厂有限公司,试点单位,2022年,2022年度新认定试点
16,北京市新里程医药科技有限公司,试点单位,2022年,2022年度新认定试点
17,北京四达基业市政建设工程有限公司,试点单位,2022年,2022年度新认定试点
18,北京踏歌智行科技有限公司,试点单位,2022年,2022年度新认定试点
19,北京天星博迈迪医疗器械有限公司,试点单位,2022年,2022年度新认定试点
20,北京橡鑫生物科技有限公司,试点单位,2022年,2022年度新认定试点
21,北京新华印刷有限公司,试点单位,2022年,2022年度新认定试点
22,北京新基永康生物科技有限公司,试点单位,2022年,2022年度新认定试点
23,北京燕阳新材料技术发展有限公司,试点单位,2022年,2022年度新认定试点
24,北京奕斯伟计算技术有限公司,试点单位,2022年,2022年度新认定试点
25,北京宇航推进科技有限公司,试点单位,2022年,2022年度新认定试点
26,北京兆阳能源技术有限公司,试点单位,2022年,2022年度新认定试点
27,北京中飞艾维航空科技有限公司,试点单位,2022年,2022年度新认定试点
28,国汽智控（北京）科技有限公司,试点单位,2022年,2022年度新认定试点
29,蓝谷智慧（北京）能源科技有限公司,试点单位,2022年,2022年度新认定试点
30,李宁（中国）体育用品有限公司,试点单位,2022年,2022年度新认定试点
31,俐玛光电科技（北京）有限公司,试点单位,2022年,2022年度新认定试点
32,路德通电子设备(北京)有限公司,试点单位,2022年,2022年度新认定试点
33,美丽华夏生态环境科技有限公司,试点单位,2022年,2022年度新认定试点
34,强联智创（北京）科技有限公司,试点单位,2022年,2022年度新认定试点
35,陶普斯化学科技（北京）有限公司,试点单位,2022年,2022年度新认定试点
36,微岩医学科技（北京）有限公司,试点单位,2022年,2022年度新认定试点
37,小米汽车科技有限公司,试点单位,2022年,2022年度新认定试点
38,新能动力（北京）电气科技有限公司,试点单位,2022年,2022年度新认定试点
39,予果生物科技（北京）有限公司,试点单位,2022年,2022年度新认定试点
40,庄亚（北京）生物科技有限公司,试点单位,2022年,2022年度新认定试点
41,北京爱普拜生物技术有限公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
42,北京安诺优达医学检验实验室有限公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
43,北京奥林匹亚锅炉有限公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
44,北京博大光通物联科技股份有限公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
45,北京呈诺医学科技有限公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
46,北京飞讯数码科技有限公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
47,北京冠舟科技有限公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
48,北京合康新能科技股份有限公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
49,北京宏瑞汽车科技股份有限公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
50,北京金星鸭业有限公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
51,北京京东方能源科技有限公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
52,北京罗诺强施医药技术研发中心有限公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
53,北京纳百生物科技有限公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
54,北京锐洁机器人科技有限公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
55,北京三诺佳邑生物技术有限责任公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
56,北京舒泰神医药科技有限公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
57,北京硕佰医药科技有限责任公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
58,北京同仁堂股份有限公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
59,北京现代高达生物技术有限责任公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
60,北京兴翌苑科技开发有限公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
61,北京杏林睿光科技有限公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
62,北京中鼎高科自动化技术有限公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
63,北京中丽制机工程技术有限公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
64,北京卓立汉光仪器有限公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
65,博尔诚(北京)科技有限公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
66,康众（北京）生物科技有限公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
67,美巢集团股份公司,试点单位,2022年,首批集中确认及2019年度试点复审通过
68,百实创（北京）科技有限公司,试点单位,2023年,2020年度试点复审通过
69,北京安百胜生物科技有限公司,试点单位,2023年,2020年度试点复审通过
70,北京奥特恒业电气设备有限公司,试点单位,2023年,2020年度试点复审通过
71,北京博电新力电气股份有限公司,试点单位,2023年,2020年度试点复审通过
72,北京博科测试系统股份有限公司,试点单位,2023年,2020年度试点复审通过
73,北京国富安电子商务安全认证有限公司,试点单位,2023年,2020年度试点复审通过
74,北京海瑞克科技发展有限公司,试点单位,2023年,2020年度试点复审通过
75,北京和利时智能技术有限公司,试点单位,2023年,2020年度试点复审通过
76,北京洪雨建设工程有限公司,试点单位,2023年,2020年度试点复审通过
77,北京京诚泽宇能源环保工程技术有限公司,试点单位,2023年,2020年度试点复审通过
78,北京京城清达电子设备有限公司,试点单位,2023年,2020年度试点复审通过
79,北京京运通科技股份有限公司,试点单位,2023年,2020年度试点复审通过
80,北京耐特尔环境工程技术有限公司,试点单位,2023年,2020年度试点复审通过
81,北京诺赛基因组研究中心有限公司,试点单位,2023年,2020年度试点复审通过
82,北京培宏望志科技有限公司,试点单位,2023年,2020年度试点复审通过
83,北京外号信息技术有限公司,试点单位,2023年,2020年度试点复审通过
84,北京枭龙科技有限公司,试点单位,2023年,2020年度试点复审通过
85,北京欣奕华科技有限公司,试点单位,2023年,2020年度试点复审通过
86,北京星昊嘉宇医药科技有限公司,试点单位,2023年,2020年度试点复审通过
87,北京易美新创科技有限公司,试点单位,2023年,2020年度试点复审通过
88,北京银河巴马生物技术股份有限公司,试点单位,2023年,2020年度试点复审通过
89,北京英纳超导技术有限公司,试点单位,2023年,2020年度试点复审通过
90,北京永泰生物制品有限公司,试点单位,2023年,2020年度试点复审通过
91,北京中冶力和科技有限公司,试点单位,2023年,2020年度试点复审通过
92,北京主线科技有限公司,试点单位,2023年,2020年度试点复审通过
93,宏大研究院有限公司,试点单位,2023年,2020年度试点复审通过
94,诺未科技（北京）有限公司,试点单位,2023年,2020年度试点复审通过
95,欧必翼太赫兹科技（北京）有限公司,试点单位,2023年,2020年度试点复审通过
96,伊比西（北京）植物药物技术有限公司,试点单位,2023年,2020年度试点复审通过
97,北斗启明（北京）节能科技服务有限公司,试点单位,2023年,2023年度新认定试点
98,北京爱普益生物科技有限公司,试点单位,2023年,2023年度新认定试点
99,北京爱思益普生物科技股份有限公司,试点单位,2023年,2023年度新认定试点
100,北京安普兑电子科技有限公司,试点单位,2023年,2023年度新认定试点
101,北京邦塞科技有限公司,试点单位,2023年,2023年度新认定试点
102,北京锤特生物科技有限公司,试点单位,2023年,2023年度新认定试点
103,北京丹大生物技术有限公司,试点单位,2023年,2023年度新认定试点
104,北京丹擎医药科技有限公司,试点单位,2023年,2023年度新认定试点
105,北京德动能自动化科技有限公司,试点单位,2023年,2023年度新认定试点
106,北京东方金荣超声电器有限公司,试点单位,2023年,2023年度新认定试点
107,北京国印网安科技有限公司,试点单位,2023年,2023年度新认定试点
108,北京和华瑞博医疗科技有限公司,试点单位,2023年,2023年度新认定试点
109,北京和杰创新生物医学科技有限公司,试点单位,2023年,2023年度新认定试点
110,北京泓信干细胞生物技术有限公司,试点单位,2023年,2023年度新认定试点
111,北京汇诚瑞祥医药生物科技有限公司,试点单位,2023年,2023年度新认定试点
112,北京京城智通机器人科技有限公司,试点单位,2023年,2023年度新认定试点
113,北京京东电解智科技有限公司,试点单位,2023年,2023年度新认定试点
114,北京精微高博仪器有限公司,试点单位,2023年,2023年度新认定试点
115,北京九州恒盛电力科技有限公司,试点单位,2023年,2023年度新认定试点
116,北京凯祥弘康生物科技有限公司,试点单位,2023年,2023年度新认定试点
117,北京康亿鸿科技发展有限公司,试点单位,2023年,2023年度新认定试点
118,北京科仪邦恩医疗器械科技有限公司,试点单位,2023年,2023年度新认定试点
119,北京莱盟君泰国际医疗技术开发有限公司,试点单位,2023年,2023年度新认定试点
120,北京兰天方圆铝塑门窗有限公司,试点单位,2023年,2023年度新认定试点
121,北京蓝天多维科技有限公司,试点单位,2023年,2023年度新认定试点
122,北京亮道智能汽车技术有限公司,试点单位,2023年,2023年度新认定试点
123,北京零壹空间电子有限公司,试点单位,2023年,2023年度新认定试点
124,北京明尼特环保设备有限公司,试点单位,2023年,2023年度新认定试点
125,北京明日电器设备有限责任公司,试点单位,2023年,2023年度新认定试点
126,北京浦丹光电股份有限公司,试点单位,2023年,2023年度新认定试点
127,北京千禧维讯科技有限公司,试点单位,2023年,2023年度新认定试点
128,北京轻舟智航科技有限公司,试点单位,2023年,2023年度新认定试点
129,北京市政中燕工程机械制造有限公司,试点单位,2023年,2023年度新认定试点
130,北京势蓝科技有限公司,试点单位,2023年,2023年度新认定试点
131,北京泰准测控技术有限公司,试点单位,2023年,2023年度新认定试点
132,北京同创正业生物科技有限公司,试点单位,2023年,2023年度新认定试点
133,北京万旺科技有限公司,试点单位,2023年,2023年度新认定试点
134,北京亿森宝生物科技有限公司,试点单位,2023年,2023年度新认定试点
135,北京易智时代数字科技有限公司,试点单位,2023年,2023年度新认定试点
136,北京引正基因科技有限公司,试点单位,2023年,2023年度新认定试点
137,北京泽桥医疗科技股份有限公司,试点单位,2023年,2023年度新认定试点
138,北京中科国光量子科技有限公司,试点单位,2023年,2023年度新认定试点
139,北京中科天昊科技有公司,试点单位,2023年,2023年度新认定试点
140,北京中科天昊科技有限公司,试点单位,2023年,2023年度新认定试点
141,北京中体骏彩信息技术有限公司,试点单位,2023年,2023年度新认定试点
142,北京梓熙生物科技有限公司,试点单位,2023年,2023年度新认定试点
143,东方空间技术（北京）有限公司,试点单位,2023年,2023年度新认定试点
144,华清科盛（北京）信息技术有限公司,试点单位,2023年,2023年度新认定试点
145,华影文旅集团有限公司,试点单位,2023年,2023年度新认定试点
146,京东方晶芯科技有限公司,试点单位,2023年,2023年度新认定试点
147,灵犀量子（北京）医疗科技有限公司,试点单位,2023年,2023年度新认定试点
148,普华赛尔生物医疗科技有限公司,试点单位,2023年,2023年度新认定试点
149,人民中科（北京）智能技术有限公司,试点单位,2023年,2023年度新认定试点
150,润方（北京）生物医药研究院有限公司,试点单位,2023年,2023年度新认定试点
151,赛纳生物科技（北京）有限公司,试点单位,2023年,2023年度新认定试点
152,赛诺威盛科技（北京）股份有限公司,试点单位,2023年,2023年度新认定试点
153,尚健单抗（北京）生物技术有限公司,试点单位,2023年,2023年度新认定试点
154,思路迪（北京）医药科技有限公司,试点单位,2023年,2023年度新认定试点
155,新能动力（北京）智慧能源科技有限公司,试点单位,2023年,2023年度新认定试点
156,信纳克（北京）生化标志物检测医学研究有限责任公司,试点单位,2023年,2023年度新认定试点
157,优镓科技（北京）有限公司,试点单位,2023年,2023年度新认定试点
158,中航迈特增材科技（北京）有限公司,试点单位,2023年,2023年度新认定试点
159,中科艾尔（北京）科技有限公司,试点单位,2023年,2023年度新认定试点
160,中科微分科技发展（北京）有限公司,试点单位,2023年,2023年度新认定试点
161,中路交建（北京）工程材料技术有限公司,试点单位,2023年,2023年度新认定试点
