序号,企业名称,示范认定年度,优势认定年度
1,中冶京诚工程技术有限公司,2016年,2013年
2,北京京东世纪贸易有限公司,2017年,2016年
3,北京京东方光电科技有限公司,2018年,2017年
4,北京新能源汽车股份有限公司,2018年,2017年
5,北京京东方显示技术有限公司,2019年,2017年
6,北京北方华创微电子装备有限公司,2016年,2013年
7,航天长征化学工程股份有限公司,2018年,2015年
8,北京金风科创风电设备有限公司,2023年,2019年
9,北京诺康达医药科技股份有限公司,2023年,2018年
10,北京慧荣和科技有限公司,2023年,2019年
11,北京英纳超导技术有限公司,——,2013年
12,北京星昊医药股份有限公司,——,2016年
13,北京泰德制药股份有限公司,——,2017年
14,德诺杰亿（北京）生物科技有限公司,——,2018年
15,松下电气机器（北京）有限公司,——,2018年
16,北京索莱宝科技有限公司,——,2019年
17,北京康乐卫士生物技术股份有限公司,——,2022年
18,北京斯利安药业有限公司,——,2022年
19,北京华益精点生物技术有限公司,——,2022年
20,北京集创北方科技股份有限公司,——,2022年
21,北京京东乾石科技有限公司,——,2022年
22,北京旌准医疗科技有限公司,——,2022年
23,京东科技信息技术有限公司,——,2022年
24,蓝箭航天空间科技股份有限公司,——,2022年
25,阿波罗智联（北京）科技有限公司,——,2022年
26,北京丹大生物技术有限公司,——,2023年
27,北京华科泰生物技术股份有限公司,——,2023年
28,北京沃东天骏信息技术有限公司,——,2023年
29,北京和华瑞博科技股份有限公司,——,2023年
30,北京枭龙科技有限公司,——,2023年
31,北京星网宇达科技股份有限公司,——,2023年
32,北京奕斯伟计算技术股份有限公司,——,2023年
33,北京博清科技有限公司,——,2023年
34,北京博鲁斯潘精密机床有限公司,——,2023年
35,北京智行者科技股份有限公司,——,2023年
36,北京锦篮基因科技有限公司,——,2023年
37,北京擎科生物科技股份有限公司,——,2023年
38,北京融为科技有限公司,——,2023年
39,华泰永创（北京）科技股份有限公司,——,2023年
40,安诺优达基因科技（北京）有限公司,——,2023年
41,阿尔特汽车技术股份有限公司,——,2023年
42,联通在线信息科技有限公司,——,2023年
43,强联智创（北京）科技有限公司,——,2023年
注：2024年无新增。,,,
