序号,单位名称,所在区,检查日期,问题名称,拟处理方式
1,福瑞博达（北京）自动化设备有限公司,开发区,45659,未按照规定设置危险废物识别标志,整改
2,北京兴源恒通热力科技有限公司（鹿海园五里小区锅炉房）,开发区,45660,未发现明显违法行为,/
3,长鑫集电（二期）配套大宗气站工程项目二阶段,开发区,45666,未发现明显违法行为,/
4,北京博兴行汽车装饰有限公司,开发区,45666,未发现明显违法行为,/
5,北京亦庄环境科技集团有限公司东区再生水厂,开发区,45666,未发现明显违法行为,/
6,北京纳捷诊断试剂有限公司,开发区,45667,未发现明显违法行为,/
7,中国电信股份有限公司北京分公司-开发区,开发区,45667,未发现明显违法行为,/
8,新型肿瘤产品--免疫细胞制品产业化项目,开发区,45671,未发现明显违法行为,/
9,北京垚味餐饮有限公司,开发区,45672,未发现明显违法行为,/
10,北京同仁堂林肯公园药店有限责任公司,开发区,45672,未发现明显违法行为,/
11,北京博大经开建设有限公司,开发区,45677,未发现明显违法行为,/
12,北京鑫诺美迪基因检测技术有限公司,开发区,45677,未发现明显违法行为,/
13,中国家用电器研究院,开发区,45677,未发现明显违法行为,/
14,北京南常肉食机械有限公司,开发区,45677,未发现明显违法行为,/
15,北京易飞华通机器人技术有限公司,开发区,45677,未发现明显违法行为,/
16,北京中电科电子装备有限公司,开发区,45678,未发现明显违法行为,/
17,北京市自来水集团京兆水表有限责任公司,开发区,45678,未发现明显违法行为,/
18,施乐辉外科植入物（北京）有限公司,开发区,45678,未发现明显违法行为,/
19,伯纳德控制设备（北京）有限公司,开发区,45678,未发现明显违法行为,/
20,北京世纪互联科技有限公司,开发区,45678,未发现明显违法行为,/
21,北京帕菲诺精密机械有限公司,开发区,45678,未发现明显违法行为,/
22,北京浩邈汇丰医药科技有限公司,开发区,45678,未发现明显违法行为,/
23,海斯坦普汽车组件（北京）有限公司,开发区,45678,未发现明显违法行为,/
24,北京伊斯康科技有限公司,开发区,45679,未按照规定设置危险废物识别标志,整改
25,古德西堤贸易（北京）有限公司,开发区,45679,未发现明显违法行为,/
26,北京博大开拓热力有限公司（好景国际锅炉房）,开发区,45679,未发现明显违法行为,/
27,北京呈诺医学科技有限公司,开发区,45680,未发现明显违法行为,/
28,玛汀瑞亚汽车技术（北京）有限公司,开发区,45680,未发现明显违法行为,/
29,北京仁基源医学研究院有限公司,开发区,45680,未发现明显违法行为,/
30,AIM总部基地一期项目,开发区,45680,未发现明显违法行为,/
31,中立安（北京）医药科技有限公司,开发区,45680,危废转移量记录不清晰,整改
32,天蓝碧海（北京）环保工程技术有限公司（林肯C区锅炉房),开发区,45680,未发现明显违法行为,/
33,北京岛津医疗器械有限公司,开发区,45683,未发现明显违法行为,/
34,北京金佰利个人卫生用品有限公司,开发区,45683,未发现明显违法行为,/
35,铂生卓越生物科技（北京）有限公司,开发区,45685,未发现明显违法行为,/
36,北京安通林汽车饰件有限公司,经开区,2025-02-05 00:00:00,未发现明显违法行为,/
37,北京朝林松源酒店管理有限公司,经开区,2025-02-06 00:00:00,未发现明显违法行为,/
38,北京恒盛世茂环保科技有限公司,经开区,2025-02-06 00:00:00,未发现明显违法行为,/
39,北京美浓日用品有限公司,经开区,2025-02-07 00:00:00,未发现明显违法行为,/
40,北京法玛星医药科技有限公司,经开区,2025-02-07 00:00:00,未发现明显违法行为,/
41,蓝星（北京）化工机械有限公司,经开区,2025-02-10 00:00:00,未发现明显违法行为,/
42,国家康复辅具研究中心附属康复医院,经开区,2025-02-10 00:00:00,未发现明显违法行为,/
43,北京志健金瑞生物医药科技有限公司,经开区,2025-02-14 00:00:00,未发现明显违法行为,/
44,嘉康利（中国）日用品有限公司,经开区,2025-02-14 00:00:00,未发现明显违法行为,/
45,北京博大开拓热力有限公司（X84锅炉房）,经开区,2025-02-14 00:00:00,未发现明显违法行为,/
46,北京育华能源有限公司（南海家园五里）,经开区,2025-02-14 00:00:00,未发现明显违法行为,/
47,北京德尔福万源发动机管理系统有限公司,经开区,2025-02-14 00:00:00,未发现明显违法行为,/
48,北京京仪自动化装备技术股份有限公司,经开区,2025-02-14 00:00:00,未发现明显违法行为,/
49,北京悦康科创医药科技股份有限公司,经开区,2025-02-14 00:00:00,未发现明显违法行为,/
50,北京新兴阳升科技有限公司,经开区,2025-02-18 00:00:00,未发现明显违法行为,/
51,资生堂（中国）研究开发中心有限公司,经开区,2025-02-18 00:00:00,未发现明显违法行为,/
52,北京云菱生物技术有限公司,经开区,2025-02-18 00:00:00,未发现明显违法行为,/
53,聚协昌（北京）药业有限公司新建二期生产研发基地项目,经开区,2025-02-21 00:00:00,未发现明显违法行为,/
54,北京汉典中西药研究开发中心,经开区,2025-02-21 00:00:00,未发现明显违法行为,/
55,北京安百胜生物科技有限公司,经开区,2025-02-24 00:00:00,未按照规定设置危险废物识别标志,整改
56,北京市第二中学经开区学校,经开区,2025-02-28 00:00:00,未发现明显违法行为,/
57,北京航天石化技术装备工程有限公司,经开区,2025-02-28 00:00:00,未发现明显违法行为,/
58,北京天骥智谷资产经营管理有限公司,经开区,2025-02-28 00:00:00,未发现明显违法行为,/
59,北京伊品苑餐饮有限公司,经开区,2025-02-28 00:00:00,未发现明显违法行为,/
60,东方晟数字文化传媒（北京）有限公司,经开区,2025-02-28 00:00:00,未发现明显违法行为,/
61,康龙化成（北京）新药技术股份有限公司,经开区,2025-03-01 00:00:00,未发现明显违法行为,/
62,西得乐机械（北京）有限公司,经开区,2025-03-01 00:00:00,未发现明显违法行为,/
63,北京亦昭生物医药中试研发生产基地项目,经开区,2025-03-03 00:00:00,未发现明显违法行为,/
64,北京求臻医学检验实验室有限公司【求臻医学科技（北京）有限公司】,经开区,2025-03-03 00:00:00,未发现明显违法行为,/
65,细胞制备车间项目,经开区,2025-03-03 00:00:00,未发现明显违法行为,/
66,北京友邦众星汽车科技有限公司,经开区,2025-03-03 00:00:00,未发现明显违法行为,/
67,赛莱克斯微系统科技（北京）有限公司,经开区,2025-03-03 00:00:00,未发现明显违法行为,/
68,北京康亿鸿科技发展有限公司,经开区,2025-03-04 00:00:00,未发现明显违法行为,/
69,北京景行盛科贸有限公司,经开区,2025-03-04 00:00:00,未按照规定设置危险废物识别标志,整改
70,联通云数据有限公司,经开区,2025-03-04 00:00:00,未发现明显违法行为,/
71,中体彩印务技术有限公司,经开区,45719,未发现明显违法行为,/
72,康龙化成（北京）新药技术股份有限公司,经开区,45719,未发现明显违法行为,/
73,施耐德（北京）中压电器有限公司,经开区,45721,未发现明显违法行为,/
74,北京天骥智谷资产经营管理有限公司,经开区,45721,未发现明显违法行为,/
75,北京奥力恒通投资管理有限公司（海棠苑锅炉房）,经开区,45724,未发现明显违法行为,/
76,北京京仪博电光学技术有限责任公司,经开区,45724,未发现明显违法行为,/
77,北京中科远恒科技有限公司分公司,经开区,45724,未发现明显违法行为,/
78,北京车爵仕汽车科技有限公司,经开区,45730,未发现明显违法行为,/
79,北京曼可顿食品科技有限公司,经开区,45730,未发现明显违法行为,/
80,北京旌微医学工程研究院有限公司,经开区,45734,未发现明显违法行为,/
81,北京华诺泰生物医药科技有限公司,经开区,45744,未发现明显违法行为,/
82,北京鑫诺金传感技术有限公司,经开区,45744,未发现明显违法行为,/
83,诺未科技（北京）有限公司,经开区,45747,未发现明显违法行为,/
84,北京鲁汶半导体科技有限公司,经开区,45747,未发现明显违法行为,/
85,石墨烯合成及应用技术研发项目,经开区,45747,未发现明显违法行为,/
86,北京义翘神州科技有限公司,经开区,45747,未发现明显违法行为,/
87,滨江华康（北京）生物技术有限公司,经开区,45748,未发现明显违法行为,/
88,北京梓熙生物科技有限公司,经开区,45748,未发现明显违法行为,/
89,前沿生物医学制品(北京)有限公司,经开区,45748,未发现明显违法行为,/
90,北京南海子投资管理有限公司,经开区,45748,未发现明显违法行为,/
91,蛋白药物中试生产车间项目,经开区,45748,未发现明显违法行为,/
92,北京ABB开关有限公司,经开区,45748,未发现明显违法行为,/
93,联通云数据有限公司,经开区,45748,未发现明显违法行为,/
94,北京博研坊餐饮管理有限公司,经开区,45748,未发现明显违法行为,/
95,北京首创北科环境科技研究院有限公司,经开区,45748,未发现明显违法行为,/
96,北京天能运通晶体技术有限公司,经开区,45748,未发现明显违法行为,/
97,北京航天艾格液压系统有限公司,经开区,45748,未发现明显违法行为,/
98,北京汇信德泡泡汽车技术服务有限公司,经开区,45749,危废标识掉落,整改
99,北京市中芯学校,经开区,45749,未发现明显违法行为,/
100,北京华夏瑞丰航空技术有限公司,经开区,45749,未发现明显违法行为,/
101,北京奔驰汽车有限公司M254发动机技术改造项目,经开区,45749,未发现明显违法行为,/
102,北京东宝生物技术有限公司,经开区,45749,未发现明显违法行为,/
103,赛莱克斯微系统科技（北京）有限公司,经开区,45749,未发现明显违法行为,/
104,北京中标方圆防伪技术有限公司,经开区,45749,未发现明显违法行为,/
105,北京燃气能源发展有限公司亦庄X92地块项目锅炉房,经开区,45749,未发现明显违法行为,/
106,萨姆森控制设备（中国）有限公司,经开区,45757,未发现涉嫌违法行为,/
107,心诺普医疗技术（北京）有限公司,经开区,45757,未发现涉嫌违法行为,/
108,北京远策药业有限责任公司,经开区,45757,未发现涉嫌违法行为,/
109,北京金桥雅图生物技术有限公司,经开区,45757,未发现涉嫌违法行为,/
110,亿一生物制药（北京）有限公司,经开区,45757,未发现涉嫌违法行为,/
