序号,企业名称,年份
1,北京易江源科技有限公司,2023年
2,北京维方工程咨询有限公司,2023年
3,北京嘉阳新丰科贸有限公司,2023年
4,北京凌阳伟业科技有限公司,2023年
5,北京扬天佳业建材有限公司,2023年
6,北京创源汇通数字科技发展有限公司,2023年
7,北京国卫生物科技有限公司,2023年
8,北京巡奇创展文化交流有限责任公司,2023年
9,北京弘创亿捷科技有限公司,2023年
10,北京和谐远达汽车销售服务有限公司,2023年
11,北京远光通联科技有限公司,2023年
12,北京欧禄森环保科技有限公司,2023年
13,众业达（北京）智能科技有限公司,2023年
14,北京立妍盛树商贸有限公司,2023年
15,北京优易鲜科技有限公司,2023年
16,北京宏诚创新科技有限公司,2023年
17,天河道云（北京）科技有限公司,2023年
18,北京厨大妈食品集团有限公司,2023年
19,北京国润中科水务集团有限公司,2023年
20,中鼎亦成（北京）建设工程有限公司,2023年
21,北京华盛泷兴环境设备有限公司,2023年
22,北京汇创信息技术咨询有限公司,2023年
23,北京普源方盛保温防水工程有限公司,2023年
24,北京赢泰科工程技术有限公司,2023年
25,北京新能乐业科技有限公司,2023年
26,北京鸿运正合商贸有限公司,2023年
27,比宝优儿营养（北京）餐饮管理有限公司,2023年
28,北京天诚创享科技有限公司,2023年
29,北京亦美思商贸有限公司,2023年
30,北京雷格讯电子股份有限公司,2023年
31,北京睿泽澜庭科贸有限公司,2023年
32,全图通位置网络有限公司,2023年
33,北京涛尚农业科技有限公司,2023年
34,晟瑞斯科技发展（北京）有限公司,2023年
35,北京中商鼎盛机电设备有限公司,2023年
36,海辉医学（北京）科技有限公司,2023年
37,北京腾达信德企业管理有限公司,2023年
38,北京康泰华宇科技有限公司,2023年
39,北京汉鼎计测技术有限公司,2023年
40,北京绿生源绿化工程有限公司,2023年
41,北京普德康利医药科技发展有限公司,2023年
42,北京金水鸿图建筑装饰有限公司,2023年
43,北京宏鹏餐饮服务有限公司,2023年
44,北京锐洁机器人科技有限公司,2023年
45,北京盛伟腾达企业管理有限公司,2023年
46,中科微分科技发展（北京）有限公司,2023年
47,北京广源嘉瑞科技有限公司,2023年
48,北京信合永泰科技有限公司,2023年
49,北京泽睿德人力资源管理技术有限公司,2023年
50,北京建荣自动化技术有限公司,2023年
51,北京美格智诚电子工程有限公司,2023年
52,好又鲜供应链管理有限公司,2023年
53,北京嘉业天宏科技有限公司,2023年
54,京安恒远（北京）保安服务有限公司,2023年
55,北京源清必洁科技有限公司,2023年
56,北京酒来酒往商贸有限公司,2023年
57,北京马泰克国际贸易有限公司,2023年
58,北京泽桥医疗科技股份有限公司,2023年
59,中基天弘（北京）科技有限公司,2023年
60,北京潞康科技有限公司,2023年
61,极睿咖啡（北京）有限公司,2023年
62,北京宝丽永昌医药科技有限公司,2023年
63,北京中建京诚自动化技术有限公司,2023年
64,北京加立技术有限公司,2023年
65,北京法利膜结构技术有限公司,2023年
66,北京嵩淼经贸有限责任公司,2023年
67,北京永盛嘉华广告有限公司,2023年
68,北京亦开特电气有限公司,2023年
69,新际芯（北京）科技有限公司,2023年
70,北京继泽科技有限公司,2023年
71,北京数泰科技有限公司,2023年
72,北京富诗健国际贸易有限公司,2023年
73,北京软体机器人科技股份有限公司,2023年
74,和晟汇能（北京）科贸有限公司,2023年
75,北京云熠商贸有限公司,2023年
76,北京誉汇华夏装饰有限公司,2023年
77,北京沄汇智能科技有限公司,2023年
78,北京博润佳科技有限公司,2023年
79,北京光信互联科技有限公司,2023年
80,北京珂阳科技有限公司,2023年
81,弗瑞尔（北京）科技有限公司,2023年
82,北京汤团宝贝商贸有限公司,2023年
83,北京林风智创企业管理有限公司,2023年
84,禧乐多（北京）贸易有限公司,2023年
85,北京久贤企业管理咨询有限公司,2023年
86,北京方生益达科技发展有限公司,2023年
87,北京海美桐医药科技有限公司,2023年
88,北京新光恒安工程技术有限公司,2023年
89,北京普拉科技有限公司,2023年
90,北京龙芯惠供应链管理有限公司,2023年
91,新阳在线（北京）科技有限公司,2023年
92,曼尼威斯（北京）电气技术有限公司,2023年
93,北京恩萨工程技术有限公司,2023年
94,北京兴昌利锋金属制品有限公司,2023年
95,北京融讯科创技术有限公司,2023年
96,北京瀛润宝刚机电设备安装工程有限公司,2023年
97,北京东自仪仪表有限公司,2023年
98,北京中领启天信息科技有限公司,2023年
99,北京瑞达能科技有限公司,2023年
100,北京通敏未来动力科技有限公司,2023年
101,北京江仙雅居荣华餐饮管理有限公司,2023年
102,北京彩虹树文化有限公司,2023年
103,北京世纪洪雨科技有限公司,2023年
104,北京广福思源商贸有限责任公司,2023年
105,北京国电科创电器有限公司,2023年
106,北京海步医药科技有限公司,2023年
107,中交汇通（北京）科技有限公司,2023年
108,京水云（北京）科技有限公司,2023年
109,北京北阀电站设备有限公司,2023年
110,北京远大恒通科技发展有限公司,2023年
111,中科晶源微电子技术（北京）有限公司,2023年
112,北京司淼环保设备有限公司,2023年
113,北京东方泰华科技发展有限公司,2023年
114,德诺杰亿（北京）生物科技有限公司,2023年
115,北京中航天创光电科技有限公司,2023年
116,北京航天创鑫科技发展有限公司,2023年
117,北京八则食品科技有限公司,2023年
118,博道体育（北京）有限公司,2023年
119,北京东晟供应链管理有限公司,2023年
120,中奥汇成科技股份有限公司,2023年
121,北京金恺新能源环境科技有限公司,2023年
122,北京德安美商务科技有限公司,2023年
123,北京宇航国创科技集团有限公司,2023年
124,无量云（北京）科技有限公司,2023年
125,蓝城行智（北京）信息服务有限公司,2023年
126,中合动力（北京）新能源科技有限公司,2023年
127,北京远昊餐饮管理服务有限公司,2023年
128,北鹏建筑集团有限公司,2023年
129,北京新宝同怀节能科技有限公司,2023年
130,北京恒科天地矿业测控技术有限公司,2023年
131,北京华彩盛志纸制品有限公司,2023年
132,北京国泰恒达科技有限公司,2023年
133,北京益乐尚商贸有限责任公司,2023年
134,北京星和众创科技股份有限公司,2023年
135,北京百跃世纪能源科技有限公司,2023年
136,中科尚易健康科技（北京）有限公司,2023年
137,北京优信优德科技有限公司,2023年
138,北京益林克科技有限公司,2023年
139,北京中联泰和装饰有限公司,2023年
140,东方爱堡（北京）母婴健康科技有限公司,2023年
141,北京骏堃文化传播有限公司,2023年
142,北京龙廷建筑工程有限公司,2023年
143,北京保罗盛世集团股份有限公司,2023年
144,北京络可英网络科技有限公司,2023年
145,北京汇诚瑞祥医药生物科技有限公司,2023年
146,北京和旭通环保科技有限责任公司,2023年
147,北京天筑博诚物业管理有限公司,2023年
148,北京祥辰进出口贸易有限公司,2023年
149,北京恒星煜医疗科技有限公司,2023年
150,北京海顺德钛催化剂有限公司,2023年
151,北京京城涂料有限公司,2023年
152,北京协和洛克生物技术有限责任公司,2023年
153,北京引领前沿生物科技有限公司,2023年
154,中直采企业管理有限公司,2023年
155,北京遇疆红科技有限公司,2023年
156,北京中恒维科电子技术有限公司,2023年
157,北京华荷国际贸易有限公司,2023年
158,北京中电新华信息咨询有限公司,2023年
159,北京易智时代数字科技有限公司,2023年
160,北京众信天泽科技有限公司,2023年
161,蓝气球（北京）医学研究有限公司,2023年
162,北京玫瑰泉贸易有限公司,2023年
163,北京涵奕智能科技有限公司,2023年
164,北京尚膳极炙餐饮有限责任公司,2023年
165,北京安然荣生科技有限公司,2023年
