ID,荣誉名称,机构名称,统一社会,法定代表人,信用代码
1,第十五届首都旅游紫禁杯最佳集体奖,中国国际旅行社总社有限公司,911100001013930000,韩育锋,11110000000021557L
2,第十五届首都旅游紫禁杯最佳集体奖,中青旅控股股份有限公司,91110000100028158N,康国明,11110000000021557L
3,第十五届首都旅游紫禁杯先进集体奖,中信旅游集团有限公司,91110000101715419H,冯彦庆,11110000000021557L
4,第十五届首都旅游紫禁杯先进集体奖,中国妇女旅行社,9.111E+17,胡杨,11110000000021557L
5,第十五届首都旅游紫禁杯最佳集体奖,中国铁道旅行社集团有限公司,9.111E+17,杜宪忠,11110000000021557L
6,第十五届首都旅游紫禁杯先进集体奖,中国康辉旅游集团有限公司,91110000100005730Q,李源光,11110000000021557L
7,第十五届首都旅游紫禁杯先进集体奖,中商国际旅行社有限公司,9.111E+17,王培贤,11110000000021557L
8,第十五届首都旅游紫禁杯先进集体奖,北京凯撒国际旅行社有限责任公司,91110101710926051X,陈小兵,11110000000021557L
9,第十五届首都旅游紫禁杯最佳集体奖,北京新华国际旅游有限公司,9111010810204643XW,鲍文永,11110000000021557L
10,第十五届首都旅游紫禁杯最佳集体奖,北京春秋旅行社有限公司,91110101101287418R,陈根章,11110000000021557L
11,第十五届首都旅游紫禁杯最佳集体奖,众信旅游集团股份有限公司,91110000101126585H,曹建,11110000000021557L
12,第十五届首都旅游紫禁杯先进集体奖,北京神舟国际旅行社集团有限公司,91110000700239565D,史晨,11110000000021557L
13,第十五届首都旅游紫禁杯先进集体奖,北京三百六十度国际旅行社有限公司,91110105582552402G,鞠洪伟,11110000000021557L
14,第十五届首都旅游紫禁杯先进集体奖,北京世纪明德国际旅行社有限公司,91110108663734048D,刘利雷,11110000000021557L
15,第十五届首都旅游紫禁杯先进集体奖,北京时代环球国际旅游有限公司,9.11101E+17,汪世林,11110000000021557L
16,第十五届首都旅游紫禁杯先进集体奖,北京欣欣翼翔国际旅行社有限公司,91110105778645432X,冯建华,11110000000021557L
17,第十五届首都旅游紫禁杯先进集体奖,北京京旅恒展国际会展有限公司,,,11110000000021557L
18,第十五届首都旅游紫禁杯先进集体奖,北京饭店,,,11110000000021557L
19,第十五届首都旅游紫禁杯先进集体奖,中国大饭店,,,11110000000021557L
20,第十五届首都旅游紫禁杯先进集体奖,励骏酒店,,,11110000000021557L
21,第十五届首都旅游紫禁杯先进集体奖,北京凯宾斯基饭店,,,11110000000021557L
22,第十五届首都旅游紫禁杯先进集体奖,梅地亚中心,,,11110000000021557L
23,第十五届首都旅游紫禁杯先进集体奖,北京五洲大酒店,,,11110000000021557L
24,第十五届首都旅游紫禁杯先进集体奖,北京贵宾楼饭店,,,11110000000021557L
25,第十五届首都旅游紫禁杯先进集体奖,东方君悦大酒店,,,11110000000021557L
26,第十五届首都旅游紫禁杯先进集体奖,首都大酒店,,,11110000000021557L
27,第十五届首都旅游紫禁杯先进集体奖,北京汉华国际饭店,,,11110000000021557L
