规则：1、数据来源于双公示数据。2、日期按照决定日期选择1月日至6月30日。3、删除公示截止期小于6月30日的处罚。4、详情组合认定依据、违法事由、处罚依据、处罚内容,/,/,/,/,/,/,/,/,/,/
序号,行政相对人名称,处罚决定书文号,详情,,,,,处罚决定书决定日期,处罚公示期限,办案机关
1,北京博亚德消防安全智能工程有限公司,京建法罚（市）字[2022]第010717号,《北京市建设工程施工现场管理办法》第三十一条,位于北京房山区长阳起步区2号地九年一贯制学校建设工程（1#教学办公综合楼等4项）项目的建设单位是北京市房山区教育委员会，施工单位是北京城建集团有限责任公司，监理单位是北京佳德建设监理有限责任公司，你单位是该项目消防工程专业分包单位。北京市建设工程安全质量监督总站于2022年9月7日现场检查时，发现你单位消防工程施工现场存在以下问题：1.施工现场1#教学办公综合楼地下一层，你单位使用的电缆沿地明设，无保护措施。不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.10.6条的要求；2.施工现场1#教学办公综合楼地下一层，你单位使用的两台移动式开关箱放置在地面上，未装设在坚固、稳定的支架上。不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第8.1.8条的要求；3.施工现场1#教学办公综合楼地下一层，你单位使用的一台开关箱箱门脱落。不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.10.8条的要求。你单位存在的上述安全隐患总共违反了3条技术标准，未违反强制性条文。你单位上述行为属于未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为。,《北京市建设工程施工现场管理办法》第三十一条,罚款,给予北京博亚德消防安全智能工程有限公司处5500元罚款的行政处罚,2023-01-03,2024-01-03,北京市住房和城乡建设委员会
2,北京瑞兴达建设工程有限公司,京建法罚（市）字[2023]第010026号,《中华人民共和国安全生产法》第九十七条第（一）项,你单位是位于大兴区黄村镇狼垡村的大兴狼垡集体产业用地DX00-1002-L06地块科创中心项目（03#产业独栋C等36项）的劳务分包施工单位，2022年9月20日本机关现场检查时，你单位作为该项目的劳务分包施工单位，施工现场有254名施工人员，配备1名安全生产管理人员，不符合《建筑施工企业安全生产管理机构设置及专职安全生产管理人员配备办法》(建质[2008]91号)第十四条第（二）项“劳务分包单位施工人员200人及以上的，应当配备3名及以上专职安全生产管理人员”的规定。你单位的上述行为属于未按照规定配备安全生产管理人员的行为。上述行为导致北京瑞兴达建设工程有限公司在该项目的安全管理力量不足，安全管理工作存在漏洞，存在安全隐患。,《中华人民共和国安全生产法》第九十七条第（一）项,罚款,给予你单位处25000元罚款的行政处罚,2023-03-31,2024-03-31,北京市住房和城乡建设委员会
3,龙兴（天津）装饰工程设计有限公司,京建法罚（市）字[2023]第010033号,《北京市建设工程施工现场管理办法》第三十一条,本机关于2023年2月21日对你单位在位于北京市昌平区回龙观镇高新三街2号的中航工程集成设备有限公司新建生产试验楼项目（生产试验）施工过程中涉嫌存在施工单位未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为予以立案，开展调查。根据2023年2月21日对你单位委托代理人张磊的询问，以及调取有关资料，查明：你单位是该工程精装修及幕墙工程专业分包施工单位。2022年9月13日，你单位在该工程施工现场存在以下问题：1、生产试验楼首层龙兴（天津）装饰工程设计有限公司使用的一台分配电箱无分路标记，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第8.3.1条的规定。2、生产试验楼首层龙兴（天津）装饰工程设计有限公司使用的一台分配电箱出线与箱体直接接触，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第8.1.16条的规定。3、生产试验楼首层龙兴（天津）装饰工程设计有限公司使用的电缆沿墙壁敷设，使用金属片进行固定，未采用绝缘子固定，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第7.2.9条的规定。4、生产试验楼地下一层龙兴（天津）装饰工程设计有限公司使用的一组移动式操作平台临边未设置防护栏杆，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.5.17条的要求。上述违法事实清楚，证据确实、充分。当事人对违法事实予以认可。未发现你单位有其他适用减轻、从轻或从重处罚的情形。,《北京市建设工程施工现场管理办法》第三十一条,罚款,给予龙兴（天津）装饰工程设计有限公司处5500元罚款,2023-03-28,2024-03-28,北京市住房和城乡建设委员会
4,中建城龙建设工程有限公司,京建法罚（市）字[2023]第010067号,《中华人民共和国行政许可法》第七十八条和《建筑业企业资质管理规定》第三十五条,你单位在2022年10月21日申请消防设施工程专业承包壹级资质时提交的技术负责人苏长缨曾在北京通安伟业机电工程有限公司、北京清澳电力工程有限公司、北京世纪中宏建设工程有限公司任职，但你单位在苏长缨的工作简历中却未填报其之前在北京通安伟业机电工程有限公司、北京清澳电力工程有限公司、北京世纪中宏建设工程有限公司任职的工作经历，你单位存在提供虚假材料申请建筑业企业资质的行为。你单位未取得消防设施工程专业承包壹级资质。,《中华人民共和国行政许可法》第七十八条和《建筑业企业资质管理规定》第三十五条,警告,责令你单位15日内改正违法行为，给予警告，一年内不得再次申请该项建筑业企业资质（消防设施工程专业承包资质）,2023-04-07,2023-07-07,北京市住房和城乡建设委员会
5,北京筱寓物业管理有限公司,京建法罚（市）字[2023]第010170号,《北京市住房租赁条例》第六十七条第(五）项和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1671000B010,经查，你单位北京筱寓物业管理有限公司作为住房租赁企业，在组织出租人与承租人签订签订位于通州区高菜路56号4号楼24212的房屋租赁合同前，未编制房屋状况说明书，未向意向承租人书面告知有关情况。北京市住房和城乡建设委员会于2023年3月28日向你公司下达了责令改正通知书（编号为京建法改（市）字[2023]第010113号），责令你公司于2023年4月4日前改正该行为。你公司于2023年4月3日提交了整改报告，经复核，你公司已在规定期限内改正了违法行为，复核合格。在调查过程中未发现你单位有适用减轻、从轻或从重的违法情节。,《北京市住房租赁条例》第六十七条第(五）项和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1671000B010,罚款,给予你单位处以12500.00元的罚款,2023-04-20,2023-10-20,北京市住房和城乡建设委员会
6,北京麦田房产经纪有限公司,京建法罚（市）字[2023]第010181号,《北京市住房租赁条例》第六十七条第(五）项及《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1671000B010,北京麦田房产经纪有限公司做为居间方与客户签订的房屋出租委托书时，未将租赁期限、押金、佣金等内容编制进房屋状况说明书，北京麦田房产经纪有限公司的上述行为属于未按规定编制房屋状况说明书的行为。,《北京市住房租赁条例》第六十七条第(五）项及《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1671000B010,罚款,给予北京麦田房产经纪有限公司处12500.00元罚款的行政处罚,2023-04-19,2023-10-19,北京市住房和城乡建设委员会
7,宿迁市华宇建筑劳务有限公司,京建法罚（市）字[2023]第010136号,《中华人民共和国安全生产法》第九十七条第（一）项以及《北京市住房城乡建设系统行政处罚裁量基准》C1602200A010,新建业务综合楼项目位于通州区潞城镇，建设单位为北京市城市规划设计研究院，施工单位为北京建工集团有限责任公司，监理单位为北京帕克国际工程咨询股份有限公司，你单位宿迁市华宇建筑劳务有限公司是该项目主体结构的劳务分包单位。2023年2月15日，本机关在现场检查时发现，你单位在该项目施工现场存在以下问题：劳务分包单位宿迁市华宇建筑劳务有限公司现场共有246人进行施工作业，仅配备2名专职安全员（高海顺、王欣欣），不符合《建筑施工企业安全生产管理机构设置及专职安全生产管理人员配备办法》第十四条第（二）项劳务分包单位施工人员200人及以上的，应当配备3名及以上专职安全生产管理人员，并根据所承担的分部分项工程施工危险实际情况增加，不得少于工程施工人员总人数的5‰的规定。综上，你单位存在未按照规定配齐安全生产管理人员的行为。调查过程中未发现你单位有减轻、从轻或从重的违法情节。,《中华人民共和国安全生产法》第九十七条第（一）项以及《北京市住房城乡建设系统行政处罚裁量基准》C1602200A010,罚款,给予你单位处25000元罚款的行政处罚,2023-04-19,2024-04-19,北京市住房和城乡建设委员会
8,北京温尔居建筑工程有限公司,京建法罚（市）字[2023]第010163号,《注册建造师管理规定》第三十九条,你(单位)于2021年5月20日将王正的一级注册建造师证书注册到你单位。在申请注册时，王正并未与你单位签订劳动合同，你单位也未给王正缴纳社保，你单位为获准注册在申请注册时做出了虚假承诺。之后王正于2021年6月2日与你单位正式签订劳动合同并在你公司任职，你单位开始为其缴纳社保、申报个税。你单位在申请注册时做出了虚假承诺，构成了为申请人提供虚假注册材料的行为。,《注册建造师管理规定》第三十九条,警告,责令你（单位）15天内改正违法行为，对你（单位）给予警告,2023-04-19,2023-07-19,北京市住房和城乡建设委员会
9,北京大龙东升门窗幕墙工程有限公司,京建法罚（市）字[2023]第010107号,《北京市建设工程质量条例》第七十五条第一款,本机关于2023年3月13日对你单位在位于怀柔区雁栖湖镇陈各庄村的北京市怀柔区雁栖镇陈各庄村HR00-0010-6037地块R2二类居住用地、HR00-0010-6043地块A33基础教育用地项目（1＃住宅楼等14项）涉嫌在施工中不按照施工技术标准施工的行为予以立案，开展调查。根据2023年3月13日对你单位委托代理人曾灵、张春晓的询问，以及调取有关资料，查明：你单位是该工程幕墙及门窗工程专业分包施工单位。2022年8月24日，你单位在该工程施工现场存在以下问题：6#住宅楼首层、二层、三层21-23/A轴阳台铝合金外窗下部玻璃底边离最终装修面100mm，该玻璃无3C标识，该部位玻璃未使用安全玻璃，不符合《铝合金门窗工程技术规范》（JGJ214-2010）第4.12.2条第2款的规定。项目经理陈东鑫是单位直接负责的主管人员。技术负责人张春晓是单位其他直接责任人员。上述违法事实清楚，证据确实、充分。当事人对违法事实予以认可。未发现你单位有其他适用减轻、从轻或从重处罚的情形。,《北京市建设工程质量条例》第七十五条第一款,罚款,给予你单位北京大龙东升门窗幕墙工程有限公司处25226.86元罚款,2023-04-25,2024-04-25,北京市住房和城乡建设委员会
