北京市西城区生态环境局2020年12月行政处罚公示台账,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
单位名称：北京市西城区生态环境局（盖章）                         2021年1月  5  日,,,,,,,
序号,行政决定部门,行政相对人名称/项目名称,统一社会信用代码,行政处罚决定书文号,行政决定日期,是否向信用中国（北京）推送,备注
,,,,,,,
1,西城区生态环境局,北京顺联信诚商贸有限公司,91110101723585495N,西环保车罚字［2020］第089号,2020-11-30 00:00:00,是,
2,西城区生态环境局,北京顺联信诚商贸有限公司, 91110101723585495N,西环保车罚字［2020］第090号,2020-11-30 00:00:00,是,
3,西城区生态环境局,北京赛金装饰工程有限公司,91110228MA00FD8M53,西环保车罚字［2020］第091号,2020-11-30 00:00:00,是,
4,西城区生态环境局,北京金信伟业建设工程有限公司,911101090672975660,西环保车罚字［2020］第092号,2020-12-02 00:00:00,是,
5,西城区生态环境局,北京金信伟业建设工程有限公司, 911101090672975660,西环保车罚字［2020］第093号,2020-12-02 00:00:00,是,
6,西城区生态环境局,北京金信伟业建设工程有限公司,911101090672975660,西环保车罚字［2020］第094号,2020-12-02 00:00:00,是,
7,西城区生态环境局, 北京金信伟业建设工程有限公司,911101090672975660,西环保车罚字［2020］第095号,2020-12-02 00:00:00,是,
8,西城区生态环境局, 北京新昕停车管理有限公司,91110108MA00G1W942,西环保监察罚字[2020]第041号,2020-11-26 00:00:00,是,
9,西城区生态环境局,北京馥春洲金山美食娱乐有限公司三里河餐厅,91110102718744340N,西环保监察罚字[2020]第042号,2020-11-26 00:00:00,是,
10,西城区生态环境局,北京市紫金居汪汪小吃部(汪德仙), 00000000000000000X,西环保监察罚字[2020]第043号,2020-11-26 00:00:00,是,
11,西城区生态环境局,河南豫中起重集团有限公司,91410728173431909D,西环保监察罚字[2020]第044号,2020-11-26 00:00:00,是,
12,西城区生态环境局,北京瑞麟祥宝阁珠宝有限公司,91110102318306288M,西环保监察罚字[2020]第046号,2020-12-09 00:00:00,是,
13,西城区生态环境局,北京木子澜丰餐饮管理有限公司,91110102MA01JK9X35,西环保监察罚字[2020]第047号,2020-12-07 00:00:00,是,
14,西城区生态环境局,北京乾翅餐饮有限公司,91110102669917267H,西环保监察罚字[2020]第048号,2020-12-07 00:00:00,是,
15,西城区生态环境局,北京秀吉餐饮有限公司,91110102MA017FTQ4H,西环保监察罚字[2020]第049号,2020-12-07 00:00:00,是,
16,西城区生态环境局,北京振远护卫中心,91110000101178385B,西环保车罚字［2020］第096号,2020-12-15 00:00:00,是,
17,西城区生态环境局,北京隆盛兴业市政工程有限公司,91110228670597299K,西环保车罚字［2020］第097号,2020-12-16 00:00:00,是,
18,西城区生态环境局,北京市陶然亭搬家有限公司,911101021015421593,西环保车罚字［2020］第098号,2020-12-17 00:00:00,是,
19,西城区生态环境局,北京宁微餐饮有限公司,91110102L49272288R,西环保监察罚字[2020]第045号,2020-12-21 00:00:00,是,
20,西城区生态环境局,邯郸市嘉鑫建筑劳务分包工程有限公司,911304027603223526,西环保监察罚字[2020]第050号,2020-12-18 00:00:00,是,
21,西城区生态环境局,首都医科大学附属北京友谊医院,121100004006886096,西环保监察罚字[2020]第051号,2020-12-21 00:00:00,是,
22,西城区生态环境局, 山西省工业设备安装集团有限公司,91140000110011149W,西环保监察罚字[2020]第052号,2020-12-22 00:00:00,是,
23,西城区生态环境局,聚德华天控股有限公司北京烤肉季饭庄,91110102801351476P,西环保监察罚字[2020]第055号,2020-12-24 00:00:00,是,
24,西城区生态环境局, 北京金都腾达建筑装饰工程有限公司,91110111MA00220Y1L,西环保监察罚字[2020]第056号,2020-12-23 00:00:00,是,
