序号,行政相对人名称,行政相对人代码_1(统一社会信用代码),行政许可决定书文号,许可决定日期
1,洋帆起航(北京)企业管理有限公司,91110105MA01TNUC88,朝财许批〔2021〕17号,2021-03-01
2,商桥互联(北京)企业管理有限公司,91110108MA01AUT418,朝财许批〔2021〕18号,2021-03-01
3,北京中安华夏企业管理有限公司,91110113MA0198EP21,朝财许批〔2021〕19号,2021-03-01
4,北京雷曼布什投资咨询有限公司,91110105752600041Q,朝财许批〔2021〕20号,2021-03-04
5,马上就办(北京)有限公司,91110105777055422Y,朝财许批〔2021〕21号,2021-03-11
6,企服帮(北京)企业管理有限公司,91110105MA01NF4MXE,朝财许批〔2021〕22号,2021-03-16
7,中企祥瑞(北京)企业管理有限公司,91110105MA020H582R,朝财许批〔2021〕23号,2021-03-16
8,宝络来(北京)咨询有限责任公司,91110105692302885A,朝财许批〔2021〕24号,2021-03-16
9,聪明管家(北京)企业管理有限公司,91110105MA0087QL72,朝财许批〔2021〕25号,2021-03-17
10,博方(北京)企业管理咨询有限公司,91110105064877610H,朝财许批〔2021〕26号,2021-03-22
11,北京复无极咨询管理有限公司,91110108MA01FFUM1F,朝财许批〔2021〕27号,2021-03-25
12,北京非凡清楚财务咨询有限公司,91110105MA0195GR39,朝财许批〔2021〕28号,2021-03-26
13,北京珩鑫企业管理咨询有限公司,91110105MA0184B7XU,朝财许批〔2021〕29号,2021-03-31
14,北京亿企优服企业管理有限公司,91110105MA01U2G25D,朝财许批〔2021〕30号,2021-04-01
15,北京和衷麒显人力资源服务有限公司,911101055751853259,朝财许批〔2021〕31号,2021-04-07
16,北京奥盈科技有限公司,91110113MA01JGQR18,朝财许批〔2021〕32号,2021-04-09
17,北京初欣会计服务有限公司,91110105MA0217740A,朝财许批〔2021〕33号,2021-04-12
18,北京容时宝利会计服务有限责任公司,91110105MA01MJRW3A,朝财许批〔2021〕34号,2021-04-14
19,北京钰泽丰科技有限公司,91110105MA018DKQ7P,朝财许批〔2021〕35号,2021-04-15
20,北京三人帮信息咨询有限公司,91110113MA01BRJD9D,朝财许批〔2021〕36号,2021-04-15
21,北京晴创企业管理有限公司,91110105MA01U52406,朝财许批〔2021〕37号,2021-04-16
22,北京燕圣信会计服务有限公司,91110105MA003R795B,朝财许批〔2021〕38号,2021-04-19
23,北京诚企通会计服务有限公司,91110105MA01RP5A7M,朝财许批〔2021〕39号,2021-04-20
24,易创(北京)企业管理有限公司,91110108MA009G7Q7R,朝财许批〔2021〕40号,2021-04-23
25,北京中财万通企业管理有限公司,91110105MA020W7T8R,朝财许批〔2021〕41号,2021-04-23
26,普华众鑫信息科技(北京)有限公司,91110105MA018CY278,朝财许批〔2021〕42号,2021-04-28
27,北京艾达特科技有限公司,911101055674802793,朝财许批〔2021〕43号,2021-04-28
28,北京企服服管理咨询有限公司,91110105MA01YT1D58,朝财许批〔2021〕44号,2021-04-28
29,北京中企宏润会计有限公司,91110105MA01XD8F7J,朝财许批〔2021〕45号,2021-04-29
30,北京中京企联咨询服务有限公司,91110105MA01FWBT4M,朝财许批〔2021〕46号,2021-04-30
31,万企通(北京)管理咨询有限公司,91110105MA01N11R3U,朝财许批〔2021〕47号,2021-05-07
32,北京京朝法律咨询有限公司,91110105MA01YB5N3M,朝财许批〔2021〕48号,2021-05-08
33,京信盛泰(北京)财务顾问有限公司,91110105306468503B,朝财许批〔2021〕49号,2021-05-13
34,北京鸿通信达企业管理有限公司,91110105306740327W,朝财许批〔2021〕50号,2021-05-14
35,中秦世纪(北京)投资顾问有限公司,9111010559069470XT,朝财许批〔2021〕51号,2021-05-14
36,北京天利企业管理服务有限公司,91110105625908502N,朝财许批〔2021〕52号,2021-05-18
37,中企明达（北京）企业管理有限公司,91110111MA01HH2D61,朝财许批〔2021〕53号,2021-05-18
38,好伙计们（北京）科技有限公司,91110108MA01NMQT6L,朝财许批〔2021〕54号,2021-05-19
39,北京后企之秀企业管理咨询有限公司,91110105MA01Q69G4N,朝财许批〔2021〕55号,2021-05-20
40,北京成了未来产业孵化器集团有限公司,91110105351297010W,朝财许批〔2021〕56号,2021-05-21
41,天下人才服务有限公司,91110108MA01TRJL2U,朝财许批〔2021〕57号,2021-05-21
42,安心办(北京)会计服务有限公司,91110105MA01Y3124K,朝财许批〔2021〕58号,2021-05-24
43,北京阜通天下科技有限公司,91110105MA00FFF48H,朝财许批〔2021〕59号,2021-05-24
44,北京懿慧企业管理有限公司,91110105MA02AR6Y3G,朝财许批〔2021〕60号,2021-05-26
45,北京企贤信息咨询服务有限公司,91110105MA02ARXQXD,朝财许批〔2021〕61号,2021-05-26
46,北京企优办企业管理有限公司,91110105MA01KGYX76,朝财许批〔2021〕62号,2021-05-28
47,北京嘉洋盛世咨询服务有限公司,91110105679640337E,朝财许批〔2021〕63号,2021-05-28
48,北京懿诚会计服务有限公司,91110105MA02AYUR86,朝财许批〔2021〕64号,2021-06-03
49,北京普特康腾会计服务有限公司,911101057802078882,朝财许批〔2021〕65号,2021-06-04
50,中联融信财务咨询(北京)有限责任公司,911101055752214458,朝财许批〔2021〕66号,2021-06-07
51,北京惠算账财税服务有限公司,91110105MA020J0X04,朝财许批〔2021〕67号,2021-06-07
52,北京启天弘登记注册代理事务所(普通合伙),91110000766755597P,朝财许批〔2021〕68号,2021-06-08
53,彩虹桔子(北京)会计服务有限公司,91110105335505916T,朝财许批〔2021〕69号,2021-06-09
54,金账管家(北京)企业管理有限公司,91110112MA00AR8U1H,朝财许批〔2021〕70号,2021-06-09
55,亿佰嘉(北京)财税科技有限公司,91110105MA02ARW005,朝财许批〔2021〕71号,2021-06-09
56,北京万惠君安科技有限公司,9111010531819954X5,朝财许批〔2021〕72号,2021-06-10
57,北京凯富企业管理有限公司,91110105MA01X6T680,朝财许批〔2021〕73号,2021-06-11
58,百利来嘉信企业管理(北京)有限公司,91110105MA01FGB031,朝财许批〔2021〕74号,2021-06-21
59,北京丰禾慧邦财务咨询有限公司,91110105MA01G5MC7T,朝财许批〔2021〕75号,2021-06-28
60,中海亿涟(北京)管理咨询集团有限公司,91110105MA01U0G03N,朝财许批〔2021〕76号,2021-06-28
61,一晨企服(北京)管理咨询有限公司,91110105MA01QW6M5W,朝财许批〔2021〕77号,2021-06-30
62,园兴厚(北京)企业管理有限公司,91110117MA008U176U,朝财许批〔2021〕78号,2021-07-14
63,益审(北京)税务咨询有限公司,91110105MA02M64N9B,朝财许批〔2021〕79号,2021-07-14
64,逸琳国际咨询(北京)有限公司,91110105MA006YC84Y,朝财许批〔2021〕80号,2021-07-19
65,北京卓盈德鸿企业管理有限公司,91110105MA01GA6HX3,朝财许批〔2021〕81号,2021-07-21
66,北京哪都通企业管理集团有限公司,91110105MA0181KG29,朝财许批〔2021〕82号,2021-07-23
67,中鸿初元(北京)企业管理有限公司,91110105MA02A8HY1X,朝财许批〔2021〕83号,2021-08-05
68,弋行企业管理(北京)有限公司,911101057825379015,朝财许批〔2021〕84号,2021-08-10
69,北京瑞德久久商业顾问有限公司,91110105MA00E5Q7XQ,朝财许批〔2021〕85号,2021-08-11
70,佰晓生(北京)企业管理发展有限公司,91110105MA029YY4XT,朝财许批〔2021〕86号,2021-08-12
71,融创企服(北京)企业管理有限公司,91110108MA01GUHH4A,朝财许批〔2021〕87号,2021-08-12
72,北京融德人才咨询服务有限责任公司,91110113750101863Y,朝财许批〔2021〕88号,2021-08-16
73,鼎燊(北京)资讯集团有限公司,91110105MA020X8T7K,朝财许批〔2021〕89号,2021-08-17
74,北京企晟劳安会计服务有限公司,91110105748838102N,朝财许批〔2021〕90号,2021-08-18
75,北京朝财企业管理有限公司,91110105MA04DUJ71H,朝财许批〔2021〕91号,2021-08-18
76,易企无忧(北京)企业管理咨询有限公司,91110105MA02M6TBXT,朝财许批〔2021〕92号,2021-08-20
