境外疫苗厂商,品种通用名,商品名,规格,注册证号,国内代理机构,执照号或信用代码,注册地址,仓库地址,代理期至
国光生物科技股份有限公司,流感病毒裂解疫苗,,0.5mL/支,国药准字SC20150001,科园信海（北京）医疗用品贸易有限公司,91110113684384358D,北京市顺义区保汇一街8幢3层办公室02、03、04（北京天竺综合保税区）,北京市顺义区保汇一街7幢（天竺综合保税区F06库07-10）；北京市顺义区保税一街（天竺综保区保税功能一区D05库）；北京市顺义区机场北街10号院A2-1库,2025年6月30日
Glaxo SmithKline Biologicals SA,重组带状疱疹疫苗（CHO细胞）,欣安立适,复溶后每1次人用剂量0.5ml，含gE蛋白50μg,S20190026,科园信海（北京）医疗用品贸易有限公司,91110113684384358D,北京市顺义区保汇一街8幢3层办公室02、03、04（北京天竺综合保税区）,北京市顺义区保汇一街7幢（天竺综合保税区F06库07-10）；北京市顺义区机场北街10号院A2-1库；北京市顺义区保税一街（天竺综保区保税功能一区D05库）,2023年12月31日
Pfizer Europe MA EEIG,13价肺炎球菌多糖结合疫苗,沛儿13,0.5mL/支,S20160042/国药准字SJ20160042,科园信海（北京）医疗用品贸易有限公司,91110113684384358D,北京市顺义区保汇一街8幢3层办公室02、03、04（北京天竺综合保税区）,北京市顺义区保汇一街7幢（天竺综合保税区F06库07-10）；北京市顺义区机场北街10号院A2-1库；北京市顺义区保税一街（天竺综保区保税功能一区D05库）,2023年12月31日
Glaxo SmithKline Biologicals S.A.,双价人乳头瘤病毒吸附疫苗,希瑞适,0.5ml/支（含HPV-16 L1蛋白和HPV-18 L1蛋白各20μg）,国药准字SJ20160025,科园信海（北京）医疗用品贸易有限公司,91110113684384358D,北京市顺义区保汇一街8幢3层办公室02、03、04（北京天竺综合保税区）,北京市顺义区保汇一街7幢（天竺综合保税区F06库07-10）；北京市顺义区保税一街（天竺综保区保税功能一区D05库）；北京市顺义区机场北街10号院A2-1库,2025年12月31日
国光生物科技股份有限公司,四价流感病毒裂解疫苗,,每支0.5ml。每1次人用计量0.5ml，含各型流感病毒株血凝素应为15μg。,国药准字SC20220001,科园信海（北京）医疗用品贸易有限公司,91110113684384358D,北京市顺义区保汇一街8幢3层办公室02、03、04（北京天竺综合保税区）,北京市顺义区保汇一街7幢（天竺综合保税区F06库07-10）；北京市顺义区保税一街（天竺综保区保税功能一区D05库）；北京市顺义区机场北街10号院A2-1库,2025年6月30日
Glaxo SmithKline Biologicals S.A.,双价人乳头瘤病毒吸附疫苗）,希瑞适,0.5ml/支（含HPV-16 L1蛋白和HPV-18 L1蛋白各20μg）,S20160025/国药准字SJ20160025,科园信海（北京）医疗用品贸易有限公司,91110113684384358D,北京市顺义区保汇一街8幢3层办公室02、03、04（北京天竺综合保税区）,北京市顺义区保汇一街7幢（天竺综合保税区F06库07-10）；北京市顺义区保税一街（天竺综保区保税功能一区D05库）；北京市顺义区机场北街10号院A2-1库,2024年12月31日
Pfizer Europe MA EEIG,13价肺炎球菌多糖结合疫苗,沛儿13,0.5mL/支,S20160042/国药准字SJ20160042,科园信海（北京）医疗用品贸易有限公司,91110113684384358D,北京市顺义区保汇一街8幢3层办公室02、03、04（北京天竺综合保税区）,北京市顺义区保汇一街7幢（天竺综合保税区F06库07-10）；北京市顺义区保税一街（天竺综保区保税功能一区D05库）；北京市顺义区机场北街10号院A2-1库,2025年12月31日
国光生物科技股份有限公司,流感病毒裂解疫苗,,0.5ml/支,国药准字SC20150001,科园信海（北京）医疗用品贸易有限公司,91110113684384358D,北京市顺义区保汇一街8幢3层办公室02、03、04（北京天竺综合保税区）,北京市顺义区保汇一街7幢（天竺综合保税区F06库07-10）；北京市顺义区机场北街10号院A2-1库；北京市顺义区保税一街（天竺综保区保税功能一区D05库）,2024年6月30日
国光生物科技股份有限公司,四价流感病毒裂解疫苗,,每支0.5ml。每1次人用计量0.5ml，含各型流感病毒株血凝素应为15μg。,国药准字SC20220001,科园信海（北京）医疗用品贸易有限公司,91110113684384358D,北京市顺义区保汇一街8幢3层办公室02、03、04（北京天竺综合保税区）,北京市顺义区保汇一街7幢（天竺综合保税区F06库07-10）；北京市顺义区机场北街10号院A2-1库；北京市顺义区保税一街（天竺综保区保税功能一区D05库）,2024年6月30日
国光生物科技股份有限公司,流感病毒裂解疫苗,,0.5ml/支,国药准字SC20150001,北京首惠医药有限公司,91110101096651384W,北京市朝阳区双桥东路东19幢2层,北京市顺义空港物流园四街7号,2023年5月19日
国光生物科技股份有限公司,四价流感病毒裂解疫苗,,每支0.5ml。每1次人用计量0.5ml，含各型流感病毒株血凝素应为15μg。,国药准字SC20220001,北京首惠医药有限公司,91110101096651384W,北京市朝阳区双桥东路东19幢2层,北京市顺义空港物流园四街7号,2023年5月19日
Glaxo SmithKline Biologicals S.A.,双价人乳头瘤病毒吸附疫苗,希瑞适,0.5ml/支（含HPV-16 L1蛋白和HPV-18 L1蛋白各20μg）,S20160025/国药准字SJ20160025,科园信海（北京）医疗用品贸易有限公司,91110113684384358D,北京市顺义区保汇一街8幢3层办公室02、03、04（北京天竺综合保税区）,北京市顺义区保汇一街7幢（天竺综合保税区F06库07-10）；北京市顺义区机场北街10号院A2-1库；北京市顺义区保税一街（天竺综保区保税功能一区D05库）,2023年12月31日
