唯一标识,行政相对人,统一社会信用代码,组织机构代码,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收违法所得、没收非法财物的金额（万元）,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,备注,是否删除,行政相对人类别,工商注册号
02c95d05-8e16-4453-85cd-6edf8222f7d2,长春市念蘭文化传播有限公司,91220101MA0Y5C1D0X,,(京)文执罚 〔2024〕第100006号,假冒出版单位名称或者伪造、假冒报纸、期刊名称出版出版物,"1.没收违法所得30264元；
2.罚款人民币186084元。",《出版管理条例》第六十一条,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币叁万零贰佰陆拾肆元;2.罚款人民币拾捌万陆仟零捌拾肆元。,18.6084,3.0264,2024/1/22,2099/12/31,2025/1/22,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
077eeb90-c243-4adc-8378-507d1bfe2d5c,北京书林文化有限公司,9111010534436051XC,,(京)文执罚 〔2024〕第100049号,擅自设立出版物的出版单位，或者擅自从事出版物的出版业务,没收违法所得人民币壹佰壹拾元;,《出版管理条例》第六十一条,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币壹佰壹拾元;2.罚款人民币肆佰肆拾元。,0.044,0.011,2024/4/18,2099/12/31,2025/4/18,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
152d6d33-9726-4cd7-9ce8-709ef1400752,北京蓝海风尚文化传播有限公司,91110105078538433W,,(京)文执罚 〔2023〕第100163号,假冒出版单位名称或者伪造、假冒报纸、期刊名称出版出版物,    北京蓝海风尚文化传播有限公司分别于2022年7月8日至2022年7月20日、2022年8月6日至8月26日期间假冒出版单位出版期刊，并在微店店铺发行，构成了假冒出版单位名称或者伪造、假冒报纸、期刊名称出版出版物的违法行为。,《出版管理条例》第六十一条,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币肆万零伍拾元;2.罚款人民币贰拾陆万壹仟叁佰元。,26.13,4.005,2023/11/27,2099/12/31,2024/11/27,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
191aa59f-b085-4ed5-a9f6-337825b04140,北京宝续堂文化发展有限公司,91110102556853076K,,(京)文执罚 〔2023〕第100146号,发行其他非法出版物,1.没收违法所得1738元；2.罚款人民币8000元。,《出版物市场管理规定》第三十二条第三款和《出版管理条例》第六十五条,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币壹仟柒佰叁拾捌元;2.罚款人民币捌仟元。,0.8,0.1738,2023/10/12,2099/12/31,2024/10/12,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
1a5c8b4c-0eb0-42e6-b52a-138941dae067,北京斯人文化传媒有限公司,91110113MAC6NJU96W,,(京)文执罚 〔2023〕第100164号,假冒出版单位名称或者伪造、假冒报纸、期刊名称出版出版物,    北京斯人文化传媒有限公司于2023年1月15日至2023年1月29日期间假冒出版单位出版期刊，并在微店店铺发行，构成了假冒出版单位名称或者伪造、假冒报纸、期刊名称出版出版物的违法行为。,《出版管理条例》第六十一条,罚款;没收违法所得、没收非法财物,    1.没收违法所得人民币贰万贰仟贰佰玖拾伍元;    2.罚款人民币拾壹万玖仟贰佰柒拾伍元。,11.9275,2.2295,2023/11/27,2099/12/31,2024/11/27,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
20299872-54d1-4cb4-96c5-871d17c591de,美联艺苑书画（北京）有限公司,91110102777062585T,,(西)文执罚 〔2023〕第000119号,非依照《出版管理条例》规定确定的单位从事中学小学教科书的出版、发行业务,没收违法所得人民币贰佰壹拾元柒角伍分;,《出版管理条例》第六十五条第（七）项,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币贰佰壹拾元柒角伍分;2.罚款人民币壹仟元。,0.1,0.021075,2023/9/19,2099/12/31,2024/9/19,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
20df1658-2ad2-4ae6-a100-315446e43080,小森印刷（北京）有限公司,9.11101E+17,102870875,(京)文执罚 〔2023〕第100115号,印刷或者复制单位接受非出版单位和个人的委托印刷或者复制出版物,没收违法所得人民币壹仟贰佰零陆元;,《出版管理条例》第六十五条第（三）项,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币壹仟贰佰零陆元;2.罚款人民币叁仟元。,0.3,0.1206,2023/8/31,2099/12/31,2024/8/31,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
214dcbb6-bfaa-406d-a987-ca4c36366cbb,张*样,,,(京)文执罚 〔2024〕第100048号,擅自设立出版物的出版单位，或者擅自从事出版物的出版业务,"1.没收违法所得549元；
2.罚款人民币2000元。",《出版管理条例》第六十一条,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币伍佰肆拾玖元;2.罚款人民币贰仟元。,0.2,0.0549,2024/4/18,2099/12/31,2025/4/18,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,自然人,
3036052b-9055-4c5b-adb1-9230bbec9d27,北京九天鸿程印刷有限责任公司,9111011576144743XW,76144743X,(京)文执罚 〔2024〕第100003号,印刷或者复制单位接受非出版单位和个人的委托印刷或者复制出版物,没收违法所得人民币玖仟玖佰零玖元捌角;,《出版管理条例》第六十五条第（三）项,罚款;没收违法所得、没收非法财物,"1.没收违法所得人民币玖仟玖佰零玖元捌角;2.没收非法财物(物品名称:《阿弥陀经、无量寿经译文》,规格:册,数量:1);3.罚款人民币伍万元。",5,0.99098,2024/1/8,2099/12/31,2025/1/8,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
32f8ee00-3d33-4d6b-81f1-a80da319044d,北京麓岛文化发展有限公司,91110105MA01QNTP1Q,,(京)文执罚 〔2024〕第100077号,单位、个人擅自从事出版物零售业务,"1.没收违法所得人民币陆仟贰佰壹拾伍元;
2.罚款人民币贰万肆仟捌佰陆拾元。",《出版管理条例》第六十一条和《出版物市场管理规定》第三十一条,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币陆仟贰佰壹拾伍元;2.罚款人民币贰万肆仟捌佰陆拾元。,2.486,0.6215,2024/5/15,2099/12/31,2025/5/15,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
