行政相对人名称,行政相对人代码_1(统一社会信用代码),行政相对人代码_3(组织机构代码),行政相对人代码_4(税务登记号),行政相对人代码_5(事业单位证书号),行政相对人代码_6(社会组织登记证号),法定代表人,法定代表人证件类型,法定代表人证件号码,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收非法财物的金额（万元）,暂扣或吊销证照名称及编号,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,备注,行政相对人类别,行政相对人代码_2(工商注册号),证件类型,证件号码,更新时间
北京万丰汇酒店管理有限公司 ,91110106MA04DUEK65,,,,,马*娥,,,(京)文执罚 〔2024〕第300005号,未持有《接收卫星传送的境内/境外电视节目许可证》的单位设置、使用卫星地面接收设施接收卫星传送的电视节目,北京万丰汇酒店管理有限公司于2023年02月至2023年12月期间，存在未持有《接收卫星传送的境内电视节目许可证》的单位设置、使用卫星地面接收设施接收卫星传送的电视节目的违法行为。,《卫星电视广播地面接收设施管理规定》实施细则第十六条第一款第（一）项,警告;没收违法所得、没收非法财物,"1.警告;2.没收非法财物(物品名称:接收机,规格:台,数量:1)。",,0,,2024-01-29,2099-12-31,2025-01-29,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,法人及非法人组织,,,,13/6/2024 17:06:30
北京阳光温特莱酒店有限公司海淀分公司,91110108MA04FBL147,,,,,杨*,,,(京)文执罚 〔2024〕第300004号,未持有《接收卫星传送的境内/境外电视节目许可证》的单位设置、使用卫星地面接收设施接收卫星传送的电视节目,北京阳光温特莱酒店有限公司海淀分公司于2023年01月与2023年12月期间，存在未持有《接收卫星传送的境内/境外电视节目许可证》的单位设置、使用卫星地面接收设施接收卫星传送的电视节目,《卫星电视广播地面接收设施管理规定》实施细则第十六条第一款第（一）项,警告;没收违法所得、没收非法财物,"1.警告;2.没收非法财物(物品名称:接收机,规格:套,数量:1)。",,0,,2024-01-24,2099-12-31,2025-01-24,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,法人及非法人组织,,,,13/6/2024 17:06:26
北京华林美居酒店管理有限公司,91110108MA01P2NB68,,,,,范*坚,,,(京)文执罚 〔2024〕第300003号,未持有《接收卫星传送的境内/境外电视节目许可证》的单位设置、使用卫星地面接收设施接收卫星传送的电视节目,北京华林美居酒店管理有限公司于2023年06月与2023年11月期间，存在未持有《接收卫星传送的境内/境外电视节目许可证》的单位设置、使用卫星地面接收设施接收卫星传送的电视节目,《卫星电视广播地面接收设施管理规定》实施细则第十六条第一款第（一）项,警告;没收违法所得、没收非法财物,"1.警告;2.没收非法财物(物品名称:接收机,规格:台,数量:1)。",,0,,2024-01-24,2099-12-31,2025-01-24,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,法人及非法人组织,,,,13/6/2024 17:06:29
北京中意鹏奥御瑞酒店管理有限责任公司,911101086750678282,,,,,史*,,,(京)文执罚 〔2023〕第300118号,未持有《接收卫星传送的境内/境外电视节目许可证》的单位设置、使用卫星地面接收设施接收卫星传送的电视节目,北京中意鹏奥御瑞酒店管理有限责任公司于2022年08月30日与2023年08月22日期间，存在未持有《接收卫星传送的境内/境外电视节目许可证》的单位设置、使用卫星地面接收设施接收卫星传送的电视节目,《卫星电视广播地面接收设施管理规定》实施细则第十六条第一款第（一）项,警告;没收违法所得、没收非法财物,"1.警告;2.没收非法财物(物品名称:光接机,规格:部,数量:1)。",,0,,2023-10-19,2099-12-31,2024-10-19,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,法人及非法人组织,,,,13/6/2024 17:22:30
北京世纪佳豪酒店管理有限公司,91110106MA04BEL532,,,,,刘*,,,(京)文执罚 〔2023〕第300035号,未持有《接收卫星传送的境内/境外电视节目许可证》的单位设置、使用卫星地面接收设施接收卫星传送的电视节目,北京世纪佳豪酒店管理有限公司于2022年03月至2023年03月期间，存在未持有《接收卫星传送的境内/境外电视节目许可证》的单位设置、使用卫星地面接收设施接收卫星传送的电视节目,《卫星电视广播地面接收设施管理规定》实施细则第十六条第一款第（一）项,警告;没收违法所得、没收非法财物,"1.警告;2.没收非法财物(物品名称:接收机,规格:台,数量:1)。",,0,,2023-06-20,2099-12-31,2024-06-20,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,法人及非法人组织,,,,13/6/2024 17:22:25
北京长京酒店管理有限公司,911101056738132768,,,,,王*,,,(京)文执罚 〔2024〕第300008号,未持有《接收卫星传送的境内/境外电视节目许可证》的单位设置、使用卫星地面接收设施接收卫星传送的电视节目,北京长京酒店管理有限公司于2023年03月至2023年11月期间，存在未持有《接收卫星传送的境内/境外电视节目许可证》的单位设置、使用卫星地面接收设施接收卫星传送的电视节目,《<卫星电视广播地面接收设施管理规定>实施细则》第十六条第（一）项,警告;没收违法所得、没收非法财物,"1.警告;2.没收非法财物(物品名称:接收机,规格:台,数量:1)。",,0,,2024-02-04,2099-12-31,2025-02-04,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,法人及非法人组织,,,,13/6/2024 17:06:33
北京南长城酒店管理有限公司,911101083066540745,,,,,张*莉,,,(京)文执罚 〔2023〕第300123号,未持有《接收卫星传送的境内/境外电视节目许可证》的单位设置、使用卫星地面接收设施接收卫星传送的电视节目,北京南长城酒店管理有限公司于2022年08月02日与2023年08月23日期间，存在未持有《接收卫星传送的境内电视节目许可证》的单位设置、使用卫星地面接收设施接收卫星传送的电视节目,《卫星电视广播地面接收设施管理规定》实施细则第十六条第一款第（一）项,警告;没收违法所得、没收非法财物,"1.警告;2.没收非法财物(物品名称:OVT/D-STB-4000,规格:套,数量:5)。",,0,,2023-10-18,2099-12-31,2024-10-18,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,法人及非法人组织,,,,13/6/2024 17:22:43
北京中俊酒店管理有限公司,91110102633741677L,,,,,崔*,,,(京)文执罚 〔2024〕第300023号,未持有《接收卫星传送的境内/境外电视节目许可证》的单位设置、使用卫星地面接收设施接收卫星传送的电视节目,北京中俊酒店管理有限公司于2023年11月存在未持有《接收卫星传送的境内/境外电视节目许可证》的单位设置、使用卫星地面接收设施接收卫星传送的电视节目,《〈卫星电视广播地面接收设施管理规定〉实施细则》第十六条第（一）项,警告;没收违法所得、没收非法财物,"1.警告;2.没收非法财物(物品名称:接收机,规格:台,数量:1)。",,0,,2024-03-15,2099-12-31,2025-03-15,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,法人及非法人组织,,,,13/6/2024 17:06:29
北京豪捷酒店管理有限公司,91110107MA01M4973H,,,,,骆*,,,(京)文执罚 〔2023〕第300033号,未持有《接收卫星传送的境内/境外电视节目许可证》的单位设置、使用卫星地面接收设施接收卫星传送的电视节目,北京豪捷酒店管理有限公司于2020年08月与2023年02月期间，存在未持有《接收卫星传送的境内/境外电视节目许可证》的单位设置、使用卫星地面接收设施接收卫星传送的电视节目,《卫星电视广播地面接收设施管理规定》实施细则第十六条第一款第（一）项,警告;没收违法所得、没收非法财物,"1.警告;2.没收非法财物(物品名称:接收机,规格:台,数量:1)。",,0,,2023-06-20,2099-12-31,2024-06-20,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,法人及非法人组织,91110107MA01M4973H,,,13/6/2024 17:22:44
北京星际豪庭酒店管理有限公司,91110107563683095C,,,,,黄*胜,,,(京)文执罚 〔2023〕第300034号,未持有《接收卫星传送的境内/境外电视节目许可证》的单位设置、使用卫星地面接收设施接收卫星传送的电视节目,北京星际豪庭酒店管理有限公司于2023年02月，存在未持有《接收卫星传送的境内/境外电视节目许可证》的单位设置、使用卫星地面接收设施接收卫星传送的电视节目,《卫星电视广播地面接收设施管理规定》实施细则第十六条第一款第（一）项,警告;没收违法所得、没收非法财物,"1.警告;2.没收非法财物(物品名称:接收机,规格:台,数量:1)。",,0,,2023-06-20,2099-12-31,2024-06-20,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,法人及非法人组织,,,,13/6/2024 17:22:44
