ID,惩罚信息,修改时间
{C07A0140-0000-0000-0025-0F0800005A43},"<?xml version=""1.0"" encoding=""UTF-8""?>
<WCMDOCUMENTS>
	<WCMDOCUMENT Version=""5.2"">
		<PROPERTIES>
			<DOCID>0</DOCID>
			<DOCVERSION>0</DOCVERSION>
			<DOCTYPE>20</DOCTYPE>
			<ATTRIBUTE />
			<ATTACHPIC />
			<DOCLINK />
			<DOCFILENAME />
			<DOCCHANNEL>0</DOCCHANNEL>
			<DOCTITLE><![CDATA[关于北京城市副中心绿心区域（含起步区三大建筑）10千伏外电源工程建设项目招标方案核准意见书]]></DOCTITLE>
			<DOCSOURCE>0</DOCSOURCE>
			<DOCSECURITY>0</DOCSECURITY>
			<DOCSWDW><![CDATA[北京城市副中心投资建设集团有限公司]]></DOCSWDW>
			<DOCGG><![CDATA[2023-11-23]]></DOCGG>
			<DOCPFDW><![CDATA[北京市发展和改革委员会]]></DOCPFDW>
			<DOCAUDITOR />
			<DOCCONTENT><![CDATA[无内容]]></DOCCONTENT>
			<DOCHTMLCON><![CDATA[<div><p><span style=""display:none;""> </span><span>建设项目招标方案核准意见书</span><span style=""display:none;""> </span></p><p><span>项目</span><span>名称：</span><span style=""display:none;""> </span><span>北京城市副中心绿心区域（含起步区三大建筑）10千伏外电源工程</span><span style=""display:none;""> </span></p><p><span>项目</span><span>建设单位名称：</span><span style=""display:none;""> </span><span",27/11/2023 00:00:00
{C07A0140-0000-0000-0134-A9B100000773},"<?xml version=""1.0"" encoding=""UTF-8""?>
<WCMDOCUMENTS>
	<WCMDOCUMENT Version=""5.2"">
		<PROPERTIES>
			<DOCID>0</DOCID>
			<DOCVERSION>0</DOCVERSION>
			<DOCTYPE>20</DOCTYPE>
			<ATTRIBUTE />
			<ATTACHPIC />
			<DOCLINK />
			<DOCFILENAME />
			<DOCCHANNEL>0</DOCCHANNEL>
			<DOCTITLE><![CDATA[关于北京市公安局通州分局文景派出所建设工程招标方案核准意见书]]></DOCTITLE>
			<DOCSOURCE>0</DOCSOURCE>
			<DOCSECURITY>0</DOCSECURITY>
			<DOCSWDW><![CDATA[通州区发展改革委]]></DOCSWDW>
			<DOCGG><![CDATA[2021-02-07]]></DOCGG>
			<DOCPFDW><![CDATA[北京市发展和改革委员会]]></DOCPFDW>
			<DOCAUDITOR />
			<DOCCONTENT><![CDATA[无内容]]></DOCCONTENT>
			<DOCHTMLCON><![CDATA[<div><p><span>建设项目招标方案核准意见书</span></p><p><span>项目名称：</span><span>北京市公安局通州分局文景派出所建设工程</span><span style=""display:none;""> </span></p><p><span>项目建设单位名称：</span><span>北京市公安局通州分局</span><span> </span><span style=""display:none;"">? </span></p><table border=""0"" align=""center"" cellspacing=""0"" cellpadding=""0""  style=""border-collapse:collapse; margin-left:0pt;""><tr style=""heig",5/3/2021 00:00:00
{C07A0140-0000-0000-013B-C9AA0000083D},"<?xml version=""1.0"" encoding=""UTF-8""?>
<WCMDOCUMENTS>
	<WCMDOCUMENT Version=""5.2"">
		<PROPERTIES>
			<DOCID>0</DOCID>
			<DOCVERSION>0</DOCVERSION>
			<DOCTYPE>20</DOCTYPE>
			<ATTRIBUTE />
			<ATTACHPIC />
			<DOCLINK />
			<DOCFILENAME />
			<DOCCHANNEL>0</DOCCHANNEL>
			<DOCTITLE><![CDATA[关于北京市十一学校石景山学校新建工程j建设项目招标方案核准意见书]]></DOCTITLE>
			<DOCSOURCE>0</DOCSOURCE>
			<DOCSECURITY>0</DOCSECURITY>
			<DOCSWDW><![CDATA[石景山区发展改革委]]></DOCSWDW>
			<DOCGG><![CDATA[2021-02-10]]></DOCGG>
			<DOCPFDW><![CDATA[北京市发展和改革委员会]]></DOCPFDW>
			<DOCAUDITOR />
			<DOCCONTENT><![CDATA[无内容]]></DOCCONTENT>
			<DOCHTMLCON><![CDATA[<div><p><span>建设项目招标方案核准意见书</span></p><p><span>项目名称：</span><span>北京市十一学校石景山学校新建工程</span><span style=""display:none;""> </span></p><p><span>项目建设单位名称：</span><span>北京市石景山区教育委员会</span><span> </span><span style=""display:none;"">? </span></p><div><table border=""0"" align=""center"" cellspacing=""0"" cellpadding=""0""  style=""border-collapse:collapse; margin-left:0pt;""><tr styl",8/3/2021 00:00:00
{C07A0140-0000-0000-0141-DED2000007F3},"<?xml version=""1.0"" encoding=""UTF-8""?>
<WCMDOCUMENTS>
	<WCMDOCUMENT Version=""5.2"">
		<PROPERTIES>
			<DOCID>0</DOCID>
			<DOCVERSION>0</DOCVERSION>
			<DOCTYPE>20</DOCTYPE>
			<ATTRIBUTE />
			<ATTACHPIC />
			<DOCLINK />
			<DOCFILENAME />
			<DOCCHANNEL>0</DOCCHANNEL>
			<DOCTITLE><![CDATA[关于昌平新城东区土地一级开发项目(十一期)项目招标方案核准意见书]]></DOCTITLE>
			<DOCSOURCE>0</DOCSOURCE>
			<DOCSECURITY>0</DOCSECURITY>
			<DOCSWDW><![CDATA[昌平区发展改革委]]></DOCSWDW>
			<DOCGG><![CDATA[2021-02-08]]></DOCGG>
			<DOCPFDW><![CDATA[北京市发展和改革委员会]]></DOCPFDW>
			<DOCAUDITOR />
			<DOCCONTENT><![CDATA[无内容]]></DOCCONTENT>
			<DOCHTMLCON><![CDATA[<div><p><span>建设项目招标方案核准意见书</span></p><p><span>项目名称：</span><span>昌平新城东区土地一级开发项目(十一期)项目</span><span style=""display:none;""> </span></p><p><span>项目建设单位名称：</span><span>北京市土地整理储备中心昌平区分中心</span></p><p><span>社会信用代码：</span><span>121100007934019111</span><span style=""display:none;"">? </span></p><div><table border=""0"" align=""center"" cellspacing=""0"" cellpadding=""0""  style=",5/3/2021 00:00:00
{C07A0140-0000-0000-02A5-54220000D90E},"<?xml version=""1.0"" encoding=""UTF-8""?>
<WCMDOCUMENTS>
	<WCMDOCUMENT Version=""5.2"">
		<PROPERTIES>
			<DOCID>0</DOCID>
			<DOCVERSION>0</DOCVERSION>
			<DOCTYPE>20</DOCTYPE>
			<ATTRIBUTE />
			<ATTACHPIC />
			<DOCLINK />
			<DOCFILENAME />
			<DOCCHANNEL>0</DOCCHANNEL>
			<DOCTITLE><![CDATA[关于提前核准昌平区踩河学校建设工程勘察设计招标方案的批复]]></DOCTITLE>
			<DOCSOURCE>0</DOCSOURCE>
			<DOCSECURITY>0</DOCSECURITY>
			<DOCSWDW><![CDATA[北京市昌平区发展改革委]]></DOCSWDW>
			<DOCGG><![CDATA[2024-04-17]]></DOCGG>
			<DOCPFDW><![CDATA[北京市发展和改革委员会]]></DOCPFDW>
			<DOCAUDITOR />
			<DOCCONTENT><![CDATA[无内容]]></DOCCONTENT>
			<DOCHTMLCON><![CDATA[<div><p><span>京发改（核）〔2024〕46号</span></p><img src=""Aspose.Words.e4ac8829-bae5-4cfb-9b05-4c871e611b37.001.png""   alt="""" style=""margin-left:0pt; margin-top:6.9pt; position:absolute; z-index:0"" /><p><span>北京市发展和改革委员会</span></p><p><span>关于提前核准昌平区踩河学校建设</span></p><p><span>工程勘察设计招标方案的批复</span></p><p><span>昌平区发展改革委：</span></p><p><span>你单位《关于踩河学校建设工程项目提前进行勘察、设计招标方案核准的请示》（",22/4/2024 00:00:00
{C07A0140-0000-0000-02B1-C09B0000D8C0},"<?xml version=""1.0"" encoding=""UTF-8""?>
<WCMDOCUMENTS>
	<WCMDOCUMENT Version=""5.2"">
		<PROPERTIES>
			<DOCID>0</DOCID>
			<DOCVERSION>0</DOCVERSION>
			<DOCTYPE>20</DOCTYPE>
			<ATTRIBUTE />
			<ATTACHPIC />
			<DOCLINK />
			<DOCFILENAME />
			<DOCCHANNEL>0</DOCCHANNEL>
			<DOCTITLE><![CDATA[关于丰台区卢沟桥消防站建设项目招标方案核准意见书]]></DOCTITLE>
			<DOCSOURCE>0</DOCSOURCE>
			<DOCSECURITY>0</DOCSECURITY>
			<DOCSWDW><![CDATA[丰台区发展改革委]]></DOCSWDW>
			<DOCGG><![CDATA[2024-04-18]]></DOCGG>
			<DOCPFDW><![CDATA[北京市发展和改革委员会]]></DOCPFDW>
			<DOCAUDITOR />
			<DOCCONTENT><![CDATA[无内容]]></DOCCONTENT>
			<DOCHTMLCON><![CDATA[<div><p><span style=""display:none;""> </span><span>建设项目招标方案核准意见书</span><span style=""display:none;""> </span></p><p><span>项目名称：</span><span style=""display:none;""> </span><span>丰台区卢沟桥消防站建设项目</span><span style=""display:none;""> </span></p><p><span>项目建设单位名称：</span><span style=""display:none;""> </span><span>丰台区消防救援支队</span><span> </span></p><p><span>统一社会信用代码：111101067921000848</",22/4/2024 00:00:00
{C07A0140-0000-0000-02B9-12930000DA6D},"<?xml version=""1.0"" encoding=""UTF-8""?>
<WCMDOCUMENTS>
	<WCMDOCUMENT Version=""5.2"">
		<PROPERTIES>
			<DOCID>0</DOCID>
			<DOCVERSION>0</DOCVERSION>
			<DOCTYPE>20</DOCTYPE>
			<ATTRIBUTE />
			<ATTACHPIC />
			<DOCLINK />
			<DOCFILENAME />
			<DOCCHANNEL>0</DOCCHANNEL>
			<DOCTITLE><![CDATA[关于朝阳区孙河特勤消防站建设工程建设项目招标方案核准意见书]]></DOCTITLE>
			<DOCSOURCE>0</DOCSOURCE>
			<DOCSECURITY>0</DOCSECURITY>
			<DOCSWDW><![CDATA[朝阳区发展改革委]]></DOCSWDW>
			<DOCGG><![CDATA[2024-04-18]]></DOCGG>
			<DOCPFDW><![CDATA[北京市发展和改革委员会]]></DOCPFDW>
			<DOCAUDITOR />
			<DOCCONTENT><![CDATA[无内容]]></DOCCONTENT>
			<DOCHTMLCON><![CDATA[<div><p><span style=""display:none;""> </span><span>建设项目招标方案核准意见书</span><span style=""display:none;""> </span></p><p><span>项目名称：</span><span style=""display:none;""> </span><span>朝阳区孙河特勤消防站建设工程</span><span style=""display:none;""> </span></p><p><span>项目建设单位名称：</span><span style=""display:none;""> </span><span>朝阳区消防救援支队</span><span> </span></p><p><span>统一社会信用代码：11110105795103",22/4/2024 00:00:00
{C07A0140-0000-0000-02BB-FD2E0000DB1D},"<?xml version=""1.0"" encoding=""UTF-8""?>
<WCMDOCUMENTS>
	<WCMDOCUMENT Version=""5.2"">
		<PROPERTIES>
			<DOCID>0</DOCID>
			<DOCVERSION>0</DOCVERSION>
			<DOCTYPE>20</DOCTYPE>
			<ATTRIBUTE />
			<ATTACHPIC />
			<DOCLINK />
			<DOCFILENAME />
			<DOCCHANNEL>0</DOCCHANNEL>
			<DOCTITLE><![CDATA[关于通州区焦王庄消防站建设工程建设项目招标方案核准意见书]]></DOCTITLE>
			<DOCSOURCE>0</DOCSOURCE>
			<DOCSECURITY>0</DOCSECURITY>
			<DOCSWDW><![CDATA[通州区发展改革委]]></DOCSWDW>
			<DOCGG><![CDATA[2024-04-18]]></DOCGG>
			<DOCPFDW><![CDATA[北京市发展和改革委员会]]></DOCPFDW>
			<DOCAUDITOR />
			<DOCCONTENT><![CDATA[无内容]]></DOCCONTENT>
			<DOCHTMLCON><![CDATA[<div><p><span style=""display:none;""> </span><span>建设项目招标方案核准意见书</span><span style=""display:none;""> </span></p><p><span>项目名称：</span><span style=""display:none;""> </span><span>通州区焦王庄消防站建设工程</span><span style=""display:none;""> </span></p><p><span>项目建设单位名称：</span><span style=""display:none;""> </span><span>通州区消防救援支队</span><span> </span></p><p><span>统一社会信用代码：1111011279210009",22/4/2024 00:00:00
{C07A0140-0000-0000-0314-9588FFFFB1AA},"<?xml version=""1.0"" encoding=""UTF-8""?>
<WCMDOCUMENTS>
	<WCMDOCUMENT Version=""5.2"">
		<PROPERTIES>
			<DOCID>0</DOCID>
			<DOCVERSION>0</DOCVERSION>
			<DOCTYPE>20</DOCTYPE>
			<ATTRIBUTE />
			<ATTACHPIC />
			<DOCLINK />
			<DOCFILENAME />
			<DOCCHANNEL>0</DOCCHANNEL>
			<DOCTITLE><![CDATA[关于远洋京北云计算大数据创新应用基地的节能审查意见]]></DOCTITLE>
			<DOCSOURCE>0</DOCSOURCE>
			<DOCSECURITY>0</DOCSECURITY>
			<DOCSWDW><![CDATA[北京达坤天成商贸有限公司]]></DOCSWDW>
			<DOCGG><![CDATA[2022-05-25]]></DOCGG>
			<DOCPFDW><![CDATA[北京市发展和改革委员会]]></DOCPFDW>
			<DOCAUDITOR />
			<DOCCONTENT><![CDATA[无内容]]></DOCCONTENT>
			<DOCHTMLCON><![CDATA[<div><p><span>京发改（能评）〔2022〕21号</span></p><img src=""Aspose.Words.b823f7b4-4cae-42c4-86df-baf3d49a93ff.001.png""   alt="""" style=""margin-left:0pt; margin-top:6.9pt; position:absolute; z-index:0"" /><p><span>北京市发展和改革委员会</span></p><p><span>关于远洋京北云计算大数据创新</span></p><p><span>应用基地的节能审查意见</span></p><p><span>北京达坤天成商贸有限公司：</span></p><p><span>你单位报送的《远洋京北云计算大数据创新应用基地节能报告的请示》及相关材料",27/5/2022 00:00:00
{C07A0140-0000-0000-0317-2A8EFFFFB30E},"<?xml version=""1.0"" encoding=""UTF-8""?>
<WCMDOCUMENTS>
	<WCMDOCUMENT Version=""5.2"">
		<PROPERTIES>
			<DOCID>0</DOCID>
			<DOCVERSION>0</DOCVERSION>
			<DOCTYPE>20</DOCTYPE>
			<ATTRIBUTE />
			<ATTACHPIC />
			<DOCLINK />
			<DOCFILENAME />
			<DOCCHANNEL>0</DOCCHANNEL>
			<DOCTITLE><![CDATA[关于新国展二期项目的节能审查意见]]></DOCTITLE>
			<DOCSOURCE>0</DOCSOURCE>
			<DOCSECURITY>0</DOCSECURITY>
			<DOCSWDW><![CDATA[北京辰星国际会展有限公司]]></DOCSWDW>
			<DOCGG><![CDATA[2022-05-25]]></DOCGG>
			<DOCPFDW><![CDATA[北京市发展和改革委员会]]></DOCPFDW>
			<DOCAUDITOR />
			<DOCCONTENT><![CDATA[无内容]]></DOCCONTENT>
			<DOCHTMLCON><![CDATA[<div><p><span>京发改（能评）〔2022〕22号</span></p><img src=""Aspose.Words.7804f126-dd10-47f6-8b79-4a7009330ecb.001.png""   alt="""" style=""margin-left:0pt; margin-top:6.9pt; position:absolute; z-index:0"" /><p><span>北京市发展和改革委员会</span></p><p><span>关于新国展二期项目的节能审查意见</span></p><p><span>北京辰星国际会展有限公司</span><span>：</span></p><p><span>你单位报送的《关于新国展二期项目节能审查的申请》及相关材料收悉。</span><span>该项目建设内容为酒店、展览及会议",27/5/2022 00:00:00
