序号,供热单位名称,证号,供热区域,运行负责人,供暖方式,有效期至
1,北京京能热力发展有限公司,通锅0256,通州区于家务乡供热中心锅炉房,付*,燃气,2025.12.30
2,北京京能热力发展有限公司,通锅0379,通州区马驹桥镇橡树湾南区锅炉房,付*,燃气,2025.12.30
3,北京京能热力发展有限公司,通锅0380,通州区马驹桥镇橡树湾北区锅炉房,付*,燃气,2025.12.30
4,北京京能热力发展有限公司,通锅0381,通州区云创天地锅炉房,付*,燃气,2025.12.30
5,北京燃气能源发展有限公司,通锅0404,通州经开区棚改锅炉房（福运家园小区）,白*,燃气,2025.12.29
6,北京华晟绿地能源管理有限公司,通锅0373,通州区桑园一街2号院、桑林路1号院,梁*城,燃气,2025.12.30
7,北京弘益热能科技股份有限公司,通锅0341,联东U谷锅炉房环科中路2号院29号楼3-8层,朱*梅,燃气,2025.12.30
8,北京京能热力发展有限公司,通锅0405,通州区梨园小镇锅炉房,付*,燃气,2026.01.20
9,北京京能热力发展有限公司,通锅0244,通州区梨园砖厂华远铭悦园锅炉房,付*,燃气,2026.01.24
10,北京京能热力发展有限公司,通锅0209,通州区东果园BOBO自由城锅炉房,付*,燃气,2026.01.24
11,北京京能热力发展有限公司,通锅0208,通州区玉带河东大街（运河明珠小区锅炉房）,付*,燃气,2026.01.24
12,北京京能热力发展有限公司,通锅0406,通州区新海小区锅炉房,付*,燃气,2026.01.20
13,北京京能热力发展有限公司,通锅0407,通州区兴华嘉园锅炉房,付*,燃气,2026.01.20
14,北京京能热力发展有限公司,通锅0211,通州区美然百度城锅炉房,付*,燃气,2026.01.20
15,北京京能热力发展有限公司,通锅0218,融科香雪兰溪锅炉房,付*,燃气,2026.01.24
16,北京京能热力发展有限公司,通锅0275,旭辉御锦小区锅炉房（非居民）,付*,燃气,2026.02.09
17,北京京能热力发展有限公司,通锅0276,朝北8080锅炉房（非居民）,付*,燃气,2026.02.09
18,北京京能热力发展有限公司,通锅0258,通州区马驹桥镇珠江逸景锅炉房,付*,燃气,2026.02.09
19,北京京能热力发展有限公司,通锅0224,通州区梨园镇云景东路海棠湾锅炉房,付*,燃气,2026.02.09
20,北京京能热力发展有限公司,通锅0243,通州区怡然世家锅炉房,付*,燃气,2026.02.09
