Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2024年通州区工业和信息化项目备案证明,,,,,
,,投资方信息,,项目信息,
序号,项目名称,单位名称,项目类型,建设内容,立项文号
1,冰糕生产加工车间,北京优蜜天地餐饮管理有限公司,新建,项目位于北京市通州区永乐经济开发区恒业七街6号及6号院33号楼1-4层301，占地面积为395m2，建筑面积395m2。本项目预计总投资100万元，固定资产投资60万元，主要用于购置设备/建筑装修。利用现有办公楼进行升级改造，建设2条手工冰糕生产线，增加15台设备，生产手工冰糕产品，达产后年产能力为18万根，其中新增产能为18万根。,京通经信局备〔2024〕001号
2,生产线技术改造智能化升级项目,北京长源朗弘科技有限公司,技术改造,本项目由北京长源朗弘科技有限公司发起、建设，选址于北京通州区兴光二街 1 号，项目通过利用自有厂房，对生产线进行智能化技术改造，购置进口智能化机加设备，项目占地4200 平方米，建筑面积 4200 平方米，不增加土建内容，生产汽车关键零部件产品，达产后年产能为7.5万台套。本项目产品满足燃气用新能源汽车使用，可加快新能源汽车规模化量产，助力我国实现节能减排、碳达峰、碳中和中长期规划。,京通经信局备〔2024〕002号
3,东古城通信枢纽局扩建项目,中国联通集团北京市通信有限公司,改扩建,本项目位于北京城市副中心0901街区TZ00-0901-0075地块，在保留原有机房楼的情况下，拟新建1栋机房楼，项目总建筑面积44974.26平方米。保留机房楼总建筑面积7437.51平方米，其中地上建筑面积6074.82平方米，地下建筑面积1362.69平方米，地上5层、地下1层。新建机房楼总建筑面积37536.75平方米，地上建筑面积25555.97平方米，地下建筑面积约11980.78平方米；地上5层，地下2层。建设内容包含新建机房楼的土建工程、工艺空调工程、电源工程、通信及配套设备安装工程以及保留机房楼的外立面装修工程。本项目建成后，共安装3212台机架：其中1212台机架，可满足联通集团互联网国际出口业务；并作为已经建成的c1通信楼的备份，满足通州城市副中心本地宽带、语音、专线、无线等业务需求，参照c1联通、移动、电信三家运营商通信设备规模，安装2000台机架。,京通经信局备〔2024〕003号
4,净菜加工包装车间建设项目,北京方圆平安生物科技股份有限公司,改扩建,"本项目位于北京市通州区于家务乡国际种业科技园区（西马坊村），项目租用占地面积为3000.022 m2，建筑面积2930 m2。本项目预计总投资2126.23万元，固定资产投资2083.08万元，主要用于车间工程改造和3条净菜加工生产线设备（六工位分拣台、鼓泡清洗机、大型智能切菜机、自动接料机、离心脱水机、连续式拉伸膜气调包装机等100余台）的购置。
本项目现已根据净菜生产的工艺要求及实际生产情况，对车间进行了升级改造，满负荷运营状态下，年产能预计在1.35万吨",京通经信局备〔2024〕004号
5,联东U谷数字安全产业基地,北京昆鹏恒通天然气有限公司,新建,"本项目拟利用自有的现有土地建设联东U谷数字安全产业基地项目，项目位于通州区经济技术开发区东区，项目占地面积为24410.724平方米。预计总投资为24000万元，固定资产投资为19594万元，所投资金主要用于厂房建设。拟建内容包括厂房16栋，配套及设备用房2栋，规划总建筑面积29727.15平方米,其中地上建筑面积为29283.17平方米，地下建筑面积为443.98平方米。
   本项目主要建设标准厂房，为后期入住企业提供生产平台服务，项目建成后引进数字安全网络设备核心部件生产制造、中试成果转化、高端装备和配套设施、软件和信息服务等，打造网络安全产业生产载体和高品质产业空间。",京通经信局备〔2024〕005号
6,固体制剂生产厂房及生产线智能化绿色化（二期）升级项目,嘉林药业有限公司,技术改造,项目位于通州区经济开发区东区靓丽四街35号院，占地面积4282.1m2，建筑面积4282.1m2。 本项目预计总投资700万元，固定资产投资638万元，项目通过利用现有厂房及生产线进行技改片剂生产线，增加1台压片机、1套自动包装设备及配套更换升级2台燃气锅炉，拟定生产瑞格列奈片（0.5mg、1.0mg）共计6亿片/年、奥美沙坦脂片3亿片/年、富马酸卢帕他定4亿片/年，需新购压片机和自动包装线，达产后年总产能为13亿片。本项目改造不涉及土建施工。,京通经信局备〔2024〕006号
7,双创公共服务平台绿色低碳改造项目,电信科学技术仪表研究所有限公司,技术改造,"本项目位于北京市通州区北苑155号，预计总投资为905.87万元，固定资产投资为702.49万元，用地面积建筑2.4万平方米。
本项目将对车间环境和原有生产线进行节能改造，置换约30台生产、检测设备；对“大唐创业园”园区锅炉、外墙保温、电缆等公共服务基础设施的节能改造；置换国产化信创服务器、数据库、安全管理系统。
本项目建设完成后，不新增能耗，能源消耗预计降低20%以上。",京通经信局备〔2024〕007号
