序号,企业名称,备注
1, 北京宝信程茂建筑工程有限公司,新办
2, 北京沣润建筑有限公司,新办
3,北京林晟泰合通信工程有限公司,新办
4,北京科耀建筑劳务有限公司,新办
5, 北京福慧时代建筑工程有限公司,新办
6,北京铝能建筑工程有限公司,新办
7,北京同心力建筑劳务有限公司,新办
8,北京航能绿电科技有限公司,新办
9,北京金集迈市建筑工程有限公司,新办
10,北京境成园林景观工程有限公司,新办
11, 北京盛瑞源建筑劳务有限公司,新办
12,北京泓峻机械设备租赁有限公司,新办
13, 北京君亿衡商贸有限公司,新办
14, 北京富博瑞莱科技有限公司,新办
15, 北京翔通绿森园林绿化有限公司,新办
16, 北京天畅旺建筑工程有限公司,新办
17, 北京创伟嘉业装饰工程有限公司,新办
18,北京中科高创控股有限公司,新办
19,雾语（北京）生态科技有限公司,新办
20, 北京京万通建筑劳务有限公司,新办
21, 北京诚建志远消防科技有限公司,新办
22, 北京万泉润合园林绿化有限公司,新办
23,北京瑞海盛景园林景观工程有限公司,新办
24,北京华创电研信息技术有限公司,新办
25,北京京晟豪建筑装饰工程有限公司,新办
26,北京海盛福林建筑装饰有限公司,新办
27,北京燃浩德非开挖工程技术服务有限公司,新办
28, 北京雨岐建筑工程有限公司,新办
29,北京当代鼎盛建筑工程技术有限公司,新办
30, 北京逸辰建筑工程有限公司,新办
31,京通新弘（北京）建设有限公司,新办
32, 北京敬友中空玻璃厂,新办
33,北京利阳园林绿化工程有限公司,新办
34,北京雅晔建设有限公司,新办
35, 北京中交远通工程技术有限公司,新办
36, 北京辰利建筑有限公司,新办
37,北京众和瑞鑫建筑劳务有限公司,新办
38,北京太行鑫通流体设备有限公司,新办
39,北京建宇华腾建筑工程有限公司,新办
40,北京匠驿装饰有限公司,新办
41, 北京发达四海商贸有限公司,新办
42,北京集瑞通建筑劳务有限公司,新办
43,北京筑梦辉煌工程有限公司,新办
44,北京汇辰芯智科技有限公司,新办
45,北京中源华信工程有限公司,新办
46, 北京通达事顺建筑工程有限公司,新办
47, 东亚城港（北京）安防科技有限公司,新办
48, 北京简居装饰工程有限公司,新办
49,北京辉普园林绿化有限公司,新办
50,北京鼎祥建筑装饰工程有限公司,新办
51,中诚智谷（北京）国际咨询顾问有限公司,新办
52,北京泰达仪科技有限公司,新办
53, 北京海雅辰群建筑安装有限公司,新办
54,中天荣科（北京）工程建设有限公司,新办
55, 北京天弘阳建设项目管理有限公司,新办
56,北京宏景盛源建筑劳务有限公司,新办
57,中多电（北京）新能源科技发展有限公司,新办
58, 北京市基立检测技术有限公司,新办
59, 北京晨风新能科技有限公司,新办
60,北京万泽凯达建筑劳务有限公司,新办
61, 北京博远昊天环保科技有限公司,新办
62, 北京宇宸智行科技有限公司,新办
63,北京岩胜建筑装饰有限公司,增项
64, 北京良安科技股份有限公司,增项
65,北京通运翔机械设备有限公司,增项
66,罗丹莫纳高新技术有限公司,增项
67,北京中电盛世电力建设有限公司,增项
68,北京黄河龙建筑工程有限公司,增项
69,北京中岩大地新能源科技有限公司,增项
70,中景国泰（北京）建设有限公司,增项
71,北京市鑫正泰建筑幕墙工程有限公司,增项
72,北京荣海建设工程有限公司,增项
73,中交一公局交通工程有限公司,增项
74, 北京菲迪克装饰工程有限公司,增项
