序号,企业名称,备注
1,北京恒安宏程建筑劳务有限公司,变更
2,北京冠华装饰设计有限公司,变更
3,北京壹格建筑装饰有限公司,变更
4, 博卓国际建筑劳务（北京）有限公司,变更
5,北京永泰顺昌货运代理有限公司,变更
6, 北京木子彦科技有限公司,变更
7, 北京金河工程管理有限公司,变更
8,北京旭升视通科技有限公司,变更
9,北京深林开物市政工程有限公司,变更
10, 北京蓝墨华轩建设工程有限公司,变更
11, 北京亚美奥德建设工程有限公司,变更
12, 北京赫远恒通建筑工程有限公司,变更
13,北京赫远恒通建筑工程有限公司,变更
14,北京国华铁工建设工程有限公司,变更
15,北京京通瑞豪建筑工程有限公司,变更
16,北京厚德鑫源建筑工程有限公司,变更
17, 北京华程通达建筑工程有限公司,变更
18, 北京欣宏运建筑劳务有限公司,变更
19,北京城建道桥工程有限公司,变更
20,北京永乐荣盛建筑工程有限公司,变更
21,北京舜鑫建筑工程有限公司,变更
22, 北京黑与白工程有限公司,变更
23, 北京菲迪克装饰工程有限公司,变更
24, 北京通苑建筑劳务有限公司,变更
25,北京常瀛智禾科技有限公司,变更
26,北京水无耐工程有限公司,变更
27, 北京德筑螺壳科技有限公司,变更
28,北京京华盛装饰中心,变更
29, 北京翰林生态建设有限公司,变更
30, 北京永立建设工程有限公司,变更
31, 北京仲元建设工程有限公司,变更
32, 北京凯达万恒装饰有限公司,变更
33, 北京辉华盛达建筑工程有限公司,变更
34, 北京常瀛智禾科技有限公司,变更
35,北京精创天任环保工程有限公司,变更
36, 北京守正世兴建设工程有限公司,变更
37, 北京腾安建筑工程有限公司,变更
38, 北京桐道建筑工程有限公司,变更
39,北京菲迪克建设有限公司,变更
40, 北京鸿达昌工程有限公司,变更
41, 北京舜鑫建筑工程有限公司,变更
42, 筑田建设集团有限公司,变更
43, 北京北方宏拓环境科技有限公司,变更
44, 北京涌溢建设有限公司,变更
45, 北京浩石集成房屋有限公司,变更
46,北京悦筑建筑工程有限公司,变更
47, 北京中科富翔劳务分包有限公司,变更
48,腾达建工（北京）市政工程有限公司,变更
49, 华夏天地建设集团有限公司,变更
50, 北京德峰锐博交通技术有限公司,变更
51, 北京欣程信达建筑工程有限公司,变更
52, 北京金广源装饰设计工程有限公司,变更
53,北京诚栋国际营地集成房屋股份有限公司,变更
54,杰恩新科设计（北京）股份有限公司,变更
55,华东材料（北京）有限公司,变更
56,北京屹立诚建建筑工程有限公司,变更
57,北京卓宝建筑工程有限公司,变更
58, 北京浩瀚世纪科技发展有限公司,变更
59, 北京华澳智诚园林市政工程有限公司,变更
60,北京至诚建设工程有限公司,变更
61,北京博蓝建筑劳务有限公司,变更
62,北京京杰制冷设备工程有限公司,变更
63, 北京清澳电力工程有限公司,变更
64, 北京征泰建筑工程有限公司,变更
65,天烁建设集团有限公司,变更
66,北京广顺恒通建设有限公司,变更
67,中景国泰（北京）建设有限公司,变更
68,北京科润建设工程有限公司,变更
69,科华兴业（北京）工程有限公司,变更
70, 北京东邦鼎盛环境工程技术有限公司,变更
71,水研未来（北京）环境工程技术有限公司,变更
72,华夏国远（北京）建筑工程有限公司,变更
73, 中泓建（北京）工程有限公司,变更
74, 北京鑫泓达建筑装饰有限公司,变更
75, 北京清澳电力建设有限公司,变更
76, 北京京通鹏达建设工程有限公司,变更
77, 北京卓弘建筑工程有限公司,变更
78,北京欧亚机械设备股份有限公司,变更
79, 北京万隆祥安商贸有限公司,变更
80, 北京宁灿建筑工程有限公司,变更
81, 中海立宏（北京）建设有限公司,变更
82, 北京华航腾信送变电工程有限公司,变更
83, 北京恒翔君和建筑工程有限责任公司,变更
84, 北京中安科工隧道工程有限公司,变更
85, 北京伟泓建筑有限公司,变更
86,北京潞通万隆建设有限公司,变更
87,北京中恒耀华建筑劳务分包有限公司,变更
88,中鼎华建（北京）建设有限公司,变更
89,北京中泓佳盛工程管理有限公司,变更
90,北京高发工程技术服务有限公司,变更
91, 北京华澈建设有限公司,变更
92, 北京精创天任环保工程有限公司,变更
93,北京欣然德建筑工程有限公司,变更
94, 迅通（北京）非开挖建设工程有限公司,变更
95, 北京天越幕墙工程有限公司,变更
96, 北京沐梵科信建筑有限公司,变更
97, 北京北机机电工业有限责任公司,变更
98,北京通安兴达机电工程有限公司,变更
99, 知行合力装饰工程（北京）有限公司,变更
100,北京欧亚机械设备股份有限公司,变更
101, 北京德佳诺诚建筑劳务有限公司,变更
102, 鑫炎焱（北京）环保科技有限公司,变更
103, 北京亿成机械设备租赁有限公司,变更
104,北京众一装饰工程有限公司,变更
105,北京荣海建设工程有限公司,变更
106, 北京天瑞华科净化工程有限公司,变更
107, 北京首源生态建设集团有限公司,变更
108, 北京天平建筑机械租赁有限公司,变更
109,北京爱尔益地节能科技股份有限公司,变更
110,北京黑与白工程有限公司,变更
111,北京卓越同正科技有限公司,变更
112,中照恒泰（北京）建筑工程有限公司,变更
113,北京庞源机械工程有限公司,变更
114,北京万畅众成建筑工程有限公司,变更
115, 凯源联弘（北京）建筑工程有限公司,变更
116,中彧建业（北京）建设工程有限公司,变更
117,北京恒莱人防设备安装有限公司,变更
118,北京众创云启文化产业有限公司,变更
119, 北京国信鼎业土石方工程有限公司,变更
120,北京祥迈建筑工程有限公司,变更
121,北京皓亚建筑工程有限公司,变更
122,中砥（北京）建筑劳务有限公司,变更
123, 北京京通创展消防工程有限公司,变更
124,北京润达盛远劳务分包有限公司,变更
125, 北京初卓节能科技有限公司,变更
126, 中峰顺达（北京）安全技术咨询服务有限公司,变更
127,中创亿德（北京）建设工程有限公司,变更
128,北京尚艺江南装饰工程有限公司,变更
129,中尚建业（北京）建筑有限公司,变更
130,北京航能绿电科技有限公司,变更
131, 北京时讯鸿达科技有限公司,变更
132, 北京中天北方建设有限公司,变更
133, 北京联丞佳逸通信技术有限公司,变更
134, 华夏天地建设集团有限公司,变更
135, 中航建设集团有限公司,变更
136, 北京国典建筑装饰有限公司,变更
137, 北京伟安顺通建筑劳务有限公司,变更
138, 北京黑油数字展览股份有限公司,变更
139,北京中广科工建筑工程有限公司,变更
140, 国泰通宇（北京）建设有限公司,变更
141, 华夏天地建设集团有限公司,变更
142, 北京京通连山建筑工程有限公司,变更
143, 北京众顺恒泰工程有限公司,变更
144,北京中道水务设备有限责任公司,变更
145, 北京标圆国际工程管理有限公司,变更
146, 北京有泰建筑劳务有限公司,变更
147, 北京晶鑫浩然建筑工程有限公司,变更
148, 北京胜瑞通达建筑工程有限公司,变更
149, 北京乐邦科技有限公司,变更
150,北京鑫平伟业装饰有限公司,变更
151,京盛泰安（北京）建设有限公司,变更
152,北京京徽炜业国际建筑装饰工程有限公司,变更
153,北京盛唐嘉业建筑劳务有限公司,变更
154, 北京中云鸿盛建设工程有限公司,变更
155,北京市中原创业建筑工程有限公司,变更
156, 地通（北京）路桥建设有限公司,变更
157,北京永立建设工程有限公司,变更
158, 北京博源启航工程有限公司,变更
159, 北京成正宏建设工程有限公司,变更
160, 北京荣禾弘源建筑装饰有限公司,变更
161,中青建（北京）建设有限公司,变更
162, 北京京诚达建筑工程有限公司,变更
163,北京福源通宝建筑工程有限公司,变更
164,北京京华盛装饰中心,变更
165,北京绿清源环保科技有限公司,变更
166,北京林晟泰合通信工程有限公司,变更
167,华东材料（北京）有限公司,变更
168,北京君辉长泰装饰工程有限公司,变更
169,北京华澈建设有限公司,变更
170,北京益亨燃气技术有限公司,变更
171,北京九德城工程有限公司,变更
172,北京盛瑞源建筑劳务有限公司,变更
173,北京舜鑫体育设施工程有限公司,变更
174,北京兴耀茂华建设有限公司,变更
175,中衍星美（北京）建设有限公司,变更
176, 北京安泰顺昌商贸有限公司,变更
177, 中机国建（北京）建设有限公司,变更
178, 北京茂辰建筑工程有限公司,变更
179,北京中实能源环境工程有限公司,变更
180,北京涌溢建设有限公司,变更
181,北京浩林环宇建筑有限公司,变更
182,北京中岩大地工程技术有限公司,变更
183,北京诚博建设工程有限公司,变更
184,北京慧普时代数字科技有限公司,变更
185,北京中恒耀华建筑劳务分包有限公司,变更
186,北京文清工程有限公司,变更
187, 北京富博瑞莱科技有限公司,变更
188,北京东邦鼎盛环境工程技术有限公司 ,变更
189,北京韬盛科技发展有限公司 ,变更
190,北京易安德模架工程技术有限公司,变更
