通州区建设工程竣工联合验收,Unnamed: 1,Unnamed: 2,Unnamed: 3
序号,工程名称,建设单位,联合验收日期
1,通州区潞城镇棚户区土地开发项目A区后北营西南角及东侧地块安置房建设项目6#养老设施精装修工程,北京鹏婧医疗管理有限公司,2025-06-27
2,数字经济智城园产业园项目（通州区新华东街116号1号楼等10项）室内装修工程,北京首通都市产业运营管理有限公司,2025-06-18
3,通州区漷县镇综治中心建设项目1、2号楼内部装修工程,北京市通州区漷县镇人民政府,2025-06-18
4,通州区徐辛庄大街75号2幢外立面装修改造工程,北京电子信息技师学院,2025-06-17
5,张家湾车辆段综合利用供地项目FZX-1202-0079-02（上盖区）、FZX-1202-0079-03（落地区）、FZX-1202-0079-04（落地区）地块 F3其他类多功能用地项目（2#楼（酒店）、3#楼-地下车库及人防出入口）,北京环汇置业有限公司,2025-06-10
6,通州区体育场升级改造建设工程（1#体育馆）,北京市通州区体育局,2025-05-30
7,通州区体育场升级改造建设工程（2#体育场）,北京市通州区体育局,2025-05-30
8,北京城市副中心0302 街区FZX-0302-6004、6002 地块F1 住宅混合公建、A334 托幼用地项目（6#住宅楼等6项、13#幼儿园）,北京双城通达房地产开发有限公司,2025-05-29
9,通州区梨园镇东小马土地一级开发项目FZX-0306-6007、6008地块R2二类居住用地、A334托幼用地项目（1#住宅楼等16项）,北京运能置业有限公司,2025-05-29
10,通州区新华东街11号院2号楼一层局部、二层局部内装修工程,北京通佰国际商务有限责任公司,2025-05-21
11,通州区梨园镇东小马土地一级开发项目FZX-0306-6009地块R2二类居住用地项目（1#住宅楼等21项）,北京招通房地产开发有限公司,2025-05-19
12,路县故城遗址保护展示工程（图书展览用房及配套）1层局部，2层局部，地下1层局部内部装修工程,北京市文物局综合事务中心,2025-05-18
13,路县故城遗址保护展示工程（图书展览用房及配套）,北京市文物局综合事务中心,2025-05-16
14,通州区东关三街2号院2号楼3层（卫生间除外）、4层局部，3号楼（卫生间除外）、5号楼全部，B号-1层至-3层全部装修改造工程,中国工商银行股份有限公司北京市分行,2025-05-06
15,北京城市副中心0302 街区FZX-0302-6004、6002 地块F1 住宅混合公建、A334 托幼用地项目（11#公建楼-A等3项）,北京双城通达房地产开发有限公司,2025-04-28
16,北京城市副中心0302 街区FZX-0302-6004、6002 地块F1 住宅混合公建、A334 托幼用地项目（6#住宅楼等6项、13#幼儿园）,北京双城通达房地产开发有限公司,2025-04-26
17,北京城市副中心0302 街区FZX-0302-6004、6002 地块F1 住宅混合公建、A334 托幼用地项目（1#住宅楼等6项）,北京双城通达房地产开发有限公司,2025-04-26
18,通州区云杉路2号院52、64号楼内部装修工程,中航建设集团有限公司,2025-04-24
19,通州区东关三街2号院2号楼3层（卫生间除外）、4层局部，3号楼（卫生间除外）、5号楼全部，B号-1层至-3层全部装修改造工程,中国工商银行股份有限公司北京市分行,2025-04-18
20,北京城市副中心1202街区FZX-1202-0001地块F3其他类多功能用地项目（1#办公楼等4项）,北京首旅城市副中心投资有限公司,2025-04-17
21,北京更高中西医结合医院（通州区玉桥西路26号院1号楼1层1-1、1层1-2局部、1至2层201、1至2层202）内部装修工程,北京更高中西医结合医院有限公司,2025-04-16
22,5#新建车间等2项（厂房及附属设施翻改建项目）,北京通州开关有限公司,2025-04-09
23,通州区东关三街2号院2号楼1至2层全部、5至23层（卫生间除外），4层局部（卫生间除外）装修改造工程,中国工商银行股份有限公司北京市分行,2025-04-07
24,北京维通利电气股份有限公司改扩建项目（1#生产厂房等2项）,北京维通利电气股份有限公司,2025-04-07
25,北人厂（北区）老旧厂房改造提升项目（M4地块）工程（5#改扩建（研发用房兼容配套用房）、8-9#（研发用房兼容配套用房））,北人集团有限公司,2025-04-03
26,通州区榆景东路2号院6号楼1层、2层公共区域局部，7层701、702，8层801、802内部装修工程,中国移动通信集团有限公司北京分公司,2025-04-03
27,通州区翠景北里5号楼1层九棵树街187、191、195、2层193号内部装修工程,交通银行股份有限公司北京市分行,2025-04-01
28,通州区观音庵北街4号院2号楼4层内部装修工程,中国太平洋人寿保险股份有限公司北京分公司,2025-04-01
29,北京市通州区榆景苑小区翻建项目（一期）（63#住宅等38项）,北京桓丰苑投资管理有限公司,2025-03-28
30,北京市通州区宋庄镇双埠头村、大庞村、大兴庄村土地一级开发项目TZ03-0403-6001、6004、6007、6010、6021、6024地块R2二类居住用地、6018地块B1商业用地、6009地块A334幼儿园用地项目（5-1#楼等9项）,北京金地通达房地产开发有限公司,2025-03-26
31,北京市通州区宋庄镇双埠头村、大庞村、大兴庄村土地一级开发项目TZ03-0403-6001、6004、6007、6010、6021、6024地块R2二类居住用地、6018地块B1商业用地、6009地块A334幼儿园用地项目(6-1#楼等8项),北京金地通达房地产开发有限公司,2025-03-26
32,1#科研楼等11项（数据技术研发中心建设项目）,汇天网络科技有限公司,2025-03-15
33,通州区漷县南三街5号院20号楼2至5层内装修工程,北京荻硕贝肯医学检验实验室有限公司,2025-03-11
34,通州区朗清园三区12号楼、17号楼一层局部内部装修改造工程,北京爱侬养老科技发展股份有限公司,2025-03-11
35,通州区供销合作总社房屋翻改建项目（北京市通州区供销合作总社房屋翻建项目）,北京市通州区供销合作总社,2025-03-07
36,新建业务综合楼,北京市城市规划设计研究院,2025-03-05
