通州区成品油零售经营资质审批台账,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
序号,接件时间,办理时间,办理事项,加油站名称,加油站地址
1,2024-02-28 00:00:00,2024-03-13 00:00:00,变更法人,北京龙禹新友加油站有限公司,北京市通州区马驹桥镇大杜社村
2,2024-04-12 00:00:00,2024-04-17 00:00:00,变更法人,中国石油天然股份有限公司北京天成桥加油站,北京市通州区京通快速路西马庄收费站天成桥1号
3,2024-04-12 00:00:00,2024-04-17 00:00:00,变更法人,中国石油天然股份有限公司北京通州通宫加油站,北京市通州区宋庄镇窑上村北通顺公路西侧
4,2024-04-26 00:00:00,2024-04-30 00:00:00,变更法人,中国石油天然气股份有限公司北京方深加油站,北京市通州区梨园镇砖厂村西
5,2024-06-03 00:00:00,2024-06-06 00:00:00,变更法人,北京市次渠通惠加油站有限公司,北京市通州区次渠镇
6,2024-06-03 00:00:00,2024-06-06 00:00:00,变更法人,北京中图石油投资有限公司,北京市通州区漷县镇苏庄村委会南600米
7,2024-06-14 00:00:00,2024-06-21 00:00:00,变更法人, 中油北京销售有限公司第一加油站 ,北京市通州区张家湾镇姚辛庄村
8,2024-06-14 00:00:00,2024-06-21 00:00:00,歇业,北京市通州运达加油站,北京市通州区张家湾镇土桥村南
9,2024-07-05 00:00:00,2024-07-11 00:00:00,注销,北京京东天源加油站有限公司,北京市通州区张家湾镇牌楼营村
10,2024-07-05 00:00:00,2024-07-12 00:00:00,新设,北京京东天源加油站有限公司,北京市通州区张家湾镇牌楼营村
11,2024-07-31 00:00:00,2024-07-31 00:00:00,变更法人,中国石化销售股份有限公司北京通州东升加油站,北京市通州区张家湾镇前街村
12,2024-08-13 00:00:00,2024-08-14 00:00:00,变更法人,北京京龙昌商贸有限公司天盛加油站,北京市通州区中关村科技园区通州园光机电一体化产业基地兴光六街1号
13,2024-08-27 00:00:00,2024-08-30 00:00:00,歇业,中国石油销售股份有限公司北京通州潞府东苑加油站,北京市通州区郎府供销社煤场
14,2024-09-06 00:00:00,2024-09-10 00:00:00,注销,北京龙禹通安源加油站有限公司,北京市通州区漷县镇丁庄村
15,2024-09-09 00:00:00,2024-09-12 00:00:00,新设,北京龙禹通安源加油站有限公司,北京市通州区漷县镇丁庄村
16,2024-09-20 00:00:00,2024-09-24 00:00:00,变更法人,北京岳上商贸中心加油站,北京市通州区西集镇（通香路668号）
17,2024-10-18 00:00:00,2024-10-23 00:00:00,变更法人,北京市通州凯利加油站,北京市通州区张家湾镇里二泗村
18,2024-11-15 00:00:00,2024-11-19 00:00:00,变更分公司负责人 ,中国石化销售股份有限公司北京通州海宏加油站,北京市通州区永顺镇范庄村西
19,2024-11-15 00:00:00,2024-11-19 00:00:00,变更分公司负责人 ,中国石化销售股份有限公司北京通州西永和屯加油站,北京市通州区张家湾镇西永和屯村310号院1号、2号
20,2024-11-15 00:00:00,2024-11-19 00:00:00,变更分公司负责人 ,中国石化销售股份有限公司北京通州京教加油站,北京市通州区永顺镇耿庄村东
21,2024-11-15 00:00:00,2024-11-19 00:00:00,变更分公司负责人 ,中国石化销售股份有限公司北京通州京东海苑加油站,北京市通州区宋郎路东侧（潞城南刘各庄村）
22,2024-11-15 00:00:00,2024-11-19 00:00:00,变更分公司负责人 ,中国石化销售股份有限公司北京通州暖风加油站,北京市通州区张家湾镇土桥村东
23,2024-11-15 00:00:00,2024-11-19 00:00:00,变更分公司负责人 ,中国石化销售股份有限公司北京通州九棵树加油站,北京市通州区梨园镇九棵树
24,2024-11-15 00:00:00,2024-11-20 00:00:00,变更分公司负责人 ,中国石化销售股份有限公司北京通州运河亚吉加油站,北京市通州区永顺镇小圣庙村
25,2024-11-15 00:00:00,2024-11-20 00:00:00,变更分公司负责人 ,中国石化销售股份有限公司北京通州堡辛加油站,北京市通州区潞城镇堡辛村南
26,2024-11-15 00:00:00,2024-11-20 00:00:00,变更分公司负责人 ,中国石化销售股份有限公司北京通州华电加油站,北京市通州区马驹桥镇大白村西
27,2024-12-10 00:00:00,2024-12-13 00:00:00,变更法人,北京市通州通检加油站,北京市通州区城关镇范庄村西
28,2024-12-12 00:00:00,2024-12-16 00:00:00,变更法人,北京政通广源加油站有限公司,北京市八里桥南街8号
29,2024-12-12 00:00:00,2024-12-16 00:00:00,变更法人,北京白庙加油站有限公司,北京市通州区宋庄镇白庙村委会西1000米
30,2025-01-13 00:00:00,2025-01-20 00:00:00,变更法人,北京市通州马驹桥加油站,北京市通州区马驹桥镇西店村南
31,2025-01-16 00:00:00,2025-01-20 00:00:00,变更负责人,中国石化销售股份有限公司北京通州北苑加油站,北京市通州区北苑
32,2025-03-12 00:00:00,2025-03-24 00:00:00,变更负责人,北京壳牌石油有限公司临河里加油站,北京市通州区梨园地区梨园村东（村委会东1000米）
33,2025-03-12 00:00:00,2025-03-28 00:00:00,变更负责人,北京壳牌石油有限公司漷县镇加油站,北京市通州区漷县镇杨堤村
34,2025-04-23 00:00:00,2025-04-27 00:00:00,变更负责人,北京市飞宇瑞驰石化贸易有限公司竹木场加气油站,北京市通州区永顺镇竹木场北30号
35,2025-05-07 00:00:00,2025月05月13日,企业补证,北京远东博燃加油站有限公司,北京市通州区西集镇沙古堆村东
36,2025-05-08 00:00:00,2025-05-13 00:00:00,企业补证,北京中图石油投资有限公司,北京市通州区漷县镇苏庄村委会南600米
37,2025-05-12 00:00:00,2025-05-20 00:00:00,变更负责人,中油北京销售有限公司第七加油站,北京市通州区台湖镇北神树村
