批次,时间,向社会通知公告情况,项目内容
,2019- 12-05,"中国人民银行启动金融科技创新监管试点工作
http://jrj.beijing.gov.cn/jrgzdt/201912/t20191218_1266408.html
北京市在全国率先试点金融科技“监管沙箱”
http://jrj.beijing.gov.cn/jrgzdt/201912/t20191218_1266458.html",/
"第一批
(6 个)",2020-01-14,"金融科技创新监管试点应用公示(2020 年第一批)
http://beijing.pbc.gov.cn/beijing/132024/3959445/index.html
金融科技创新监管试点应用公示(2020 年第一批)
http://jrj.beijing.gov.cn/tztg/202001/t20200114_1575106.html","1.基于物联网的物品溯源认证管理与供应链金融--中国工商银行
2.微捷贷产品--中国农业银行
3.中信银行智令产品--中信银行等
4.AIBank Inside 产品--中信百信银行
5.快审快贷产品--宁波银行
6.手机 POS 创新应用--中国银联等"
,2020-03-16,"关于北京金融科技创新监管试点第一批创新应用申请机构自声
明的公告
http://beijing.pbc.gov.cn/beijing/132024/3989541/index.html
北京监管沙箱第一批创新应用项目完成登记入箱
http://jrj.beijing.gov.cn/jrgzdt/202003/t20200317_1718991.html",
"第二批
 (11 个)",2020-03-27,"关于征集北京市金融科技创新监管试点创新应用项目(第二期)
的公告
http://jrj.beijing.gov.cn/tztg/202003/t20200327_1740527.html","1.基于智能机器人的移动金融服务项目--中国工商银行
2.基于区块链的产业金融服务--中国银行
3.5G+智能银行--中国建设银行
4.普惠小微企业贷产品--北京银行
5.""一路行""移动终端理赔产品--中国人寿财险等
6.多方数据学习""政融通""在线融资项目--腾讯云计算等
7.天翼智能风险监控产品--中国电信集团等
8.国网智能图谱风控产品--国网征信等
9.移动金融云签盾--中金金融认证中心等
10.基于区块链的企业电子身份认证信息系统(eKYC) --国家计算机网络与信息安全管理中心等
11.智能云小店服务--拉卡拉支付"
,2020-06-02,"北京金融科技创新监管试点应用公示(2020 年第二批)
http://jrj.beijing.gov.cn/tztg/202006/t20200602_1914215.html",
,2020-08-06,"关于北京金融科技创新监管试点应用提供服务的公告
http://jrj.beijing.gov.cn/tztg/202008/t20200806_1975685.html",
"第三批
(5 个)",2020- 12-25,"北京金融科技创新监管试点应用公示(2020 年第三批)
http://jrj.beijing.gov.cn/tztg/202012/t20201225_2186576.html","1. 光信通区块链产业金融服务--光大银行
2. 链捷贷产品--农业银行
3. 基于物联网技术的中小企业融资服务-- 民生银行等
4. 基于区块链的国家电投供应链业务平台--融和云链等
5. 基于API 的场景适配中台产品-- 中科金财等(尚未入箱)"
,2021-03-22,"关于北京金融科技创新监管试点应用提供服务的公告
http://beijing.pbc.gov.cn/beijing/132024/4211400/index.html","1. 光信通区块链产业金融服务--光大银行
2. 链捷贷产品--农业银行
3. 基于物联网技术的中小企业融资服务-- 民生银行等"
,2021-04-09,"关于征集金融科技创新应用的公告
http://jrj.beijing.gov.cn/tztg/202104/t20210409_2351184.html","在前期分阶段征集的基础上，工作组现开展创新应用长期
征集工作。"
,2021-08-06,"关于北京金融科技创新监管试点应用提供服务的公告
http://beijing.pbc.gov.cn/beijing/132024/4311205/index.html",4.  基于区块链的国家电投供应链业务平台--融和云链等(第三批)
"出箱
(3个)",2021-09-28,"关于北京金融科技创新监管工具创新应用完成测试的公告
http://jrj.beijing.gov.cn/jrgzdt/202109/t20210927_2503567.html","1. 基于物联网的物品溯源认证管理与供应链金融--工商银行 (第一批)
2. 基于区块链的产业金融服务-- 中国银行 (第二批)
3. AIBank Inside 产品-- 中信百信银行 (第一批)"
"第四批
(1 个)",2022-03-04,"北京金融科技创新监管工具创新应用公示
http://jrj.beijing.gov.cn/tztg/202203/t20220304_2622839.html",基于“碳账本”的个人金融服务—建行
,2022-09-07,"关于北京金融科技创新监管工具创新应用提供服务的公告
http://beijing.pbc.gov.cn/beijing/132024/4653041/index.html",
"第五批
(3 个)",2022- 12-28,"北京金融科技创新监管工具新一批创新应用(“智慧金融”主题)
公示
http://jrj.beijing.gov.cn/tztg/202212/t20221228_2886423.html","1. 基于人工智能技术的普惠信贷服务-- 中信百信银行等
2. 基于数字人和混合现实技术的智慧网点服务--工商银行等
3. 基于人工智能技术的债券交易即时通讯及信息服务平台--北京快确信息等"
,2023-05-05,"关于北京金融科技创新监管工具创新应用测试运行的公告
https://jrj.beijing.gov.cn/tztg/202305/t20230505_3087600.html",
出箱（3个）,2023-04-27,"关于北京金融科技创新监管工具创新应用结束测试的公告
https://jrj.beijing.gov.cn/tztg/202304/t20230427_3082165.html","1.快审快贷产品--宁波银行
2.中信银行智令产品--中信银行等
3.手机 POS 创新应用--中国银联等"
汇总,截至目前，公示 26 个，入箱 25 个(第三批“基于 API 的场景适配中台产品--中科金财等”项目因自身材料尚未补齐， 尚未入箱)；出箱6个。,,
