北京市门头沟区水务局2021年5月至2022年4月行政处罚公示台账,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
,,,
序号,行政处罚决定书文号,行政相对人名称,行政决定日期
1,门水罚字〔2021〕第7号,襄阳中祥劳务服务有限公司,2021-05-07 00:00:00
2,门水罚字〔2021〕第1号,河北冀满建筑工程有限公司,2021-05-20 00:00:00
3,门水罚字〔2021〕第10号,京阳创业(高唐)机械设备租赁有限公司,2021-06-24 00:00:00
4,门水罚字〔2021〕第11号,福建岚星路桥建设工程有限公司,2021-08-12 00:00:00
5,门水罚字(2021)第12号,山东龙天建筑工程有限公司,2021-08-25 00:00:00
6,门水罚字〔2021〕第8号,中电建物业管理有限公司北京门头沟分公司,2021-08-16 00:00:00
7,门水罚字〔2021〕第13号,北京金水永业房地产开发有限公司,2021-08-31 00:00:00
8,门水罚字〔2021〕第14号,北京市圣瑞物业服务有限公司裘马四季分公司,2021-08-31 00:00:00
9,门水罚字〔2021〕第25号,北京水怡环境工程有限公司,2021-12-14 00:00:00
10,门水不罚字〔2021〕第19号,北京郑氏福仙餐饮管理服务有限公司,2021-10-25 00:00:00
11,门水罚字〔2021〕第29号,廊坊居宜园康物业服务有限公司,2021-12-23 00:00:00
12,门水罚字〔2021〕第28号,北京刚强孔梵科技有限公司,2021-12-21 00:00:00
13,门水罚字〔2021〕第23号,北京华瑞润茂物业管理有限公司,2021-12-15 00:00:00
14,门水不罚字〔2021〕第18号,北京嘉香美味倾城餐饮有限公司,2021-10-27 00:00:00
15,门水罚字〔2021〕第30号,北京京能建设集团有限公司,2021-12-21 00:00:00
16,门水罚字〔2021〕第26号,天津市铭联市政工程有限公司,2021-12-14 00:00:00
17,门水罚字〔2021〕第15号,北京博安物业服务有限公司,2021-10-25 00:00:00
18,门水罚字〔2021〕第27号,北京京西利川环保科技有限公司,2021-12-07 00:00:00
19,门水罚字〔2021〕第20号,晋城市慧平建筑工程经营部,2021-10-28 00:00:00
20,门水罚字(2021)第22号,北京国运福工程建筑有限公司,2021-10-25 00:00:00
21,门水罚字〔2021〕第16号,北京兴宸通达物业管理有限公司,2021-10-28 00:00:00
22,门水罚字〔2021〕第21号,彦云,2021-10-25 00:00:00
23,门水不罚字〔2021〕第17号,北京客齐居快餐店,2021-10-25 00:00:00
24,门水不罚〔2022〕第6号,北京德月轩餐饮中心,2022-03-18 00:00:00
25,门水罚字〔2022〕第8号,北京隆盛文化有限公司,2022-03-23 00:00:00
26,门水罚字(2022)第2号,北京潭柘阳坡园旅游开发有限公司,2022-01-24 00:00:00
27,门水不罚字〔2022〕第10号,北京阿然餐饮管理有限公司,2022-03-29 00:00:00
28,门水不罚字〔2022〕第11号,北京京西壹碗香餐饮有限公司,2022-03-31 00:00:00
29,门水不罚〔2022〕第4号,北京今天假日饮食有限责任公司,2022-03-18 00:00:00
30,门水罚字〔2022〕第9号,北京爽辣餐饮有限公司,2022-03-23 00:00:00
31,门水不罚字〔2022〕第7号,北京尚品蝎府餐饮有限公司,2022-03-22 00:00:00
32,门水不罚〔2022〕第5号,北京伊正轩餐饮管理有限公司,2022-03-18 00:00:00
33,门水罚字〔2022〕第3号,北京佳齐顺平机械设备租赁有限公司,2022-04-22 00:00:00
