序号,企业名称,级别,单位地址,企*法人,统一社会信用代码/注册号
1,北京嘉和一品企业管理有限公司（南法信）,市级,北京市顺义区南陈路南法信段29号,唐*,9111011372396468XB
2,北京峰盈新顺餐饮管理有限公司（北石槽）,市级,北京市顺义区北石槽镇良善庄村村委会南500米,张*新,911011366911398XU
3,北京顺鑫农业股份有限公司鹏程食品分公司（南法信）,市级,北京市顺义区南法信地区顺沙路南侧,贠*德,911101136000470219
4,北京顺鑫农业股份有限公司创新食品分公司（高丽营）,市级,北京市顺义区高丽营镇金马工业区16号,赵*田,91110113786859465C
5,北京顺鑫石门国际农产品批发市场集团有限公司（旺泉街道）,国家级,北京市顺义区仁和地区石门村,贠*德,911101131025643844
6,北京优帝鸽业有限公司（大孙各庄）,国家级,北京市顺义区大孙各庄镇湘王庄村东2000米,刘*春,9111011368357175XN
7,北京顺鑫农业股份有限公司（胜利街道）,国家级,北京市顺义区站前街1号院1号楼顺鑫国际商务中心13层,李*林,91110000633712032W
8,北京牵手果蔬饮品股份有限公司（牛栏山）,国家级,北京市顺义区牛汇街1号1幢,李*阳,911100007699033808
9,北京汇源饮料食品集团有限公司（北小营）,国家级,北京市顺义区北小营镇府前街北侧,朱*彤,91110000802606485Y
10,北京中地种畜有限公司（大孙各庄）,国家级,北京市顺义区大孙各庄镇吴雄寺村村委会西200米,庞*,911100007635415000
11,北京市恒慧通肉类食品有限公司（高丽营）,国家级,北京市顺义区高丽营镇金马工业区23号,鹿*荣,91110113102544578B
12,北京家禽育种有限公司（赵全营镇）,市级,北京市顺义区赵全营镇昌金路临58号,王*思,91110000600012689Y
13,北京大风家禽育种有限责任公司（李桥镇）,市级,顺义区汇海南路1号院11号楼15层,田*,91110109744734090M
,,,,*,
,,,,*,
