2022-12（住建委）-顺义区建设工程施工项目中标信息,工程编码,工程名称,招标人,中标人
,222F0SG202200001,顺义区馨港庄园市政给水接入工程（顺义区馨港庄园市政给水接入工程）,北京顺义自来水有限责任公司,北京双盈达建设集团有限公司
,222F0SG202200002,顺义区智能网联测试场市政配套工程,北京市顺义区北小营镇人民政府,北京天龙建筑集团有限公司
,222F0SG202200003,顺义区中医医院感染性疾病科建设工程项目（感染性疾病科楼）,北京市顺义区卫生健康委员会,北京市顺建工程有限公司
,222F0SG202200004,顺义新城第四街区汽车厂房改扩建项目（1#仓库及连廊等11项）,北京顺义科技创新集团有限公司,中国新兴建设开发有限责任公司
,222F0SG202200005,顺义区垃圾渗沥液处理工程,北京市顺义区城市管理委员会,北京高能时代环境技术股份有限公司-北京市恒锋市政工程有限公司联合体
,222F0SG202200006,北京市顺义区人民法院李遂人民法庭建设工程（审判业务楼等4项）,北京市顺义区人民法院,北京中瑞顺通建设工程有限公司
,222F0SG202200007,天北路（安宁大街-京密路）中压市政燃气管线工程（天北路（安宁大街-京密路）中压市政燃气管线工程）,北京顺义燃气有限责任公司,北京顺天顺水市政工程有限公司
,222F0SG202200008,高丽营镇夏县营棚改周边鑫鼎街（喜达路～火寺路）道路工程（高丽营镇夏县营棚改周边鑫鼎街（喜知路～火寺路）道路工程）及市政配套工程,北京市顺义区高丽营镇人民政府,中北华宇建筑工程公司
,222F0SG202200009,城乡供水一体化一期（昌金路、腾仁路、李魏路）工程,北京顺义自来水有限责任公司,北京顺天顺水市政工程有限公司
,222F0SG202200010,北京市顺义区人民法院牛栏山法庭建设工程（审批业务楼等2项）,北京市顺义区人民法院,北京市顺建工程有限公司
,222F0SG202200011,顺义区2020年老旧小区综合整治工程,北京市顺义区住房和城乡建设委员会,北京市顺建工程有限公司
,222F0SG202200012,顺义区后沙峪镇西泗上村棚户区改造土地开发项目,北京天房银地房地产开发有限公司,北京大龙顺发建筑工程有限公司
,222F0SG202200013,李遂卫生院门诊楼改扩建项目（医疗建筑）,北京市顺义区李遂社区卫生服务中心（北京市顺义区李遂镇卫生院）,北京市顺建工程有限公司
,222F0SG202200014,顺义区牛栏山镇原涤纶厂及维尼纶厂生活区棚户区改造土地开发项目回迁安置房工程（1#住宅楼等3项）,北京房地新城置业有限公司,北京房修一建筑工程有限公司
,222F0SG202200015,北京市顺义区杨镇第一中学体育看台新建工程（体育看台）,北京市顺义区杨镇第一中学,北京当代创新建设工程有限责任公司
,222F0SG202200016,顺义区尹家府中心幼儿园改扩建工程（1号楼及室外连廊等3项）,北京市顺义区大孙各庄镇人民政府,北京鲁班建筑工程有限公司
