2022年顺义区农业标准化基地名录,,,,,,
序号,基地编号,基地名称,基地地址,行业,评定等级,评定年份
1,2220120150008,北京绿兴特食用菌合作社,北京市顺义区木林镇陀头庙村,种植业,良好级,2022
2,2220120150037,北京紫耘御禾科技有限公司,顺义区高丽营镇河津营村,种植业,达标级,2020
3,1130120190003,北务镇陈辛庄村经济合作社,顺义区北务镇陈辛庄村,种植业,达标级,2020
4,2220120150015,北京神农河谷稻香农业发展有限公司,北京市顺义区北小营镇东府村委会北侧300米,种植业,优级,2018
5,2220120160144,北京市杰海农业科技发展有限公司,顺义区北务镇林上村,种植业,优级,2022
6,1130120180014,北京龙湾巧嫂农业科技有限公司,顺义区龙湾屯镇山里辛庄村,种植业,良好级,2020
7,2220120170127,北京旭万稼农业技术开发有限公司,顺义区大孙各庄镇大石各庄村,种植业,优级,2018
8,2220120170128,北京海通生态农业发展有限公司,顺义区李桥镇王家场村,种植业,优级,2018
9,2220120150031,北京地源遂航农业发展有限公司,北京市顺义区李遂镇后营村,种植业,优级,2015
10,2220120150024,北京尚品天缘农业科技有限公司,北京市顺义区赵全营镇燕华营村,种植业,优级,2019
11,1130120200002,北京草帽人家农业科技有限公司,北京市顺义区杨镇辛庄户村,种植业,优级,2021
12,2220120150033,北京三分地农业科技有限公司,顺义区北务镇林上村,种植业,优级,2015
13,2220120150018,北京源生健生态农业有限公司,北京市顺义区大孙各庄镇西尹家府村村委会南侧500米,种植业,优级,2018
14,1130120200007,北京市顺义区杨镇农业农村服务中心,北京市顺义区杨镇安乐庄村,种植业,良好级,2022
15,2220120150034,北京市北郎中果品产销中心,北京市顺义区赵全营镇北郎中村,种植业,优级,2015
16,2220120150002,北京市裕农优质农产品种植有限公司顺义分公司,顺义区杨镇二街,种植业,优级,2021
17,1130120200003,北京新都芳生态农业有限责任公司,北京市顺义区杨镇辛庄户村,种植业,良好级,2022
18,2220120170125,北京硕丰磊白山药产销专业合作社,顺义区木林镇王泮庄村、顺义区北小营,种植业,达标级,2020
19,2220120150019,（别庄）东周丰源（北京）有机农业有限公司,北京市顺义区杨镇别庄村,种植业,优级,2018
20,1130120180007,北京农家宜农业科技有限公司,北京市顺义区木林镇大林村,种植业,优级,2018
21,1130120180020,北京好田园生态农业有限公司,顺义区北石槽镇二张营村,种植业,优级,2019
22,1130120190002,北务镇仓上村经济合作社,顺义区北务镇仓上村,种植业,达标级,2020
23,1130120180009,北京蔬之家农业科技有限公司,北京市顺义区杨镇松各庄村,种植业,优级,2020
24,1130120180002,正谷（北京）农业发展有限公司,顺义区大孙各庄镇南聂庄村,种植业,优级,2020
25,2220120150007,北京绿富农果蔬产销专业合作社,顺义区木林镇贾山村,种植业,优级,2022
26,1130120180023,北京南山居葡萄采摘有限公司,顺义区杨镇汉石桥村,种植业,优级,2020
