行政处罚决定书文号,处罚依据,处罚类别,处罚决定日期
顺环保监察罚字〔2021〕255号,依据《中华人民共和国水污染防治法》第八十二条第一款、第一款第（二）项和《北京市生态环境行政处罚自由裁量基准》的规定,罚款,2022-01-10
顺环保监察罚字〔2021〕249号,依据《中华人民共和国大气污染防治法》第一百零八条第一款、第一款第（一）项和《北京市生态环境行政处罚自由裁量基准》的规定,罚款,2022-01-10
顺环保监察罚字〔2021〕245号,《北京市大气污染防治条例》第一百零九条,罚款,2022-01-10
顺环保监察罚字〔2021〕257号,《北京市大气污染防治条例》第一百零八条第一款,罚款,2022-01-10
顺环保监察罚字〔2021〕258号,《北京市大气污染防治条例》第一百零九条,罚款,2022-01-10
顺环保监察罚字〔2021〕246号,《北京市大气污染防治条例》第一百零八条第一款,罚款,2022-01-10
顺环保监察罚字〔2021〕248号,《北京市大气污染防治条例》第一百零八条第一款,罚款,2022-01-10
顺环保车罚字〔2021〕238号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-01-17
顺环保车罚字〔2021〕248号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-01-17
顺环保车罚字〔2021〕244号,《中华人民共和国大气污染防治法（2016版）》第五十一条第一款,罚款,2022-01-18
顺环保车罚字〔2021〕245号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-01-18
顺环保车罚字〔2021〕246号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-01-18
顺环保车罚字〔2021〕239号,《中华人民共和国大气污染防治法（2016版）》第五十一条第一款,罚款,2022-01-18
顺环保车罚字〔2021〕240号,《中华人民共和国大气污染防治法（2016版）》第五十一条第一款,罚款,2022-01-18
顺环保车罚字〔2021〕241号,《中华人民共和国大气污染防治法（2016版）》第五十一条第一款,罚款,2022-01-18
顺环保车罚字〔2021〕242号,《中华人民共和国大气污染防治法（2016版）》第五十一条第一款,罚款,2022-01-18
顺环保车罚字〔2021〕243号,《中华人民共和国大气污染防治法（2016版）》第五十一条第一款,罚款,2022-01-18
顺环保监察罚字〔2021〕259号,依据《北京市大气污染防治条例》第一百零八条第一款的规定,罚款,2022-01-19
顺环保监察罚字〔2021〕262号,依据《北京市大气污染防治条例》第一百零九条的规定,罚款,2022-01-19
顺环保监察罚字〔2021〕261号,依据《北京市大气污染防治条例》第一百零八条第一款的规定和《北京市生态环境系统行政处罚自由裁量基准》中餐饮业经营者违反油烟净化设施使用规定自由裁量权规范中，1≤灶头个数﹤3（小型）类别，不正常使用油烟净化设施，超标倍数≤3倍（实际监测）情节的规范。,罚款,2022-01-19
顺环保监察罚字〔2021〕263号,依据《中华人民共和国环境影响评价法（2016修订）》第三十一条第一款的规定,罚款,2022-01-19
顺环保监察罚字〔2021〕254号,《中华人民共和国大气污染防治法》第四十七条第二款,罚款,2022-01-27
顺环保车罚字〔2021〕249号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-01-27
顺环保车罚字〔2021〕250号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-01-27
顺环保车罚字〔2022〕001号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-01-27
顺环保监察罚字〔2021〕260号,《中华人民共和国大气污染防治法（2016版）》第47条第2款,罚款,2022-02-21
顺环保车罚字〔2021〕247号,《中华人民共和国大气污染防治法（2016版）》第五十一条第一款,罚款,2022-02-21
顺环辐射罚字〔2022〕第1号,《放射性同位素与射线装置安全和防护条例》第五十二条第（一）项和《北京市生态环境行政处罚自由裁量基准》的规定,罚款,2022-02-23
顺环保监察罚字〔2022〕002号,《中华人民共和国大气污染防治法（2016版）》第四十七条第二款,罚款,2022-02-28
顺环保车罚字〔2022〕003号,《北京市大气污染防治条例》第七十四条第二款,罚款,2022-02-28
顺环保监察罚字〔2022〕008号,依据《北京市大气污染防治条例》第一百零八条第一款的规定,罚款,2022-02-28
顺环保监察罚字〔2022〕001号,依据《北京市大气污染防治条例》第一百零九条和《北京市生态环境行政处罚自由裁量基准》的规定,罚款,2022-02-28
顺环保监察罚字〔2022〕003号,依据《突发环境事件应急管理办法》第三十八条第一款第（三）项的规定,罚款,2022-02-28
顺环保车罚字〔2022〕002号,《北京市大气污染防治条例》第七十四条第二款,罚款,2022-03-01
顺环保监察罚字〔2022〕16号,依据《北京市大气污染防治条例》第九十四条和《北京市生态环境行政处罚裁量基准（2022版）》的规定,罚款,2022-03-16
顺环辐射罚字〔2022〕第2号,《放射性同位素与射线装置安全和防护条例》第五十二条第（二）项和《北京市生态环境行政处罚自由裁量基准》的规定,罚款,2022-03-17
顺环保监察罚字〔2022〕007号,依据《北京市大气污染防治条例》第一百零九条与《北京市生态环境行政处罚裁量基准》的规定,罚款,2022-03-21
顺环保监察罚字〔2022〕009号,依据《中华人民共和国大气污染防治法（2016版）》第108条第1款第1项与《北京市生态环境行政处罚裁量基准》的规定,罚款,2022-03-21
顺环保监察罚字〔2022〕12号,依据《中华人民共和国大气污染防治法》第一百条第一款、第一款第三项的规定和《北京市生态环境行政处罚自由裁量基准》中违反排放口设置、自动监测设备安装使用制度自由裁量权规范中，大气污染物排放自动监测设备类别、未按照规定使用自动监测设备情节的规范,罚款,2022-03-21
顺环保监察罚字〔2022〕15号,依据《中华人民共和国大气污染防治法》第一百条第一款、第一款第三项的规定和《北京市生态环境行政处罚自由裁量基准》中违反排放口设置、自动监测设备安装使用制度自由裁量权规范中，大气污染物排放自动监测设备类别、未按照规定使用自动监测设备情节的规范,罚款,2022-03-21
顺环保监察罚字〔2022〕14号,依据《突发环境事件应急管理办法》第三十八条第一款、第一款第三项的规定,罚款,2022-03-21
顺环保监察罚字〔2022〕11号,依据《北京市大气污染防治条例》第一百零九条和《北京市生态环境行政处罚自由裁量基准》的规定,罚款,2022-03-22
顺环保监察罚字〔2022〕019号,《北京市大气污染防治条例》第一百零八条第一款的规定,罚款,2022-03-23
顺环保监察罚字〔2022〕005号,依据《中华人民共和国大气污染防治法（2016版）》第一百零八条第一款、第一款第一项的规定,罚款,2022-03-23
顺环保监察罚字〔2022〕006号,依据《中华人民共和国环境影响评价法（2016修订）》第三十一条第一款的规定,罚款,2022-03-23
顺环保监察罚字〔2022〕004号,依据北京市大气污染防治条例（2018版）》第一百零九条的规定,罚款,2022-03-23
顺环保监察罚字〔2022〕017号,依据北京市大气污染防治条例》第九十四条的规定,罚款,2022-03-23
顺环保监察罚字〔2022〕018号,依据北京市大气污染防治条例》第九十四条的规定,罚款,2022-03-23
顺环保监察罚字〔2022〕010号,《北京市机动车和非道路移动机械排放污染防治条例》第二十条第一款第四项,罚款,2022-03-24
顺环保车罚字〔2022〕006号,《北京市大气污染防治条例》第七十四条第二款,罚款,2022-03-28
顺环保车罚字〔2022〕007号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-03-28
顺环保监察罚字〔2022〕021号,《北京市大气污染防治条例》第一百零九条,罚款,2022-03-30
顺环保车罚字〔2022〕008号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-04-01
顺环保监察罚字〔2022〕020号,《北京市大气污染防治条例》第三十五条第二款,罚款,2022-04-07
顺环保车罚字〔2022〕012号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-04-08
顺环保监察罚字〔2022〕13号,依据《中华人民共和国大气污染防治法》第一百零八条第一款、第一款第（一）项和《北京市生态环境行政处罚裁量基准（2022版）》的规定,罚款,2022-04-11
顺环保车罚字〔2022〕009号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-04-14
顺环保车罚字〔2022〕010号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-04-14
顺环保车罚字〔2022〕011号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-04-14
顺环保车罚字〔2022〕013号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-04-14
顺环保监察罚字〔2022〕022号,《北京市大气污染防治条例》第三十五条第二款,罚款,2022-04-15
顺环保车罚字〔2022〕015号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-04-20
顺环罚字〔2022〕第1号,依据《中华人民共和国环境影响评价法》第三十一条第一款和《北京市生态环境行政处罚裁量基准》的规定,罚款,2022-04-25
顺环保车罚字（2022〕014号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-04-28
顺环保监察罚字〔2022〕24号,依据《北京市大气污染防治条例》第一百零八条第一款和《北京市生态环境行政处罚自由裁量基准》的规定,罚款,2022-05-05
顺环辐射罚字〔2022〕第3号,《放射性同位素与射线装置安全和防护条例》第五十二条第（一）项和《北京市生态环境行政处罚自由裁量基准》的规定,罚款,2022-05-06
顺环辐射罚字〔2022〕第4号,《中华人民共和国环境影响评价法》第三十一条第一款和《北京市生态环境系统行政处罚自由裁量基准》的规定,罚款,2022-05-06
顺环辐射罚字〔2022〕第5号,《中华人民共和国环境影响评价法》第三十一条第一款和《北京市生态环境系统行政处罚自由裁量基准》的规定,罚款,2022-05-06
顺环保车罚字〔2022〕017号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-05-12
顺环保车罚字〔2022〕018号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-05-12
顺环保监察罚字〔2022〕028号,《中华人民共和国大气污染防治法》第四十七条第二款,罚款,2022-05-26
顺环保监察罚字〔2022〕26号,依据《北京市大气污染防治条例》第一百零八条第一款和《北京市生态环境行政处罚自由裁量基准》的规定,罚款,2022-05-30
顺环保车罚字〔2022〕019号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-05-30
顺环保车罚字〔2022〕016号,《北京市大气污染防治条例》第七十四条第二款,罚款,2022-05-30
顺环保车罚字〔2022〕021号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-05-30
顺环保车罚字〔2022〕025号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-05-30
顺环保监察罚字〔2022〕036号,《北京市大气污染防治条例》第三十五条第二款,罚款,2022-05-30
顺环保监察罚字〔2022〕27号,依据《北京市大气污染防治条例》第一百零八条第一款和《北京市生态环境行政处罚自由裁量基准》的规定,罚款,2022-06-01
顺环保监察罚字〔2022〕30号,依据《中华人民共和国大气污染防治法》第一百条第一款、第一款第三项和《北京市生态环境行政处罚自由裁量基准》的规定,罚款,2022-06-01
顺环保监察罚字〔2022〕29号,《中华人民共和国大气污染防治法》第一百条第一款、第一款第三项的规定,罚款,2022-06-01
顺环保监察罚字〔2022〕025号,《中华人民共和国大气污染防治法》第四十五条,罚款,2022-06-01
顺环保监察罚字〔2022〕032号,《中华人民共和国大气污染防治法》第二十四条第一款,罚款,2022-06-01
顺环保监察罚字〔2022〕031号,《中华人民共和国大气污染防治法》第二十四条第一款,罚款,2022-06-01
顺环保监察罚字〔2022〕023号,依据《北京市大气污染防治条例》第一百零九条与《北京市生态环境行政处罚裁量基准》的规定,罚款,2022-06-08
顺环保监察罚字〔2022〕035号,依据《中华人民共和国环境影响评价法》第三十一条第一款的规定,罚款,2022-06-13
顺环保车罚字〔2022〕022号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-06-14
顺环保车罚字〔2022〕024号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-06-14
顺环保车罚字〔2022〕023号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-06-14
顺环保车罚字〔2022〕020号,《北京市大气污染防治条例》第七十四条第二款,罚款,2022-06-14
顺环保车罚字〔2022〕026号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-06-21
顺环保车罚字〔2022〕027号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-06-21
顺环保监察罚字〔2022〕038号,《中华人民共和国大气污染防治法》第四十七条第二款,罚款,2022-06-21
顺环保监察罚字〔2022〕034号,依据《北京市大气污染防治条例》第一百零九条和《北京市生态环境行政处罚自由裁量基准》的规定,罚款,2022-06-21
顺环保监察罚字〔2022〕33号,《中华人民共和国行政处罚法》第二十三条和《中华人民共和国大气污染防治法》第一百条第一款、第一款第三项的规定,罚款,2022-06-23
顺环保车罚字〔2022〕029号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-06-27
顺环保车罚字〔2022〕030号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-06-27
顺环保车罚字（2022〕028号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-06-28
顺环保车罚字〔2022〕032号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-07-01
顺环保车罚字〔2022〕036号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-07-01
顺环保车罚字〔2022〕033号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-07-05
顺环保车罚字〔2022〕034号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-07-05
顺环保车罚字〔2022〕037号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-07-05
顺环保车罚字〔2022〕031号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-07-05
顺环保监察罚字〔2022〕40号,依据《北京市大气污染防治条例》第一百零九条和《北京市生态环境行政处罚裁量基准（2022版）》的规定,罚款,2022-07-06
顺环保监察罚字〔2022〕037号,《建设项目环境保护管理条例》第二十三条第一款,罚款,2022-07-07
顺环罚字〔2022〕第2号,《中华人民共和国水污染防治法》第八十三条第一款、第一款第二项,罚款,2022-07-08
顺环保车罚字〔2022〕039号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-07-11
顺环保车罚字〔2022〕040号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-07-11
顺环保车罚字〔2022〕043号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-07-11
顺环保车罚字〔2022〕038号,《中华人民共和国大气污染防治法》第五十一条第一款,罚款,2022-07-18
顺环保车罚字〔2022〕042号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-07-18
顺环保监察罚字〔2022〕042号,《中华人民共和国环境影响评价法（2016修订）》第三十一条第一款,罚款,2022-07-18
顺环保车罚字〔2022〕035号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-07-18
顺环保车罚字〔2022〕041号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-07-19
顺环保车罚字〔2022〕044号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-07-20
顺环保车罚字〔2022〕045号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-07-20
顺环保车罚字〔2022〕051号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-07-26
顺环保车罚字〔2022〕054号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-07-26
