数据归集统计,,
2021-01-01至2021-12-20,,
,行政许可统计,行政处罚统计
顺义区经信局,0,0
顺义区发展改革委,183,0
顺义区教委,15,0
顺义区科委,0,0
顺义区民族宗教事务办公室,14,0
顺义区委社会工委顺义区民政局,86,0
顺义区司法局,0,0
顺义区财政局,28,2
顺义区人力社保局,410,18
顺义区生态环境局,483,491
顺义区住房城市建设委,684,261
顺义区水务局,1747,108
顺义区文化和旅游局,124,39
顺义区编办,214,0
顺义区档案局,0,0
顺义区新闻出版局,279,0
顺义区城市管理委,517,0
顺义区卫生健康委,870,177
顺义区人防办,94,4
顺义区农业农村局,1059,78
顺义区园林绿化局,770,5
顺义区应急局,53,70
顺义区商务局,8,0
顺义区体育局,19,2
顺义区交通局,599,427
顺义区地震局,0,0
顺义区审计局,0,0
顺义区统计局,0,12
顺义区城管执法局,0,242
胜利街道办事处,0,156
光明街道办事处,0,149
仁和镇人民政府,0,443
后沙峪镇人民政府,0,270
天竺镇人民政府,0,305
杨镇人民政府,0,302
牛栏山镇人民政府,0,379
南法信镇人民政府,0,328
马坡镇人民政府,0,298
石园街道办事处,0,175
空港街道办事处,0,192
双丰街道办事处,0,74
旺泉街道办事处,0,86
高丽营镇人民政府,0,435
李桥镇人民政府,0,460
李遂镇人民政府,0,253
南彩镇人民政府,0,263
北务镇人民政府,0,144
大孙各庄镇人民政府,0,359
张镇人民政府,0,558
龙湾屯镇人民政府,0,178
木林镇人民政府,0,543
北小营镇人民政府,0,446
北石槽镇人民政府,0,285
赵全营镇人民政府,0,337
总计,8256,9354
