序号,行政区划名称,统一社会信用代码,单位名称,重点排污单位所属类别
1,顺义区,91110113801148822G,SMC（北京）制造有限公司,大气环境重点排污单位、土壤污染监管单位、环境风险管控单位
2,顺义区,91110113744705935T,北京三立车灯有限公司,大气环境重点排污单位
3,顺义区,91110113737672872E,北京世桥生物制药有限公司,水环境重点排污单位
4,顺义区,121101104009440992,北京中医医院顺义医院（新院区）,水环境重点排污单位
5,顺义区,9111011378775020XP,北京京禹顺环保有限公司顺义区污水处理厂,水环境重点排污单位
6,顺义区,91110113780960706E,北京仁和热力中心,大气环境重点排污单位
7,顺义区,911101137699195008,北京信得威特科技有限公司,水环境重点排污单位
8,顺义区,91110000726378627Q,北京北一机床有限责任公司,大气环境重点排污单位
9,顺义区,91110113783212893C,北京同晟水净化有限公司北京天竺污水处理厂,水环境重点排污单位
10,顺义区,911101131025496064,北京天利动力供热有限公司天利一厂,大气环境重点排污单位
11,顺义区,911101131025496064,北京天利动力供热有限公司天利二厂,大气环境重点排污单位
12,顺义区,91110113102542003R,北京天房市政工程管理有限公司,大气环境重点排污单位
13,顺义区,91110113MA01DYCWXC,北京奔驰汽车有限公司顺义分公司,水环境重点排污单位、大气环境重点排污单位、环境风险重点管控单位
14,顺义区,12110110400944158C,北京市顺义区医院,水环境重点排污单位
15,顺义区,91110113760144832F,北京林河诚信热力有限公司,大气环境重点排污单位
16,顺义区,91110113344302387N,北京格润美顺环境科技有限公司顺义新城牛栏山再生水厂,水环境重点排污单位
17,顺义区,91110113MA00DBQ38R,北京汽车集团越野车有限公司,水环境重点排污单位、大气环境重点排污单位、环境风险重点管控单位
18,顺义区,91110000633646901B,北京燕京啤酒股份有限公司,水环境重点排污单位
19,顺义区,911101138024982016,北京燕京啤酒股份有限公司一分公司,水环境重点排污单位
20,顺义区,911101137825060992,北京牛山供热中心,大气环境重点排污单位
21,顺义区,91110113742607493X,北京牛栏山物业管理中心康乐小区锅炉房,大气环境重点排污单位
22,顺义区,91110113569543835W,北京牛栏山顺利供热中心,大气环境重点排污单位
23,顺义区,911100007433003008,北京现代摩比斯汽车零部件有限公司,水环境重点排污单位、大气环境重点排污单位、环境风险重点管控单位
24,顺义区,91110113MA0081JUXJ,北京现代汽车有限公司北京分公司第三生产厂区,水环境重点排污单位、大气环境重点排污单位、环境风险重点管控单位
25,顺义区,91110113MA0081JUXJ,北京现代汽车有限公司北京分公司第二生产厂区,水环境重点排污单位、大气环境重点排污单位、环境风险重点管控单位
26,顺义区,91110108802019598M,北京科净源科技股份有限公司顺义区赵全营镇再生水厂,水环境重点排污单位
27,顺义区,91110113700203300R,北京翎羽生物科技有限公司,水环境重点排污单位
28,顺义区,91110113600017180T,北京诚济制药股份有限公司,水环境重点排污单位
29,顺义区,91110113660506285A,北京韩太汽车部件有限公司,水环境重点排污单位
30,顺义区,911101137655358976,北京顺政大龙供热有限公司赵全营锅炉房,大气环境重点排污单位
31,顺义区,911101137655358976,北京顺政大龙供热有限公司（高丽营锅炉房）,大气环境重点排污单位
32,顺义区,911101137655358976,北京顺政大龙供热有限公司城东热源厂,大气环境重点排污单位
33,顺义区,911101137655358976,北京顺政大龙供热有限公司城北热源厂,大气环境重点排污单位
34,顺义区,911101137655358976,北京顺政大龙供热有限公司城西热源厂,大气环境重点排污单位
35,顺义区,911101137655358976,北京顺政大龙供热有限公司杨镇北区供热中心,大气环境重点排污单位
36,顺义区,91110113MA008NEY0W,北京顺政水环境有限公司顺义区污泥处置中心,大气环境重点排污单位、环境风险重点管控单位
37,顺义区,91110113MA008NEY0W,北京顺政水环境有限公司顺义新城温榆河水资源利用工程,水环境重点排污单位
38,顺义区,91110113MA008NEY0W,北京顺政水环境有限公司马坡再生水厂,水环境重点排污单位
39,顺义区,91110113MA008NEY0W,北京顺政水环境有限公司杨镇临时再生水厂,水环境重点排污单位
40,顺义区,91110113MA01GBM48K,北京顺政环保科技有限公司,地下水污染防治重点排污单位、大气环境重点排污单位、环境风险重点管控单位
41,顺义区,911101136000470016,北京顺鑫农业股份有限公司鹏程食品分公司,水环境重点排污单位、大气环境重点排污单位
42,顺义区,91110000710925403T,北京首都国际机场股份有限公司,水环境重点排污单位
43,顺义区,91110000783204578F,北京首都机场动力能源有限公司-暖通分公司集中供热锅炉房,大气环境重点排污单位
44,顺义区,91110000783204578F,北京首都机场动力能源有限公司—1#站锅炉房,大气环境重点排污单位
45,顺义区,91110000783204578F,北京首都机场动力能源有限公司东航空净化站,水环境重点排污单位
46,顺义区,91110000678206539E,北京首钢冷轧薄板有限公司,水环境重点排污单位、大气环境重点排污单位、土壤污染重点监管单位、环境风险重点管控单位
47,顺义区,911100007177428992,威乐（中国）水泵系统有限公司,大气环境重点排污单位
48,顺义区,91110113778643496L,安泰科技股份有限公司北京空港新材分公司,水环境重点排污单位、大气环境重点排污单位、土壤污染重点监管单位、环境风险重点管控单位
49,顺义区,91110000600031230F,尼得科压缩机（北京）有限公司,大气环境重点排污单位、环境风险重点管控单位
50,顺义区,91110113055557914E,曲美家居集团股份有限公司北京第一分公司,大气环境重点排污单位
51,顺义区,91110000600090126J,有研半导体硅材料股份公司,水环境重点排污单位
52,顺义区,91110113600067882F,罗森伯格亚太电子有限公司,水环境重点排污单位、土壤污染监管单位
53,顺义区,911100006259116032,北京飞机维修工程有限公司（北京基地厂区）,水环境重点排污单位、大气环境重点排污单位、环境风险重点管控单位
54,顺义区,91110113723972161F,北京华新凯业物资再生有限公司,环境风险管控单位
55,顺义区,91110113600048921K,北京韩美药品有限公司,环境风险管控单位
56,顺义区,911100006259116032,北京飞机维修工程有限公司A380厂区,环境风险管控单位
57,顺义区,91110113740421011B,北京康蒂尼药业股份有限公司,环境风险管控单位
