主键ID,企业名称,检查实施单位,检查时间,检查事项,检查结果,时间戳,统一社会信用代码
a8d6d9b4a3644239942c3561531e9f8c,北京金斗勺餐饮管理有限公司,北京市门头沟区食品药品监督管理局,,从事接触直接入口食品工作的从业人员持有有效的健康证明。,1,20/3/2025 14:32:36,91110109MA01CHNU1Y
6f2d17bd763d483195b664f76244d9da,北京康益寿大药房,北京市房山区食品药品监督管理局,,违法违规被给予从重处罚的,1,20/3/2025 14:32:36,91110111747514632H
60e4000e0bb14ab1b09867ab274fbc78,北京金斗勺餐饮管理有限公司,北京市门头沟区食品药品监督管理局,,监督检查结果记录表公示的时间、位置等符合要求。,1,20/3/2025 14:32:36,91110109MA01CHNU1Y
3b233c28544d44f9bca6bd34663160ea,北京金斗勺餐饮管理有限公司,北京市门头沟区食品药品监督管理局,,食品添加剂由专人负责保管、领用、登记，并有相关记录。,1,20/3/2025 14:32:36,91110109MA01CHNU1Y
251feeacd2ac4d109a872d58f3c9fecb,北京金斗勺餐饮管理有限公司,北京市门头沟区食品药品监督管理局,,食品原料、半成品与成品在盛放、贮存时相互分开。,1,20/3/2025 14:32:36,91110109MA01CHNU1Y
daf2cfa63ae947888ac8710566772492,北京优胜然生物技术有限公司,北京市门头沟区食品药品监督管理局,,企业负责人应当确保企业按照法律、法规和规章的要求组织生产。,2,26/1/2025 17:37:53,9111010978396530XW
a28916f28a6c44d0a7071a46048b8038,北京吉平劳务分包有限公司,北京市门头沟区食品药品监督管理局,,在经营场所醒目位置公示食品经营许可证。,1,26/1/2025 17:37:53,911101095876763753
9d50bb780c6045dbac45b53d2cdfebf0,北京金斗勺餐饮管理有限公司,北京市门头沟区食品药品监督管理局,,烹饪场所配置排风设备，定期清洁。,1,26/1/2025 17:37:53,91110109MA01CHNU1Y
8ed55bc10f2b4e4697013541a39ce2cc,北京金斗勺餐饮管理有限公司,北京市门头沟区食品药品监督管理局,,在经营场所醒目位置公示食品经营许可证。,1,26/1/2025 17:37:53,91110109MA01CHNU1Y
2a6a52e902684fddb13a4a5bbf1a1cf1,北京永桦金超市,北京市门头沟区食品药品监督管理局,,是否发现国产化妆品由未取得有效的化妆品生产许可证件的企业生产,1,26/1/2025 17:37:53,
f5cc99ce2b59426299418e96ec7d0af5,北京优胜然生物技术有限公司,北京市门头沟区食品药品监督管理局,,企业负责人应当组织制定质量方针和质量目标。,2,24/11/2024 13:33:12,9111010978396530XW
f4eb6a15c85749b58f59310ba0cc170a,北京优尤餐饮管理有限公司,北京市门头沟区食品药品监督管理局,,制定食品安全事故处置方案。,1,24/11/2024 13:33:12,91110109MA01CK0K18
d169ba40666147f0ba6f836602879e1c,北京万物兴便利店　,北京市门头沟区食品药品监督管理局,,是否发现国产化妆品由未取得有效的化妆品生产许可证件的企业生产,1,22/10/2024 13:33:12,
bde73da7413c415bbc289d9fb74d8c9f,北京吉平劳务分包有限公司,北京市门头沟区食品药品监督管理局,,在经营场所醒目位置公示量化等级标识。,1,12/12/2024 11:15:16,911101095876763753
8da4cea7848f46f6b2e3bb8764e60d75,北京仙吉稻餐饮管理有限公司,北京市门头沟区食品药品监督管理局,,在经营场所醒目位置公示食品经营许可证。,1,24/11/2024 13:33:12,91110109MA01CUMD13
7d9ff2454e4144ed9ec1fcb7cb6ff091,北京吉平劳务分包有限公司,北京市门头沟区食品药品监督管理局,,从事接触直接入口食品工作的从业人员持有有效的健康证明。,1,22/12/2024 13:33:12,911101095876763753
714efc0f42e64a42a5a927bbbf399537,北京博达康盛医药有限公司,北京市房山区食品药品监督管理局,,违法违规被给予一般处罚的,1,22/10/2024 13:33:12,91110111318299129N
69eae8aa3e1a487ba9be2e215f90b14f,佰润森（北京）科技有限公司,药品监管科,12/11/2018 00:00:00,计算机信息管理系统检查评定细则,1,22/12/2024 13:33:12,91110302MA00H2KB2D
5c096dbdc16f438ea1202ab4fb8e2a9e,北京吉平劳务分包有限公司,北京市门头沟区食品药品监督管理局,,主要负责人知晓食品安全责任，有食品安全管理人员。,1,24/11/2024 13:33:12,911101095876763753
4252c2c232af42feba4d7edaaef031df,北京吉平劳务分包有限公司,北京市门头沟区食品药品监督管理局,,监督检查结果记录表公示的时间、位置等符合要求。,1,13/12/2024 13:15:16,911101095876763753
3a4f72b42450499b9c4dbe0b4f4d4abb,北京优胜然生物技术有限公司,北京市门头沟区食品药品监督管理局,,生产管理部门和质量管理部门负责人不得互相兼任。,2,13/12/2024 14:15:16,9111010978396530XW
35c2421c2737483d9eebf295c27fded9,北京优胜然生物技术有限公司,北京市门头沟区食品药品监督管理局,,企业负责人应当确定一名管理者代表。 ,2,12/12/2024 11:15:16,9111010978396530XW
2c5aebeaa0e44e79b0200c0f11280a0f,北京博达康盛医药有限公司,北京市房山区食品药品监督管理局,,未收集公众反映的不良反应信息的,1,22/10/2024 13:33:12,91110111318299129N
2c37f6b7967d469193dd165934f3aeb2,北京金斗勺餐饮管理有限公司,北京市门头沟区食品药品监督管理局,,用水符合生活饮用水卫生标准。,1,13/12/2024 13:15:16,91110109MA01CHNU1Y
2aa34239a2244cb58d1f5e90a2b5fcd4,北京优胜然生物技术有限公司,北京市门头沟区食品药品监督管理局,,企业负责人应当确保质量管理体系有效运行所需的人力资源、基础设施和工作环境。,2,13/12/2024 13:15:16,9111010978396530XW
2709ecf4b80f4f63a207ada77a46aeb8,北京博达康盛医药有限公司,北京市房山区食品药品监督管理局,,违法违规被给予从重处罚的,1,22/12/2024 13:33:12,91110111318299129N
1607d77f26b74eba915232e262a288ca,北京金斗勺餐饮管理有限公司,北京市门头沟区食品药品监督管理局,,制定食品安全事故处置方案。,1,12/12/2024 11:15:16,91110109MA01CHNU1Y
f8ad5442e7b34dea97f241f72ae3fec4,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,未发现超范围、超限量使用食品添加剂的情况。,1,5/9/2024 14:05:01,91110113757731032D
f4ead28984754e6580caf7ad4d340727,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,实际生产的特殊食品按规定注册或备案，注册证书或备案凭证符合要求。,1,5/9/2024 14:05:01,91110113757731032D
ec7f35e1d36f490a93a06fbd2ae1dce5,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,建立并执行从业人员健康管理制度，从事接触直接入口食品工作的人员具备有效健康证明，符合相关规定。,1,5/9/2024 14:05:01,91110113757731032D
eb7c86857edb48fd9dcdcef99298ae42,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,生产现场未发现人流、物流交叉污染。,1,5/9/2024 14:05:01,91110113757731032D
eafd8feaef15420f938babcefd1c5285,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,不合格品在划定区域存放，具有明显标示。,1,5/9/2024 14:05:01,91110113757731032D
e4fe57d9aeeb4dcd993b577ed453bac0,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,生产的食品、食品添加剂在许可范围内。,1,5/9/2024 14:05:01,91110113757731032D
e25ec11294ba46199037856c244ac089,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,食品原料、食品相关产品的贮存有专人管理，贮存条件符合要求。,1,5/9/2024 14:05:01,91110113757731032D
de981ec43a7b475aaf678d6d777838f4,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,有食品安全管理人员、食品安全专业技术人员培训和考核记录，未发现考核不合格人员上岗。,1,5/9/2024 14:05:01,91110113757731032D
d758e4594fa34f83817bd95d55681ae4,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,有召回食品无害化处理、销毁等措施，未发现召回食品再次流入市场（对因标签存在瑕疵实施召回的除外）。,1,5/9/2024 14:05:01,91110113757731032D
d71987f7057e43348d72594f344dc157,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,仓库温湿度符合要求。,1,5/9/2024 14:05:01,91110113757731032D
d6387ecca3684a10854eb74450037c36,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,未发现待加工食品与直接入口食品、原料与成品交叉污染。,1,5/9/2024 14:05:01,91110113757731032D
ced55ecbd3014543a83d7a82a0746d84,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,特殊食品标签、说明书内容与注册或备案的内容要求一致，符合相关法律法规要求。,1,5/9/2024 14:05:01,91110113757731032D
cbe26971b4e54321a2582ac356b8cef2,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,按规定时限保存检验留存样品并记录留样情况。,1,5/9/2024 14:05:01,91110113757731032D
c8bc892dd0ac4cb2b25976cfd37a0535,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,生产记录中的生产工艺和参数与准予食品生产许可时保持一致。,1,5/9/2024 14:05:01,91110113757731032D
bff34275fd514358b42a85822df4a7fc,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,委托方、受托方具有有效证照，委托生产的食品、食品添加剂符合法律、法规、食品安全标准等规定。,1,5/9/2024 14:05:01,91110113757731032D
ba4dd7cf1762445484cda09993d3884f,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,未发现转基因食品、辐照食品未按规定标示。,1,5/9/2024 14:05:01,91110113757731032D
b8ce44abd30a4ea0a00adc80861cbf42,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,委托生产的食品标签清晰标注委托方、受托方的名称、地址、联系方式等信息。,1,5/9/2024 14:05:01,91110113757731032D
b7924d6924b44c24ae202f46ec9fa285,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,未发现食品、食品添加剂的标签、说明书涉及疾病预防、治疗功能，未发现保健食品之外的食品标签、说明书涉及保健功能。,1,5/9/2024 14:05:01,91110113757731032D
acf110ea71c748319037365cf168fbe2,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,企业自检的，具备与所检项目适应的检验室和检验能力，有检验相关设备及化学试剂，检验仪器按期检定或校准。,1,5/9/2024 14:05:01,91110113757731032D
a906ee2ee4654b6fb4c237a4db451599,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,建立并实施食品安全追溯制度，并有相应记录。,1,5/9/2024 14:05:01,91110113757731032D
9e2bbc1285014d69bf7c8d0981ac1438,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,查验食品原料、食品添加剂、食品相关产品供货者的许可证、产品合格证明文件等；供货者无法提供有效合格证明文件的，有检验记录。,1,5/9/2024 14:05:01,91110113757731032D
928ec8913f854d539766d21ff56c697e,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,食品生产加工用水的水质符合规定要求并有检测报告，与其他不与食品接触的用水以完全分离的管路输送。,1,5/9/2024 14:05:01,91110113757731032D
906c941958774de99ae2f95b14a8b9af,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,未发现食品安全追溯信息记录不真实、不准确等情况。,1,5/9/2024 14:05:01,91110113757731032D
8ac36d12198e4feb8d67e002ddf3a069,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,对前次监督检查发现的问题完成整改。,1,5/9/2024 14:05:01,91110113757731032D
87587896eb7448569c3d0450f5578eac,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,监控设备（如压力表、温度计）定期检定或校准、维护，并有相关记录。,1,5/9/2024 14:05:01,91110113757731032D
85f94b9780d4479995b60cf26e07d7c9,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,定期对生产质量管理体系的运行情况进行自查，保证其有效运行，并向所在地县级人民政府市场监督管理部门提交自查报告，自查发现问题整改率达100%。,1,5/9/2024 14:05:01,91110113757731032D
834e3ce0ee104050aad81d6de2e3876f,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,实施不安全食品的召回，召回和处理情况向所在地市场监管部门报告。,1,5/9/2024 14:05:01,91110113757731032D
808dd1a3882d46f29153c1957b85a9a5,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,设备布局和工艺流程、主要生产设备设施与准予食品生产许可时保持一致。,1,5/9/2024 14:05:01,91110113757731032D
79246e354e6d4154914b54f274186b26,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,有食品安全处置方案，并定期检查食品安全防范措施落实情况，及时消除食品安全隐患。,1,5/9/2024 14:05:01,91110113757731032D
79119cbeec574cde958ac472a6c6d5bb,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,有委托方对受托方生产行为进行监督的记录。,1,5/9/2024 14:05:01,91110113757731032D
76c2d6b236ff46c3b68ee47fdeb43e54,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,使用的食品原料、食品添加剂、食品相关产品的品种与索证索票、进货查验记录内容一致。,1,5/9/2024 14:05:01,91110113757731032D
6cd8cab8d9384b4ba2ddc85a7ba7a857,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,未发现标注虚假生产日期或批号的情况。,1,5/9/2024 14:05:01,91110113757731032D
6bd9ebd815d1405788d86c3ba44dca40,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,有召回计划、公告等相应记录；召回食品有处置记录。,1,5/9/2024 14:05:01,91110113757731032D
69856a50195145f197a0d4e61dba252e,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,有出厂记录，如实记录食品的名称、规格、数量、生产日期或者生产批号、检验合格证明、销售日期以及购货者名称、地址、联系方式等内容。,1,5/9/2024 14:05:01,91110113757731032D
