序号,企业名称,区县,负责人,电话,产品
1,北京鑫桃源商贸有限公司,平谷区,陈*松,186****7071,"平谷大桃,核桃,红肖梨,蜜梨,无核黑枣,板栗,葡萄"
2,北京野馨科技发展有限公司,平谷区,赵*梅,188****6636,"野生荆花蜜,野生酸枣蜜,洋槐蜂蜜,枣花成熟蜜,荆花成熟蜜,巢蜜,百花成熟蜜,金海湖多花蜜,鲜蜂王浆,花粉"
3,北京禾瑞谷科技发展有限公司,通州区,刘*园,135****5987,樱桃
4,金果天地（北京）生态科技有限公司,通州区,佟*,139****6559,"樱桃,桃,苹果,金粉苹果"
5,北京绿水峡谷果蔬产销专业合作社,平谷区,王*柱,133****1758,桃
6,北京奥金达蜂产品专业合作社,密云区,办*室,010****2610,原产地蜂蜜
7,北京东方天和种植专业合作社,怀柔区,刘*筠,134****4801,"红色之爱苹果,苹果,红肉苹果,红肉苹果"
8,北京全保果树技术服务专业合作社,怀柔区,卢*,137****8290,"金秋红苹果,桃,樱桃,李子,杏,苹果"
9,北京金果果业科技服务中心,丰台区,王*,138****1748,苹果
10,北京树梅溪采摘园,门头沟区,刘*艳,136****1119,"樱桃,樱桃,樱桃"
11,北京四座楼农场,平谷区,王*丽,135****0635,"红富士苹果,王林苹果,布鲁克斯樱桃,红灯樱桃"
12,北京绿谷汇德果品专业合作社,平谷区,岳*云,135****4695,"桃,黄油桃,蟠桃,平谷大桃"
13,北京保峪岭养蜂专业合作社,密云区,郭*力,010****0668,"树桶蜜 百花蜜 土蜂蜜 蜂蜜礼盒,一杯蜜"
14,绿野田园休闲农场,丰台区,杨*乾,134****8982,"枣,大枣"
15,北京千灵绿谷农业发展园有限公司,丰台区,马*雪,151****2767,"嘎啦,樱桃"
16,中农春雨高科技股份有限公司,朝阳区,客*,010****2209,"有机苹果,有机梨,2019年有机幸水梨,中农春雨有机苹果,樱桃"
17,北京市民华富升农副产品购销专业合作社,怀柔区,宋*民,137****7191,板栗
18,北京百环现代农业有限公司,昌平区,1**********,152****3476,苹果
19,北京进良磨盘柿专业合作社,房山区,杨*良,136****1030,柿子
20,北京祥和源农业科技股份有限公司,密云区,刘*华,158****1944,樱桃
21,北京市西山农场,海淀区,姚*超,138****3533,"苹果,樱桃"
22,北京国万置业有限公司,门头沟区,唐*云,135****5346,京白梨
23,百旺农业种植园,海淀区,刘*喜,135****0811,"樱桃,苹果,葡萄"
24,北京南山健源农业发展有限公司,延庆区,刘*华,185****9958,有机苹果
25,北京京城盛福园艺服务有限责任公司,朝阳区,窦*彧,135****0387,"桃,水蜜桃,梨,苹果"
26,北京阳光庄园农业有限公司,密云区,曹*龙,134****5403,"蟠13,红富士"
27,北京互联农业发展有限责任公司,平谷区,李*,188****0078,平谷大桃
28,北京喜山葡萄专业合作社,大兴区,杜*山,159****3888,"阳光玫瑰,我的道,夏黑,金手指,甜蜜蓝宝石,香提"
29,北京润春园养蜂专业合作社,大兴区,杨*华,130****2987,"洋槐花蜂蜜,枣花蜂蜜,2019蜂巢蜜,2019荆条花蜜,2019-枣花蜜,六道木蜂蜜,百花蜂蜜,2020油菜花蜂蜜,洋槐蜜,蜂巢蜜500g,寻蜜 梨花蜜,2020-枣花蜜"
30,北京三仁梨园有机农产品有限公司,房山区,庞*莹,130****3388,窦店金梨
31,北京伟浩农业科技有限公司,通州区,潘*,186****5780,葡萄
32,北京金华林养蜂专业合作社,昌平区,刘*利,137****3060,"蜂蜜,荆条蜜,洋槐蜜,枣花蜜,荆条蜜450克,枣花蜜450克,洋槐蜜450克,洋槐蜜900克,荆条蜜900克,枣花蜜900克"
33,北京秀花农家乐旅游观光园,昌平区,王*俊,607****3009,"樱桃,苹果,梨,葡萄"
34,北京地源遂航农业发展有限公司,顺义区,李*,139****9681,"樱桃,桃,梨,葡萄"
35,北京兴农鼎力种植专业合作社,顺义区,邬*芳,151****0765,"苹果,葡萄,辽宁小苹果,富士苹果"
36,北京中龙创新农业科技有限公司,顺义区,李*宇,138****8340,"富士,樱桃,金冠"
37,北京前坡峪采摘观光园,顺义区,吴*栋,137****6527,苹果
38,北京欧菲堡酒庄有限公司,顺义区,张*君,151****0090,"葡萄,巨峰,金手指,寒香蜜,欧菲堡绿色鲜食葡萄"
39,北京利志农业专业合作社,顺义区,董*志,135****6580,桃
40,北京雷子山生态农业有限公司,顺义区,焦*义,137****8865,苹果
41,北京京西瓜草地生态农业有限公司,门头沟区,王*泉,136****0188,樱桃
42,北京盛泰嘉禾农业科技发展有限公司,朝阳区,吴*林,137****6193,"桃,朗家园枣,苹果"
43,北京绿风碧野农庄,朝阳区,刘*,139****8032,"桃子,苹果"
44,北京坡隆园艺种植场,丰台区,王*田,139****9760,梨
45,万汇生态农业（北京）有限公司,顺义区,王*,134****0610,樱桃
46,北京市双河果园,顺义区,胡*玉,139****9882,桃
47,北京又一季农业发展有限公司,顺义区,牛*士,137****2140,2020年樱桃
48,北京乾轩樱桃采摘园,顺义区,李*铭,130****1567,樱桃
49,北京喜邦生态农业有限公司,顺义区,高*胜,136****0897,樱桃
50,北京晓旭生态林业发展有限公司,顺义区,李*,139****6263,葡萄
51,北京方圆平安食品开发有限公司,朝阳区,连*乐,845****2136,"樱桃,苹果,杏,梨"
52,北京恒欣源农业有限公司,丰台区,吴*雷,139****8013,"葡萄,苹果"
53,北京圣泽林生态果业有限公司,大兴区,曹*,133****5259,"黄金梨,圆黄梨"
54,北京利农富民葡萄种植专业合作社,密云区,邹*,010****9199,天葡庄园精品葡萄
55,北京金秋红农业科技有限责任公司,通州区,郑*辉,177****5158,苹果
56,北京服农农产品产销专业合作社,大兴区,李*江,136****9267,洋槐蜜
57,北京市红樱桃园艺场,通州区,方*,185****4369,樱桃
58,北京密东启明种植专业合作社,密云区,欧*丰,139****8523,苹果
59,北京崔村建立种植园,昌平区,许*,137****7956,苹果
60,北京惠生养蜂专业合作社,密云区,赵*雨,186****2933,蜂蜜
61,北京山水甜源养蜂专业合作社,密云区,李*杰,186****7161,"汖花浓蜂蜜,汖花浓蜂蜜400克,汖花浓蜂蜜400克,汖花浓蜂蜜500克,汖花浓蜂蜜250克,汖花浓蜂蜜400克,汖花浓蜂蜜500克,汖花浓蜂蜜产品"
62,北京京纯养蜂专业合作社,密云区,杨*鹤,131****0865,"尖嘴蜂蜜,荆花蜜,荆花蜂蜜,250克六棱荆花蜜,250克荆花蜜,2.5KG荆花蜜,便携荆花蜜"
63,北京益达丰果蔬产销专业合作社,平谷区,见*久,138****5517,桃
64,北京荣硕农业发展有限公司,朝阳区,朱*扬,186****1939,"樱桃,桃,葡萄,苹果"
65,北京聚园兴干鲜果品种植专业合作社,怀柔区,石*栋,137****1731,蓝莓
66,北京黄安坨科技开发有限公司,门头沟区,王*庆,133****1960,苹果
67,北京隆鼎泽观光生态农业有限公司,房山区,罗*文,136****0101,"苹果,樱桃,桃,无公害樱桃"
68,北京四季青农业科技集团有限公司,海淀区,农***,882****9576,"红灯笼樱桃,樱桃,樱桃,樱桃JDYN,樱桃LVGP,樱桃LSGP,樱桃YF,樱桃YX,樱桃5-106,樱桃YQ,樱桃YL,樱桃GLS,红樱桃"
69,北京鑫湖伟业商贸有限公司园艺分公司,丰台区,陈*成,139****1815,"核桃,TAO,桃,毛桃"
70,北京顺天建杰养蜂专业合作社,大兴区,齐*明,133****8734,"洋槐蜜,枣花蜜,西瓜蜜,荆花蜜"
71,北京兴安尚农农产品产销专业合作社,大兴区,贾*亮,138****5623,"梨,樱桃,葡萄"
72,北京丛海逸园农业高科技有限公司,平谷区,陈*强,158****3565,桃子
73,北京营坊昆利果品专业合作社,昌平区,陈*坤,182****8267,"昆利苹果,昆利有机富士苹果,昌平有机樱桃,昌平昆利有机苹果,昌平苹果,昌平特产昌平苹果"
74,北京桃花苑果蔬产销专业合作社,平谷区,王*邀,139****4151,桃
75,北京中卡友好采摘有限公司,昌平区,高*军,136****2946,"苹果,梨,樱桃,桃"
76,北京海鲸花养蜂专业合作社,平谷区,王*花,135****8009,"蜂蜜,荆条蜂蜜"
77,北京金粟种植专业合作社,延庆区,赵*彬,151****6337,"葡萄,早熟1月前后葡萄,一年两熟冬季葡萄,早熟5月中旬葡萄,中熟7、8月成熟,晚熟9月下旬10月上旬葡萄,葡萄"
78,北京绿野地葡萄种植专业合作社,延庆区,贾*,138****4249,"葡萄,葡萄架"
79,北京五福兴农种植农民专业合作社联合社,延庆区,高*,138****8629,"桃、葡萄,葡萄,葡萄、桃、苹果,苹果,桃,巨峰,富士苹果,红提"
80,北京久运河谷葡萄种植专业合作社,密云区,曹*庆,137****9656,葡萄
81,北京涌泉栗香农产品产销专业合作社,密云区,何*,139****7695,"桃,梨,板栗"
82,北京奥仪凯源蔬菜种植专业合作社,密云区,郑*燕,139****2833,玉露香梨
83,北京佳友盛和种植专业合作社,密云区,朱*友,135****1080,苹果
84,北京神农之乡养蜂专业合作社,密云区,刘*良,137****0363,"蜂蜜,蜂舞云间蜂蜜礼盒,蜂舞云间蜂蜜礼盒-2,京荆花巢蜜,自然成熟荆花蜜,蜂蜜-1,自然成熟荆花蜜—150g,自然成熟蜂蜜,自然成熟蜂蜜2022,天然成熟荆花蜂蜜2024"
85,北京蜂情园养蜂专业合作社,密云区,王*东,139****7556,蜂蜜
86,北京鑫森缘苗圃,密云区,石*鈡,177****5463,"蜂蜜,成熟荆花蜜"
87,鸿燊元（北京）商贸有限公司,怀柔区,李*财,134****9664,"桃,水蜜桃,油桃"
88,北京书平绿圃食用菌专业合作社,房山区,孙*平,158****4895,"摩尔多瓦葡萄,月季花,水蜜桃"
89,北京卧云翠岭生态农业发展有限公司,房山区,杨*,137****9079,苹果
90,北京华田溪园苗木种植中心,房山区,孙*成,138****6070,"樱桃,巴梨（烟台梨）,核桃,李子,桃"
91,北京天香缘农业观光有限公司,房山区,闫*钧,186****7858,"青玫李,樱桃,葡萄"
92,北京郑佳生态农业有限公司,通州区,宋*石,135****1869,樱桃
93,北京喜丰悦农业科技发展有限公司,通州区,张*宾,139****4285,樱桃
94,北京谷力种植专业合作社,平谷区,王*春,186****1299,油蟠桃
95,北京京顺绿谷果品产销专业合作社,平谷区,薛*顺,137****9426,黄油桃
96,北京谷峪兴果蔬产销专业合作社,平谷区,张*志,137****6829,桃
97,北京宝月香果品产销专业合作社,平谷区,胡*军,136****3504,桃
98,北京伊田谷农业专业合作社,昌平区,郝*民,139****4872,"樱桃,黄樱桃"
99,北京天汇园生态农业发展有限公司,昌平区,季*,139****1568,苹果
100,北京汇康农业专业合作社,昌平区,吴*玉,133****1570,苹果
101,北京桃林高利果品专业合作社,昌平区,尚*霞,137****4159,"苹果,冬季灌溉,冬季修剪,王林苹果"
102,北京四季芳华农业专业合作社,昌平区,徐*,158****7963,"苹果/樱桃,苹果/樱桃/桃,樱桃,樱桃,樱桃,苹果"
103,北京中科友创生态种植园,昌平区,邢*,139****5573,苹果
104,北京荣泽养殖场,门头沟区,周*玲,138****1832,苹果
105,北京盛林苑种植有限公司,大兴区,王*,157****3099,"梨,苹果,桃,葡萄,樱桃,李子,雪花梨"
106,北京绿兴庄园种植专业合作社,大兴区,韩*义,139****9136,皇冠梨
107,北京壁海林果有限公司,大兴区,李*,135****6250,梨
108,北京龙湾巧嫂果品产销专业合作社,顺义区,张*齐,188****7942,"龙湾巧嫂大酥梨,龙湾巧嫂红富士苹果,龙湾巧嫂红星苹果,龙湾巧嫂王林苹果,龙湾巧嫂蔬菜大礼盒,国光苹果"
109,北京金顺旅业农业技术有限公司,顺义区,金*东,189****5685,樱桃
110,北京金旺果品产销专业合作社,顺义区,王*平,137****6067,"樱桃,苹果,榛子,榛子,袖珍苹果,苹果,车厘子"
